,gamma,q_coef,ent_coef,max_grad_norm,-reward
0,0.9281008754493669,0.1409035086631775,0.03395722288452089,79,4.86
1,0.9892236375259236,0.5232552744448186,0.08241401052009314,98,0.09
2,0.9759538375027478,0.8263579763472081,0.08296466308552772,91,0.16
3,0.9664677187772468,0.6907380767166614,0.09020376361440868,37,0.29
4,0.9434814387587831,0.48233222737908366,0.08672346820216627,35,-0.09
5,0.9600076711342427,0.5243739786191539,0.09811784787143704,71,-0.28
6,0.9744683290471146,0.35277824225283927,0.09660587355102004,47,4.8
7,0.9470504623198942,0.6158457009109863,0.08496877076215044,69,4.89
8,0.9704557433927773,0.5895479830495144,0.1,84,4.89
9,0.966663082292561,0.49364851760153605,0.08782961170362714,71,0.4
