EpRewMean,loss_pol_entpen,EpThisIter,loss_ent,TimestepsSoFar,EpisodesSoFar,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_kl,TimeElapsed,loss_pol_surr
0.24,0.0,2,0.27215457,4890624,2185,3030.0,-2.887272357940674,0.00016230982,0.0046201884,145796.9068632126,0.0042087887
0.23,0.0,1,0.27636245,4894720,2186,3030.0,0.15358805656433105,3.1546188e-05,0.004019595,145805.07285261154,0.006033252
0.21,0.0,1,0.29896727,4898816,2187,3030.0,0.6548381149768829,0.0007642645,0.0043173693,145813.052267313,0.005785153
0.2,0.0,1,0.2868409,4902912,2188,3030.0,-1.582277536392212,4.0237523e-05,0.0042318297,149114.73718953133,0.0048396587
0.2,0.0,2,0.29824343,4907008,2190,3030.0,-2.5672614574432373,9.317919e-05,0.00437449,149121.98486566544,0.00507033
0.19,0.0,1,0.25541753,4911104,2191,3030.0,0.6034404039382935,0.0013993024,0.004441304,149129.1417579651,0.0030823154
0.22,0.0,2,0.26894382,4915200,2193,3030.0,0.5334750413894653,0.0041084727,0.0041350573,149137.69556307793,0.005788591
0.22,0.0,1,0.25530705,4919296,2194,3030.0,-2.303112030029297,0.00017964868,0.0035627466,149144.85722255707,0.005549101
0.22,0.0,1,0.29688254,4923392,2195,3030.0,-1.084841251373291,9.702848e-05,0.0045534326,149152.02414107323,0.0036730054
0.2,0.0,2,0.268874,4927488,2197,3030.0,-1.6798431873321533,4.9001883e-05,0.0039836406,149159.21645188332,0.0043222634
0.19,0.0,1,0.28791532,4931584,2198,3030.0,0.21508920192718506,0.002457696,0.004980754,149166.36819434166,0.003492183
0.17,0.0,1,0.27466634,4935680,2199,3030.0,-0.9254906177520752,7.314782e-05,0.0041175904,149173.52198028564,0.0044541834
0.14,0.0,2,0.2925965,4939776,2201,3030.0,0.5320523977279663,0.0030972655,0.004463347,149181.05020737648,0.0044058487
0.15,0.0,1,0.26889125,4943872,2202,3030.0,-0.39388954639434814,3.5025834e-05,0.0039952463,149188.7323870659,0.0076096505
0.15,0.0,1,0.2955432,4947968,2203,3030.0,0.29390251636505127,0.0042235316,0.004483073,149196.4096057415,0.0023077237
0.16,0.0,2,0.28951263,4952064,2205,3030.0,0.44230568408966064,0.0018281969,0.004692397,149204.08701705933,0.0045494973
0.15,0.0,1,0.2775097,4956160,2206,3030.0,-1.0250792503356934,5.4678196e-05,0.004792196,149211.76061463356,0.009997014
0.15,0.0,2,0.28435084,4960256,2208,3030.0,-1.6035425662994385,6.318989e-05,0.0037240863,149219.43457126617,0.0046144184
0.13,0.0,1,0.2608822,4964352,2209,3030.0,0.5746454298496246,0.003083217,0.003951072,149227.2288825512,0.0032623506
0.15,0.0,1,0.2871884,4968448,2210,3030.0,0.5042717754840851,0.0021385746,0.0040685316,149234.9390296936,0.0045737964
0.15,0.0,2,0.27609622,4972544,2212,3030.0,0.46788936853408813,0.0030224903,0.0041756337,149244.11629629135,0.00630759
0.18,0.0,1,0.2881073,4976640,2213,3030.0,0.10295885801315308,0.004222606,0.0044326093,149251.8073234558,0.0035471122
0.18,0.0,1,0.27245504,4980736,2214,3030.0,-1.7028539180755615,6.0568113e-05,0.0039588884,149260.9133105278,0.006277625
0.2,0.0,2,0.28186876,4984832,2216,3030.0,0.8035000860691071,0.00182808,0.0037161622,149268.60092067719,0.0032706656
0.19,0.0,1,0.28881082,4988928,2217,3030.0,0.34547537565231323,0.0020837516,0.004241426,149276.2884531021,0.0046477453
0.18,0.0,2,0.28202,4993024,2219,3030.0,0.4069032073020935,0.0018301477,0.00393016,149283.97399306297,0.003549905
0.15,0.0,1,0.26112473,4997120,2220,3030.0,0.32449114322662354,0.0040753405,0.003999807,149291.63718867302,0.0069554946
0.17,0.0,1,0.2788329,5001216,2221,3030.0,0.5091441571712494,0.0050610313,0.0037527457,152502.17678308487,0.0037276805
