loss_pol_surr,ev_tdlam_before,loss_kl,loss_ent,loss_vf_loss,loss_pol_entpen,EpRewMean,TimestepsSoFar,TimeElapsed,EpLenMean,EpisodesSoFar,EpThisIter
-0.010424158,0.006006836891174316,0.008502281,2.0712943,0.023446037,0.0,-4.857142857142857,4096,3.6869654655456543,581.0,7,7
-0.014018178,0.7847199440002441,0.009995866,2.0638828,0.013565678,0.0,-4.923076923076923,8192,7.49496603012085,584.3076923076923,13,6
-0.010935069,0.8354542851448059,0.008877622,2.0467124,0.014019825,0.0,-4.9523809523809526,12288,11.40996527671814,576.5714285714286,21,8
-0.009104252,0.8192954212427139,0.0083220415,2.024357,0.0158215,0.0,-4.964285714285714,16384,15.258966207504272,566.8571428571429,28,7
-0.011760415,0.8448312282562256,0.0063130567,2.0066214,0.014758805,0.0,-4.972222222222222,20480,19.506004095077515,559.9444444444445,36,8
-0.00901401,0.8078750371932983,0.007473497,1.9952791,0.017989734,0.0,-4.930232558139535,24576,23.679062128067017,568.7906976744187,43,7
-0.011342193,0.8662584871053696,0.010295002,1.9800332,0.012879033,0.0,-4.9411764705882355,28672,28.60370945930481,556.7254901960785,51,8
-0.009493963,0.8620244562625885,0.005840447,1.9869484,0.011370395,0.0,-4.948275862068965,32768,32.96770429611206,556.1034482758621,58,7
-0.011386062,0.8493947833776474,0.0077792006,2.0020854,0.012122476,0.0,-4.954545454545454,36864,39.718148946762085,554.9242424242424,66,8
-0.010378316,0.8468606024980545,0.0060283965,1.994302,0.012184618,0.0,-4.958904109589041,40960,44.80835032463074,555.6438356164383,73,7
-0.009714133,0.8623109757900238,0.0068601407,1.9799584,0.011626613,0.0,-4.962962962962963,45056,48.873687982559204,550.1358024691358,81,8
-0.012665315,0.8451901823282242,0.007608546,1.9623064,0.011949255,0.0,-4.966292134831461,49152,52.76342177391052,546.8539325842696,89,8
-0.010568852,0.788157045841217,0.0057852324,1.959511,0.0158936,0.0,-4.947916666666667,53248,56.768357276916504,552.0625,96,7
-0.01307944,0.8312492668628693,0.007130929,1.9548001,0.011521246,0.0,-4.96,57344,60.63165807723999,548.87,104,8
-0.010849912,0.8327557295560837,0.006423916,1.9639252,0.012131146,0.0,-4.95,61440,64.40057849884033,547.68,111,7
-0.013689362,0.8441657274961472,0.0065134233,1.9421846,0.013542962,0.0,-4.94,65536,68.4109718799591,546.51,118,7
-0.013135776,0.8475830554962158,0.007328804,1.9308368,0.013112465,0.0,-4.92,69632,72.26087236404419,547.99,126,8
-0.012470071,0.8479431718587875,0.008845785,1.918808,0.011574952,0.0,-4.92,73728,76.71810126304626,549.07,133,7
-0.010746099,0.8498409986495972,0.0063361214,1.9042656,0.011463367,0.0,-4.94,77824,80.79512882232666,544.34,141,8
-0.01398042,0.7266846001148224,0.006798637,1.8930185,0.0157644,0.0,-4.91,81920,85.63618206977844,549.25,148,7
-0.01454634,0.7542575746774673,0.0064820363,1.8926864,0.0170341,0.0,-4.89,86016,90.16575884819031,551.34,155,7
-0.010316391,0.8526004999876022,0.0077045616,1.8701135,0.0086062765,0.0,-4.89,90112,94.46193480491638,551.14,162,7
-0.01146744,0.8076846450567245,0.005708187,1.860005,0.013902064,0.0,-4.88,94208,98.62058210372925,553.74,170,8
-0.014847813,0.7658459544181824,0.0066416515,1.8483812,0.015611005,0.0,-4.87,98304,102.58743667602539,556.63,177,7
-0.011393761,0.8382650911808014,0.006249385,1.8308139,0.01209542,0.0,-4.87,102400,144.51302766799927,562.2,184,7
-0.012013091,0.7554646730422974,0.00822454,1.8129021,0.015550593,0.0,-4.85,106496,148.44179272651672,562.95,191,7
-0.013802023,0.8057953864336014,0.0054910285,1.8273913,0.013399875,0.0,-4.86,110592,152.30148696899414,560.74,198,7
-0.011031777,0.8004506975412369,0.004515879,1.794874,0.013446505,0.0,-4.85,114688,156.23833870887756,563.32,206,8
-0.013075161,0.866994708776474,0.007299389,1.7872791,0.009824413,0.0,-4.87,118784,160.07472968101501,557.31,214,8
-0.013774203,0.8013210594654083,0.0064913025,1.746966,0.013660336,0.0,-4.87,122880,164.2161524295807,558.85,221,7
-0.014522715,0.8423974215984344,0.0056937197,1.752543,0.010858735,0.0,-4.88,126976,168.86572122573853,554.63,229,8
-0.011894753,0.8482057005167007,0.008590487,1.7547764,0.0108175045,0.0,-4.87,131072,175.3771357536316,557.82,236,7
-0.012674366,0.8023083060979843,0.0054591326,1.7379336,0.013326014,0.0,-4.87,135168,181.62856650352478,559.27,243,7
-0.01046922,0.8433098345994949,0.005841692,1.7153094,0.009993594,0.0,-4.9,139264,185.66293478012085,560.75,250,7
-0.012251624,0.8713401108980179,0.0061224257,1.6911447,0.009924148,0.0,-4.91,143360,190.42510652542114,563.67,257,7
-0.012779226,0.8417380154132843,0.007862529,1.689356,0.010528639,0.0,-4.92,147456,194.80758547782898,559.56,265,8
-0.01198508,0.7857112735509872,0.0076709087,1.6638166,0.014291167,0.0,-4.9,151552,198.90143418312073,561.09,272,7
-0.013149682,0.8342361450195312,0.0053661154,1.6320446,0.011891496,0.0,-4.9,155648,204.74952459335327,563.94,279,7
-0.011367878,0.8306531012058258,0.0048264903,1.6357545,0.012876417,0.0,-4.89,159744,208.84986472129822,562.63,285,6
-0.012394326,0.8162409663200378,0.004950023,1.6019865,0.014371984,0.0,-4.88,163840,212.9611418247223,566.6,292,7
