TimestepsSoFar,loss_ent,loss_vf_loss,ev_tdlam_before,TimeElapsed,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,EpRewMean,EpLenMean
256,1.7881818,0.049268976,-0.17643308639526367,1.2687437534332275,-0.017881818,0,0,-0.03041912,0.0036262167,,
512,1.782536,0.03985954,0.49495619535446167,1.8857789039611816,-0.017825358,0,0,-0.019625211,0.0025107674,,
768,1.7779986,0.0155613255,0.7243753373622894,2.600902795791626,-0.017779985,1,1,-0.016543847,0.0024007151,-4.0,577.0
1024,1.7733314,0.070702255,0.5987434387207031,3.3837010860443115,-0.017733313,0,1,-0.007458361,0.0004836612,-4.0,577.0
