policy_entropy,nupdates,explained_variance,fps,total_timesteps,value_loss
2.0794384479522705,1,-34.42828369140625,16,5,0.00549646932631731
2.0794289112091064,100,-2306.9931640625,671,500,0.02720043621957302
2.0793538093566895,200,-30.308731079101562,838,1000,0.021598216146230698
2.079357624053955,300,-1886.7669677734375,911,1500,0.19229017198085785
2.0791327953338623,400,-3411.835693359375,956,2000,0.006127198226749897
2.0792174339294434,500,-148.3453826904297,983,2500,0.03121812641620636
2.078657627105713,600,-12902.765625,1002,3000,0.025329595431685448
2.0788416862487793,700,-20.01311683654785,1016,3500,0.010480435565114021
2.0787746906280518,800,-141.47341918945312,1027,4000,0.03262736275792122
2.0750441551208496,900,-391.7519836425781,1035,4500,0.009682705625891685
2.074734687805176,1000,-160.27320861816406,1043,5000,0.0030742757953703403
2.0767319202423096,1100,-748.90966796875,1048,5500,0.025280246511101723
2.075422763824463,1200,-45.66255187988281,1053,6000,0.003069426165893674
2.0740599632263184,1300,-40.50883102416992,1057,6500,0.006914516445249319
2.076070785522461,1400,-1.0714423656463623,1061,7000,0.00029308898956514895
2.065107822418213,1500,-14.440654754638672,1064,7500,0.007593412883579731
2.0713958740234375,1600,-1.97163987159729,1067,8000,0.012598593719303608
2.071352005004883,1700,-0.56187903881073,1069,8500,0.0001582629920449108
2.076512336730957,1800,-24.66582679748535,1072,9000,0.0008065311121754348
2.0711426734924316,1900,0.15407943725585938,1074,9500,0.00010968116112053394
2.072845458984375,2000,-16.99334716796875,30,10000,0.001932180137373507
2.0710129737854004,2100,-52.53651809692383,32,10500,0.002684349426999688
2.0765278339385986,2200,-1825.639892578125,33,11000,0.05281754583120346
2.062791109085083,2300,-3.1036157608032227,35,11500,0.002232547150924802
2.0629172325134277,2400,-0.5111321210861206,36,12000,0.0002527287579141557
2.0363781452178955,2500,-0.0540696382522583,38,12500,9.571563714416698e-05
2.071049451828003,2600,-5.208531379699707,39,13000,0.00212641479447484
2.043818473815918,2700,-18.186981201171875,41,13500,0.0010644514113664627
2.0764000415802,2800,-16.925220489501953,42,14000,0.0010686543537303805
2.037085771560669,2900,-278.3403015136719,44,14500,0.0010532919550314546
2.04854154586792,3000,-3.5625038146972656,45,15000,0.0012748932931572199
2.069575786590576,3100,-24.058042526245117,47,15500,0.00224634213373065
2.045203447341919,3200,-51.871368408203125,48,16000,0.002865585731342435
2.0148048400878906,3300,-28.063764572143555,50,16500,0.0022653001360595226
1.9606330394744873,3400,-2.0091476440429688,51,17000,0.0021984404884278774
2.062199115753174,3500,-7.081096649169922,52,17500,0.0005020214011892676
1.985921859741211,3600,-13.801961898803711,54,18000,0.0009544931235723197
1.9945600032806396,3700,-210.109619140625,55,18500,0.0009808021131902933
2.0494561195373535,3800,-4.677457332611084,57,19000,0.0004365268687251955
2.015516757965088,3900,-8.35549259185791,58,19500,0.0008336268365383148
2.0033440589904785,4000,-19.721149444580078,30,20000,0.0011810516007244587
2.0488343238830566,4100,-9.566484451293945,30,20500,0.0005151609657332301
1.9660167694091797,4200,-42.405941009521484,31,21000,0.0020316559821367264
1.966554880142212,4300,-17.636945724487305,32,21500,0.00011762019857997075
2.0450186729431152,4400,-2.776294708251953,33,22000,0.9704762697219849
2.0539565086364746,4500,-0.20671582221984863,33,22500,0.0005325085949152708
2.0099921226501465,4600,-7.74378776550293,34,23000,0.0002300062624271959
2.0591893196105957,4700,-1.6748602390289307,35,23500,0.000880042091012001
2.0322251319885254,4800,0.42826658487319946,35,24000,0.13514623045921326
2.0751800537109375,4900,-20.33294677734375,36,24500,0.0018234368180856109
2.026219129562378,5000,-2.3455893993377686,37,25000,0.0006923048058524728
2.0727391242980957,5100,-1.9759306907653809,38,25500,0.0004967227578163147
2.072547197341919,5200,-5.722654819488525,38,26000,0.0014558552065864205
2.0674636363983154,5300,-3.6959877014160156,39,26500,0.00355004845187068
2.0613889694213867,5400,-28.664630889892578,40,27000,0.002622184343636036
2.0319294929504395,5500,0.3148014545440674,41,27500,0.0014432868920266628
2.061070442199707,5600,-105.08021545410156,41,28000,0.0010288392659276724
2.074779748916626,5700,-5.918857097625732,42,28500,0.0023149840999394655
2.0575270652770996,5800,-42.45417022705078,43,29000,0.0019854786805808544
2.0716381072998047,5900,0.8484843224287033,43,29500,2.8971920983167365e-05
2.0422616004943848,6000,-26.251218795776367,28,30000,0.0009480937151238322
2.073421001434326,6100,-115.27774810791016,29,30500,0.012685281224548817
2.063044309616089,6200,-99.2720947265625,29,31000,0.00036451307823881507
2.0405683517456055,6300,-20.33876609802246,30,31500,0.0005285724182613194
