optimgain,EpLenMean,TimeElapsed,meankl,EpThisIter,EpisodesSoFar,entloss,explained_variance_tdlam_before,TimestepsSoFar,surrgain,EpRewMean,entropy
0.015932726,570.0,2.245115280151367,0.0033459223,1,1,0.0,-0.01351165771484375,1024,0.015932726,-5.0,2.076097
0.0078724,539.0,3.5396108627319336,0.0039632465,2,3,0.0,-0.02642512321472168,2048,0.0078724,-5.0,2.0763197
0.0076245773,609.5,4.832621812820435,0.0048654964,1,4,0.0,0.004997611045837402,3072,0.0076245773,-4.75,2.074885
0.00897114,652.8333333333334,6.124385833740234,0.0056431107,2,6,0.0,0.3227884769439697,4096,0.00897114,-4.666666666666667,2.0727773
0.017399993,618.875,7.4167773723602295,0.0071555884,2,8,0.0,0.46394312381744385,5120,0.017399993,-4.75,2.0696054
0.013617694,589.6,8.708398580551147,0.007368438,2,10,0.0,0.5892604291439056,6144,0.013617694,-4.7,2.0671983
0.014004696,587.25,10.001006364822388,0.0070054424,2,12,0.0,0.43901461362838745,7168,0.014004696,-4.583333333333333,2.0656931
0.010583995,582.9285714285714,11.294986248016357,0.007054971,2,14,0.0,0.6510829925537109,8192,0.010583995,-4.642857142857143,2.060552
0.018252358,574.2,12.590661525726318,0.0088786455,1,15,0.0,0.6291007995605469,9216,0.018252358,-4.666666666666667,2.0631413
0.009729657,570.5294117647059,13.884930610656738,0.00958248,2,17,0.0,0.6049751341342926,10240,0.009729657,-4.705882352941177,2.0629706
0.016619863,582.1111111111111,15.176934242248535,0.009721089,1,18,0.0,0.49610060453414917,11264,0.016619863,-4.722222222222222,2.0606952
0.0122548845,609.1578947368421,16.468036890029907,0.009560882,1,19,0.0,0.4344940185546875,12288,0.0122548845,-4.7368421052631575,2.0515647
0.021560576,620.2380952380952,17.760090351104736,0.009920098,2,21,0.0,0.7366560995578766,13312,0.021560576,-4.714285714285714,2.0542126
0.009814865,617.2608695652174,19.050814151763916,0.0101138,2,23,0.0,0.6836922466754913,14336,0.009814865,-4.739130434782608,2.0518441
0.014239889,621.6666666666666,20.342636823654175,0.010314156,1,24,0.0,0.33919447660446167,15360,0.014239889,-4.708333333333333,2.0482202
0.013629659,619.3076923076923,21.635673761367798,0.010284755,2,26,0.0,0.6175960898399353,16384,0.013629659,-4.730769230769231,2.0433917
0.02352548,613.7142857142857,22.927086114883423,0.011616942,2,28,0.0,0.6614650189876556,17408,0.02352548,-4.75,2.042233
0.0123830745,610.5666666666667,24.218828916549683,0.014282286,2,30,0.0,0.591607391834259,18432,0.0123830745,-4.766666666666667,2.0380104
0.0066241384,614.3548387096774,25.512011289596558,0.011784946,1,31,0.0,0.5201847553253174,19456,0.0066241384,-4.741935483870968,2.0389698
0.01392385,611.2727272727273,26.819502353668213,0.012178846,2,33,0.0,0.7868133187294006,20480,0.01392385,-4.7272727272727275,2.0352073
0.012580939,607.3142857142857,28.12538504600525,0.013233439,2,35,0.0,0.5231737494468689,21504,0.012580939,-4.742857142857143,2.0318317
0.005676968,606.2702702702703,29.43017816543579,0.012399041,2,37,0.0,0.5525385737419128,22528,0.005676968,-4.756756756756757,2.02987
0.015484217,598.3846153846154,30.724430322647095,0.013679001,2,39,0.0,0.706926703453064,23552,0.015484217,-4.769230769230769,2.0286987
0.013212228,597.925,32.029850482940674,0.012919718,2,41,0.0,0.6037717759609222,24576,0.013212228,-4.775,2.0297418
0.01245115,595.875,33.334508180618286,0.014302438,2,43,0.0,0.7727843970060349,25600,0.01245115,-4.775,2.0290854
0.01546774,591.9,34.641398668289185,0.014084142,1,44,0.0,0.4631965756416321,26624,0.01546774,-4.775,2.026433
0.016600776,591.325,35.94610929489136,0.014477194,2,46,0.0,0.774158388376236,27648,0.016600776,-4.8,2.0247798
0.01372302,596.825,37.25372815132141,0.014026891,1,47,0.0,0.2592098116874695,28672,0.01372302,-4.775,2.0265698
0.012661914,611.35,38.559609174728394,0.014007103,1,48,0.0,0.436787486076355,29696,0.012661914,-4.75,2.0214815
0.008262433,610.325,39.87757158279419,0.013599953,1,49,0.0,0.5664129853248596,30720,0.008262433,-4.75,2.0212636
