optimgain,surrgain,explained_variance_tdlam_before,EpLenMean,EpThisIter,TimeElapsed,meankl,entropy,EpisodesSoFar,EpRewMean,TimestepsSoFar,entloss
0.014318286,0.014318286,-0.003966331481933594,485.0,1,2.5762269496917725,0.0041276333,2.0752983,1,4.0,1024,0.0
0.007462144,0.007462144,0.10411745309829712,665.6666666666666,2,3.9149327278137207,0.0059055416,2.0744352,3,2.3333333333333335,2048,0.0
0.0073289634,0.0073289634,0.34967947006225586,644.25,1,5.553341388702393,0.005326311,2.0721574,4,1.0,3072,0.0
0.0066184793,0.0066184793,0.3818359375,590.3333333333334,2,6.9077229499816895,0.007654533,2.0665586,6,2.1666666666666665,4096,0.0
0.0041668788,0.0041668788,0.4484342932701111,597.875,2,8.271186351776123,0.007315794,2.0665498,8,1.625,5120,0.0
0.014807163,0.014807163,0.5560755729675293,603.9,2,9.625445365905762,0.0068575675,2.0661197,10,1.6,6144,0.0
0.012643655,0.012643655,0.7780576348304749,612.7272727272727,1,10.982640504837036,0.008695088,2.0635023,11,1.6363636363636365,7168,0.0
0.01808023,0.01808023,0.786206066608429,622.3076923076923,2,12.333269119262695,0.012420914,2.056709,13,1.6923076923076923,8192,0.0
0.0156145,0.0156145,0.7436656355857849,632.5714285714286,1,13.6974036693573,0.010540786,2.0580635,14,1.5,9216,0.0
0.01573274,0.01573274,0.6933537423610687,628.0,2,15.318464994430542,0.011912192,2.0506873,16,1.125,10240,0.0
0.02452109,0.02452109,0.843896895647049,629.2941176470588,1,16.7729389667511,0.011566058,2.05355,17,0.9411764705882353,11264,0.0
0.011442715,0.011442715,0.7756437957286835,630.3157894736842,2,18.445757627487183,0.011561133,2.0523715,19,1.0526315789473684,12288,0.0
0.009814887,0.009814887,0.8628950268030167,631.2857142857143,2,19.791948080062866,0.0130281625,2.052374,21,1.1428571428571428,13312,0.0
0.010408293,0.010408293,0.7350726127624512,633.9090909090909,1,21.1572368144989,0.01186059,2.0478425,22,1.0,14336,0.0
0.020376017,0.020376017,0.6892165541648865,634.6666666666666,2,22.467243671417236,0.012807239,2.05665,24,0.75,15360,0.0
