#{"t_start": 1602811188.361122, "env_id": null}
r,l,t
1,739,387.842334
-1,778,390.454747
-3,643,393.121838
-3,541,395.413522
-2,702,397.645479
-2,656,399.933305
-4,533,401.885534
-3,543,404.226493
3,563,406.630519
5,401,408.427997
1,771,411.021743
3,703,413.261117
3,596,417.142109
-3,589,419.536438
3,554,421.763944
1,823,424.532624
-1,854,427.266024
-1,722,429.549866
-1,722,431.974983
3,631,434.315117
2,633,436.426297
-3,565,438.701431
-2,630,441.095807
2,627,443.269728
-2,658,445.739318
2,787,448.325662
-5,388,450.105879
-2,725,452.471177
-2,694,454.607076
-1,784,457.034048
2,635,459.459955
-1,751,461.83366
-2,672,464.39449
3,567,466.777579
2,714,469.341113
3,629,473.650633
-2,649,476.061663
3,581,478.158404
3,604,480.491744
2,727,482.699024
-1,771,485.350881
-3,557,487.658536
4,492,489.582451
-1,784,492.204606
2,645,494.642561
2,651,496.79561
2,658,499.249275
-4,492,501.187767
-5,392,503.917398
3,579,506.523769
-1,786,509.145393
-3,539,511.446399
1,722,513.673269
-3,614,515.917926
2,667,518.466833
2,614,520.679164
2,631,523.222108
1,763,525.988402
-4,529,528.189385
3,557,530.724193
1,705,533.299525
2,705,536.045374
3,596,538.508588
4,671,544.243756
-2,702,547.012973
-2,618,549.638469
1,731,551.963131
3,618,554.565849
1,777,557.455567
2,682,559.64367
1,728,562.655707
-5,482,564.62296
2,602,567.125423
-1,713,569.712452
-1,758,572.000259
2,668,574.364056
3,619,576.751461
-5,535,578.805448
-1,757,581.635298
-1,720,584.146034
1,854,587.669037
-1,750,590.243607
-4,532,594.615679
2,726,597.000736
1,722,599.421092
-2,673,601.727753
2,663,604.329742
4,464,606.350634
-1,688,608.606216
-1,709,611.02379
2,724,613.607051
1,707,616.036579
1,734,618.448926
-3,555,620.434891
-3,582,625.714607
-3,592,627.819001
-3,639,630.037787
-1,856,632.632316
2,693,634.941647
4,477,637.012056
2,679,639.267554
-5,425,641.150456
-3,608,643.306807
-3,620,645.486458
-1,706,647.794641
4,548,649.853652
-1,851,652.3585
4,500,654.249193
-1,731,656.543427
-1,735,658.800999
-4,488,660.98102
-4,542,663.082121
1,854,665.843924
1,708,668.305213
4,488,670.281066
1,778,672.576043
1,757,674.925836
-4,544,676.861516
-1,776,679.147255
-1,723,681.407799
3,546,683.508423
-2,664,686.062755
-3,563,688.184446
-2,655,690.656
-3,603,692.906299
4,561,695.233296
-4,460,697.194705
3,555,699.266076
-3,547,701.273876
-3,625,703.435792
3,567,705.414221
1,731,711.922428
-2,619,714.215555
1,728,716.801653
1,880,719.53237
1,769,722.06692
2,619,724.249013
-1,701,726.547506
-2,711,728.846987
-2,697,731.137115
1,859,733.695933
-2,623,735.90369
3,556,737.997888
-3,604,740.172823
1,750,742.557528
-2,665,744.796051
2,623,747.013937
-2,648,749.877518
-3,681,752.23236
-4,561,754.251252
-5,401,756.115738
-4,537,758.176767
1,737,760.536723
1,697,762.817259
-2,653,765.022943
3,594,767.138743
1,705,769.427901
-4,464,771.350675
-1,797,773.78036
3,552,775.831741
2,652,778.035324
-5,431,779.903713
2,676,782.140603
2,683,784.626834
1,739,787.09282
3,581,789.215495
-4,522,791.293228
4,511,793.49635
-3,573,795.524764
-2,691,797.948933
2,680,800.206529
-4,573,802.436024
2,648,805.290648
-2,690,807.61146
3,560,810.26745
3,532,812.283913
-1,753,814.639806
-5,400,820.919724
-4,504,822.941695
-2,643,825.069054
-4,477,827.078332
3,634,829.228837
-4,470,831.084381
1,694,833.730697
4,476,1276.305095
-2,678,1278.833508
1,791,1281.422346
-1,798,1284.08722
1,730,1286.541723
3,644,1288.976371
2,715,1291.414449
3,575,1293.440697
-2,754,1296.106958
-3,590,1298.525065
2,663,1300.782914
-2,685,1303.376268
2,639,1305.841578
-5,444,1308.075179
-4,511,1310.358846
5,413,1312.474036
1,768,1315.054077
1,796,1317.566448
3,543,1319.779118
3,601,1321.876599
3,542,1324.61144
-3,564,1326.760546
-1,771,1329.075261
2,628,1331.750555
-1,715,1334.31867
-2,729,1337.245469
-1,733,1340.026868
2,643,1343.002563
-2,663,1345.186171
-3,586,1347.611518
-3,574,1349.6725
2,899,1352.447673
3,543,1354.750774
-2,699,1357.37706
-3,561,1359.413864
-2,677,1362.04113
-3,646,1364.70582
-4,461,1366.932434
-4,531,1368.827198
-2,701,1371.28826
-1,726,1373.759295
1,714,1376.047778
1,807,1378.660526
4,500,1380.771787
-1,703,1383.442953
2,687,1386.067186
2,619,1388.492281
2,715,1390.753571
3,675,1393.35576
1,849,1396.12006
-3,596,1398.343609
-5,428,1400.579922
-4,463,1402.519155
4,467,1404.886225
1,885,1407.725063
-2,673,1409.959942
3,584,1412.506782
-5,429,1414.423217
3,516,1416.779312
3,652,1425.22229
-3,598,1427.758092
-2,744,1430.536583
-1,712,1432.859104
-2,696,1435.529304
-5,409,1437.701742
-5,428,1439.600184
-4,558,1441.867931
-3,622,1444.455635
-3,608,1446.922334
1,821,1449.38366
2,644,1451.852857
-3,616,1454.380896
-3,582,1456.614402
-2,616,1459.253495
5,429,1461.211358
-3,681,1463.789638
2,636,1466.126174
4,496,1468.050792
-2,628,1470.464397
2,629,1472.667254
2,715,1475.44416
-4,472,1477.417336
4,462,1479.615675
-4,566,1481.696455
-1,735,1484.832528
-2,696,1487.570266
2,686,1490.554011
-3,554,1492.584332
4,511,1494.753316
1,732,1497.187262
-1,775,1499.740119
-2,733,1502.181343
1,735,1504.37844
-1,708,1506.753866
4,481,1508.982028
-2,643,1511.256213
5,405,1513.375792
1,720,1516.112096
-5,386,1518.099642
2,626,1520.171231
-2,712,1522.927283
-3,564,1525.312975
4,511,1527.360891
-3,575,1529.898684
-2,701,1532.07886
4,466,1534.244571
-3,625,1536.366022
1,727,1538.919554
-3,593,1541.95242
-3,733,1544.816582
