TimestepsSoFar,loss_ent,loss_vf_loss,ev_tdlam_before,TimeElapsed,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,EpRewMean,EpLenMean
256,1.7865988,0.044661716,-1.7890872955322266,1.2072222232818604,-0.017865986,0,0,-0.033695422,0.0051102797,,
512,1.7792331,0.02858643,0.3281245827674866,1.8253982067108154,-0.01779233,0,0,-0.021051869,0.0023380283,,
768,1.7752669,0.016529158,0.8265590667724609,2.5028839111328125,-0.017752668,1,1,-0.012674622,0.0010185204,-5.0,550.0
1024,1.7752934,0.02762369,0.598954439163208,3.2780067920684814,-0.017752934,0,1,-0.007058165,0.0002550667,-5.0,550.0
