loss_vf_loss,EpisodesSoFar,loss_ent,EpThisIter,loss_kl,loss_pol_surr,EpLenMean,TimeElapsed,loss_pol_entpen,ev_tdlam_before,EpRewMean,TimestepsSoFar
44.51559,180,0.68278795,180,0.010505633,-0.02389669,22.81,6.968804836273193,0.0,-0.001234292984008789,22.81,4096
46.100506,314,0.6727895,134,0.002742334,-0.010215976,30.99,12.221259832382202,0.0,-0.04622852802276611,30.99,8192
71.88917,430,0.66997373,116,0.00041666607,-0.0018373987,33.72,17.58284831047058,0.0,-0.006927371025085449,33.72,12288
