loss_kl,EpisodesSoFar,EpThisIter,loss_pol_surr,TimestepsSoFar,loss_ent,TimeElapsed,loss_vf_loss,loss_pol_entpen,ev_tdlam_before,EpLenMean,EpRewMean
0.0017025303,0,0,-0.010596797,256,2.0776894,0.484325647354126,0.028375667,-0.020776894,-0.7514009475708008,,
0.005336131,0,0,-0.027290534,512,2.0696087,0.659980058670044,0.023869943,-0.020696089,0.3212067484855652,,
0.006716647,1,1,-0.017790299,768,2.062544,0.8359873294830322,0.019772766,-0.02062544,0.8246859610080719,526.0,-5.0
0.008494766,1,0,-0.024831157,1024,2.0418456,1.0116610527038574,0.021712344,-0.020418454,0.6620839834213257,526.0,-5.0
0.008563183,2,1,-0.026421094,1280,2.037015,1.1869487762451172,0.019542722,-0.020370148,0.7579895704984665,519.5,-5.0
0.009174606,3,1,-0.01754771,1536,2.0448895,1.3614184856414795,0.015664546,-0.020448895,0.708522617816925,505.6666666666667,-5.0
0.005495816,3,0,-0.022386571,1792,2.047543,1.537482500076294,0.014736669,-0.020475429,0.7786362171173096,505.6666666666667,-5.0
0.006942034,4,1,-0.019597854,2048,2.0565486,1.71286940574646,0.013841134,-0.020565484,0.7565404772758484,492.0,-5.0
0.00612903,4,0,-0.022539936,2304,2.0411286,1.8880743980407715,0.0142420735,-0.020411287,0.7640347182750702,492.0,-5.0
0.0045056143,4,0,-0.020356698,2560,2.0341573,2.0633182525634766,0.021205477,-0.020341571,0.7483346462249756,492.0,-5.0
0.008611061,5,1,-0.023266716,2816,2.00843,2.239133358001709,0.0043961313,-0.020084301,0.7398243844509125,542.2,-5.0
0.00828691,5,0,-0.017830122,3072,1.9762677,2.414051055908203,0.01235906,-0.019762676,0.8812357187271118,542.2,-5.0
0.008659933,5,0,-0.021885395,3328,1.9351565,2.5897433757781982,0.012371742,-0.019351564,0.8614992797374725,542.2,-5.0
0.0076534636,6,1,-0.023252305,3584,1.9142759,2.764514207839966,0.015063088,-0.019142758,0.6401402950286865,563.6666666666666,-5.0
0.015616957,6,0,-0.025787704,3840,1.8780496,2.939484119415283,0.010526584,-0.018780496,0.8668235242366791,563.6666666666666,-5.0
0.015082893,7,1,-0.024566954,4096,1.7903655,3.1147801876068115,0.015755907,-0.017903656,0.7844080030918121,549.1428571428571,-5.0
0.010139797,8,1,-0.020110233,4352,1.7837162,3.2900729179382324,0.013509693,-0.017837161,0.8320837914943695,541.75,-5.0
0.0020257817,8,0,-0.009882703,4608,1.7499447,3.465420722961426,0.0075461166,-0.017499447,0.7564865797758102,541.75,-5.0
0.007391257,8,0,-0.014634276,4864,1.8006349,3.640817880630493,0.008046185,-0.018006349,0.8569295704364777,541.75,-5.0
0.007737282,8,0,-0.028804388,5120,1.7803274,3.8159239292144775,0.012204553,-0.017803274,0.8501940667629242,541.75,-5.0
0.0028799134,9,1,-0.009641852,5376,1.7174169,3.99111008644104,0.010424797,-0.017174168,0.8395310044288635,571.1111111111111,-5.0
0.0043300977,9,0,-0.018422872,5632,1.692972,4.166550874710083,0.014690851,-0.01692972,0.7846855223178864,571.1111111111111,-5.0
0.0026706974,10,1,-0.010552089,5888,1.6636575,4.340861558914185,0.012583694,-0.016636575,0.7717527151107788,566.3,-5.0
0.010835569,10,0,-0.019642962,6144,1.6438987,4.516089200973511,0.018993987,-0.016438987,0.5522591173648834,566.3,-5.0
0.018621668,11,1,-0.034535192,6400,1.5109136,4.691405296325684,0.014481539,-0.015109137,0.7044451236724854,562.3636363636364,-5.0
0.010094661,11,0,-0.020787938,6656,1.6099899,4.867492914199829,0.02066873,-0.016099898,0.45813482999801636,562.3636363636364,-5.0
0.006035785,12,1,-0.016234417,6912,1.6202071,5.042089462280273,0.0052371817,-0.01620207,0.5703362822532654,567.0833333333334,-5.0
0.0034003174,12,0,-0.011406608,7168,1.6050135,5.21605920791626,0.016965412,-0.016050134,0.5246625244617462,567.0833333333334,-5.0
0.002866203,13,1,-0.016795166,7424,1.5539348,5.390617847442627,0.007028673,-0.015539348,0.649606466293335,564.9230769230769,-5.0
0.008530717,13,0,-0.020596854,7680,1.6139538,5.566052675247192,0.010088263,-0.016139539,0.807633101940155,564.9230769230769,-5.0
0.006996459,13,0,-0.01990519,7936,1.6590352,5.741443634033203,0.018934863,-0.016590353,0.5689379870891571,564.9230769230769,-5.0
0.010418113,14,1,-0.020690698,8192,1.6540003,5.916404962539673,0.009092931,-0.016540002,0.6392572522163391,567.6428571428571,-5.0
0.0034455815,14,0,-0.011688142,8448,1.7179424,6.0902416706085205,0.008855765,-0.017179422,0.8772088587284088,567.6428571428571,-5.0
0.012343345,15,1,-0.014395696,8704,1.7565224,6.263929843902588,0.01883942,-0.017565224,0.7035548985004425,569.5333333333333,-5.0
0.016138135,15,0,-0.024532193,8960,1.8155029,6.437703847885132,0.01004356,-0.018155029,0.8617261946201324,569.5333333333333,-5.0
0.0037437389,16,1,-0.008571226,9216,1.8531989,6.6144163608551025,0.018325714,-0.01853199,0.6245039403438568,565.25,-5.0
0.00998604,17,1,-0.018089836,9472,1.8513958,6.808335304260254,0.01713289,-0.018513959,0.6397869288921356,557.1176470588235,-5.0
