loss_kl,EpisodesSoFar,loss_ent,ev_tdlam_before,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpThisIter,TimeElapsed,loss_vf_loss,EpRewMean,EpLenMean
0.0036141118,0,1.7880397,-1.026672601699829,256,-0.0214236,-0.017880397,0,0.4231910705566406,0.040889822,,
0.003909833,0,1.7822559,-2.4335319995880127,512,-0.022491682,-0.017822558,0,0.6366653442382812,0.014299834,,
0.008392492,1,1.7670789,0.41797149181365967,768,-0.028647296,-0.017670788,1,0.8508505821228027,0.019265953,1.8699999999999426,687.0
0.009777941,1,1.7450399,0.637636125087738,1024,-0.025222927,-0.0174504,0,1.0592751502990723,0.02283154,1.8699999999999426,687.0
0.010069161,2,1.7040746,0.3421121835708618,1280,-0.018898485,-0.017040748,1,1.2783379554748535,0.052226905,1.8799999999999473,638.0
0.017427282,2,1.6434419,0.2366480827331543,1536,-0.028770342,-0.016434418,0,1.4935142993927002,0.021734152,1.8799999999999473,638.0
0.007955651,2,1.6637866,0.5972447395324707,1792,-0.031890716,-0.016637865,0,1.6991918087005615,0.016091578,1.8799999999999473,638.0
0.01685778,3,1.6170917,0.7487772107124329,2048,-0.029193142,-0.016170915,1,1.909294843673706,0.019662866,1.6366666666666274,630.3333333333334
0.006652513,3,1.6554383,0.7797210067510605,2304,-0.02739311,-0.016554382,0,2.1192116737365723,0.024820505,1.6366666666666274,630.3333333333334
0.0041389973,4,1.6244084,0.8029558509588242,2560,-0.024020093,-0.016244084,1,2.356172800064087,0.018974463,1.5699999999999692,632.0
0.007412579,4,1.5335335,0.7836530357599258,2816,-0.02567755,-0.015335334,0,2.582552433013916,0.013623007,1.5699999999999692,632.0
0.0113931205,4,1.426205,0.013347804546356201,3072,-0.02098637,-0.01426205,0,2.824162006378174,0.02736735,1.5699999999999692,632.0
0.016591603,5,1.6729966,0.5757152736186981,3328,-0.033394642,-0.016729966,1,3.05330228805542,0.011813417,1.6239999999999686,642.4
0.01585283,5,1.4443424,0.8196454644203186,3584,-0.017282266,-0.014443424,0,3.261117696762085,0.015536874,1.6239999999999686,642.4
0.008652473,6,1.3300154,0.3939587473869324,3840,-0.024148954,-0.013300154,1,3.4991402626037598,0.032013446,1.6283333333333054,629.5
0.0073653283,6,1.4529041,0.7099687457084656,4096,-0.02571597,-0.014529041,0,3.7092020511627197,0.019970441,1.6283333333333054,629.5
0.0051726317,7,1.4284675,0.8685734868049622,4352,-0.014758578,-0.014284674,1,3.9387896060943604,0.0111955125,1.4099999999999766,612.4285714285714
0.0070118876,7,1.456892,0.6696985065937042,4608,-0.012684707,-0.014568918,0,4.172183036804199,0.035000287,1.4099999999999766,612.4285714285714
0.004664796,7,1.4629128,0.6976353526115417,4864,-0.023219462,-0.0146291265,0,4.418401479721069,0.024884846,1.4099999999999766,612.4285714285714
0.006735725,8,1.3796058,0.8289128839969635,5120,-0.017014092,-0.013796058,1,4.653163433074951,0.014910613,1.4512499999999728,620.125
0.010607367,8,1.3448851,0.7267691493034363,5376,-0.021281902,-0.013448851,0,4.872548580169678,0.015373406,1.4512499999999728,620.125
0.021813286,8,1.5081531,0.6826062202453613,5632,-0.028368112,-0.01508153,0,5.116819858551025,0.020673675,1.4512499999999728,620.125
0.008486545,9,1.5271311,0.773600697517395,5888,-0.028649934,-0.015271311,1,5.343600511550903,0.019149452,1.6111111111110779,638.8888888888889
0.009358203,9,1.5914837,0.890732929110527,6144,-0.027985573,-0.015914837,0,5.572249889373779,0.011307466,1.6111111111110779,638.8888888888889
0.0130040385,9,1.5704149,0.8905281350016594,6400,-0.02332856,-0.015704148,0,5.833727836608887,0.0075710462,1.6111111111110779,638.8888888888889
0.017850136,10,1.6676426,0.8364362269639969,6656,-0.024659146,-0.016676426,1,6.110739707946777,0.013683946,1.7079999999999593,650.8
0.0055052354,10,1.6407982,0.7919468432664871,6912,-0.017545499,-0.016407982,0,6.358198165893555,0.01811445,1.7079999999999593,650.8
0.011051293,11,1.6270854,0.8484750092029572,7168,-0.026226196,-0.016270855,1,6.570370435714722,0.012063928,1.5354545454545088,635.3636363636364
0.01350841,11,1.5949099,0.7238143384456635,7424,-0.028751478,-0.015949098,0,6.8162055015563965,0.017099263,1.5354545454545088,635.3636363636364
0.013181763,12,1.5655146,0.8857467621564865,7680,-0.0250129,-0.015655145,1,7.022214889526367,0.011156602,1.5049999999999655,633.8333333333334
0.015035709,12,1.5493593,0.6969830989837646,7936,-0.030204182,-0.015493594,0,7.265254259109497,0.015479089,1.5049999999999655,633.8333333333334
0.00521999,12,1.563813,0.8085793405771255,8192,-0.023972282,-0.015638128,0,7.482165098190308,0.021362048,1.5049999999999655,633.8333333333334
0.011258221,13,1.5514808,0.8382053673267365,8448,-0.022266855,-0.015514809,1,7.682835578918457,0.018613813,1.479230769230737,632.5384615384615
0.013676686,13,1.6291361,0.8133175522089005,8704,-0.035274476,-0.016291361,0,7.913157224655151,0.013896253,1.479230769230737,632.5384615384615
0.017507292,14,1.6070007,0.7441257536411285,8960,-0.033266462,-0.016070008,1,8.157943964004517,0.018179743,1.4278571428571112,628.5
0.007069622,15,1.5753102,0.666588693857193,9216,-0.022546612,-0.015753102,1,8.377381563186646,0.024495855,1.2733333333333041,614.0
0.0073557645,15,1.5674126,0.7039112746715546,9472,-0.024839705,-0.015674125,0,8.61531686782837,0.013635192,1.2733333333333041,614.0
0.008356683,15,1.5955966,0.7746598720550537,9728,-0.027860185,-0.015955966,0,8.846314668655396,0.013399139,1.2733333333333041,614.0
