TimestepsSoFar,EpThisIter,EpisodesSoFar,meankl,entloss,optimgain,EpLenMean,TimeElapsed,entropy,explained_variance_tdlam_before,EpRewMean,surrgain
4176896,0,2620,0.011126071,0.0,0.08519394,3025.0,60692.15727543831,0.57455254,0.3633025288581848,-0.85,0.08519394
4177920,0,2620,0.005461188,0.0,0.0370102,3025.0,60692.818155288696,0.6745707,-3.0422754287719727,-0.85,0.0370102
4178944,1,2621,0.008247637,0.0,0.03384498,3025.0,60693.47193956375,0.75689316,0.32935619354248047,-0.85,0.03384498
4179968,0,2621,0.0061632646,0.0,0.037440762,3025.0,60694.126412153244,0.7467749,-1.2336640357971191,-0.85,0.037440762
4180992,0,2621,0.00905632,0.0,0.041469716,3025.0,60694.78339123726,0.6609752,-2.898249864578247,-0.85,0.041469716
4182016,1,2622,0.00826335,0.0,0.025968757,3025.0,60695.47434091568,0.7390669,0.4682539105415344,-1.0,0.025968757
4183040,0,2622,0.006600529,0.0,0.034555838,3025.0,60696.10746598244,0.7430455,-5.791510105133057,-1.0,0.034555838
4184064,1,2623,0.008143913,0.0,0.0446099,3025.0,60696.738364219666,0.6997881,-2.845451831817627,-1.05,0.0446099
4185088,0,2623,0.006306676,0.0,0.031963285,3025.0,60697.368807554245,0.7218717,0.39525800943374634,-1.05,0.031963285
4186112,0,2623,0.014012853,0.0,0.04179843,3025.0,60697.99741268158,0.73630196,-7.502101898193359,-1.05,0.04179843
4187136,1,2624,0.009218542,0.0,0.019683179,3025.0,60698.62770700455,0.65970755,0.006627440452575684,-1.075,0.019683179
4188160,0,2624,0.007121044,0.0,0.021871623,3025.0,60699.26123690605,0.688076,-4.1391921043396,-1.075,0.021871623
4189184,0,2624,0.01398881,0.0,0.083247066,3025.0,60699.88879323006,0.74121857,0.4336036443710327,-1.075,0.083247066
4190208,1,2625,0.0061486927,0.0,0.047229476,3025.0,60700.5194208622,0.6272242,-2.9416542053222656,-1.0,0.047229476
4191232,0,2625,0.009577466,0.0,0.03564062,3025.0,60701.148216962814,0.6739719,0.5271557867527008,-1.0,0.03564062
4192256,0,2625,0.007844923,0.0,0.03644489,3025.0,60701.779706954956,0.79107875,-6.0910797119140625,-1.0,0.03644489
4193280,1,2626,0.0052293977,0.0,0.033297226,3025.0,60702.408621549606,0.77221,-4.459425449371338,-1.0,0.033297226
4194304,0,2626,0.013546829,0.0,0.072560154,3025.0,60703.0426235199,0.87414265,-6.444058895111084,-1.0,0.072560154
4195328,0,2626,0.005908319,0.0,0.054658044,3025.0,60703.67516589165,0.7064945,-8.072661399841309,-1.0,0.054658044
4196352,1,2627,0.010127282,0.0,0.036633275,3025.0,60704.307334661484,0.8683202,-11.566760063171387,-1.0,0.036633275
4197376,0,2627,0.005794634,0.0,0.037803438,3025.0,60704.93757033348,0.79606616,0.24721956253051758,-1.0,0.037803438
4198400,0,2627,0.010131139,0.0,0.040595613,3025.0,60705.57461333275,0.73360074,-0.2754918336868286,-1.0,0.040595613
4199424,1,2628,0.008323686,0.0,0.06171336,3025.0,60706.2052321434,0.61672664,-5.654710292816162,-1.075,0.06171336
4200448,0,2628,0.0144625725,0.0,0.06412618,3025.0,62609.91541790962,0.6909087,0.28202635049819946,-1.075,0.06412618
4201472,0,2628,0.006459807,0.0,0.031274725,3025.0,62610.54442071915,0.7013155,-18.303062438964844,-1.075,0.031274725
4202496,0,2628,0.0066017807,0.0,0.03397148,3025.0,62611.17222285271,0.6727427,0.18438249826431274,-1.075,0.03397148
4203520,1,2629,0.005113461,0.0,0.03722436,3050.0,62611.80044221878,0.598692,0.4256933331489563,-1.125,0.03722436
4204544,0,2629,0.008814308,0.0,0.03123055,3050.0,62612.431804418564,0.73441267,-2.3811264038085938,-1.125,0.03123055
4205568,0,2629,0.0042173155,0.0,0.015967006,3050.0,62613.06568598747,0.7741523,-7.202972412109375,-1.125,0.015967006
4206592,1,2630,0.012876088,0.0,0.050239764,3050.0,62613.697511434555,0.68662816,-6.037106513977051,-1.075,0.050239764
4207616,0,2630,0.0068075256,0.0,0.03264321,3050.0,62614.33416008949,0.7705714,0.42662179470062256,-1.075,0.03264321
4208640,0,2630,0.0045814146,0.0,0.028786536,3050.0,62614.97127199173,0.7369195,-4.410791873931885,-1.075,0.028786536
4209664,1,2631,0.005295137,0.0,0.054652683,3050.0,62615.60222196579,0.73900235,-8.5720853805542,-1.1,0.054652683
4210688,0,2631,0.0062819766,0.0,0.01743371,3050.0,62616.23445177078,0.8350345,-11.45973014831543,-1.1,0.01743371
4211712,0,2631,0.008364694,0.0,0.040889315,3050.0,62616.869270563126,0.63498247,-9.568583488464355,-1.1,0.040889315
4212736,1,2632,0.0039931987,0.0,0.019623043,3050.0,62617.501358270645,0.7231372,0.1742314100265503,-1.125,0.019623043
4213760,0,2632,0.0066387095,0.0,0.024972271,3050.0,62618.13373994827,0.76351213,0.34888756275177,-1.125,0.024972271
4214784,0,2632,0.0047983117,0.0,0.03355084,3050.0,62618.766117572784,0.7488178,-27.842634201049805,-1.125,0.03355084
4215808,1,2633,0.004339803,0.0,0.0318098,3050.0,62619.417410850525,0.7066882,-7.41130256652832,-1.175,0.0318098
4216832,0,2633,0.0056105554,0.0,0.02950712,3050.0,62620.04860305786,0.7757907,-18.735441207885742,-1.175,0.02950712
4217856,0,2633,0.009217164,0.0,0.035457052,3050.0,62620.682378292084,0.761186,-7.497873306274414,-1.175,0.035457052
4218880,1,2634,0.011328347,0.0,0.11213986,3050.0,62621.31536650658,0.7356245,-11.467254638671875,-1.175,0.11213986
4219904,0,2634,0.008388164,0.0,0.047607187,3050.0,62621.94736242294,0.758384,-9.308333396911621,-1.175,0.047607187
4220928,0,2634,0.00631068,0.0,0.02752635,3050.0,62622.58159041405,0.7306324,0.032412827014923096,-1.175,0.02752635
4221952,1,2635,0.008229582,0.0,0.07549746,3050.0,62623.215635061264,0.7219943,-19.478397369384766,-1.175,0.07549746
4222976,0,2635,0.008425944,0.0,0.030093148,3050.0,62623.84482884407,0.60882145,0.422737181186676,-1.175,0.030093148
4224000,1,2636,0.0052139936,0.0,0.034358088,3025.0,62624.47718954086,0.8187702,0.36407220363616943,-1.2,0.034358088
4225024,0,2636,0.00424435,0.0,0.0225042,3025.0,62625.11196756363,0.7296181,-3.9002676010131836,-1.2,0.0225042
4226048,0,2636,0.00877884,0.0,0.03462451,3025.0,62625.8190009594,0.87907565,0.46430057287216187,-1.2,0.03462451
4227072,1,2637,0.006779367,0.0,0.023367096,3025.0,62626.49297618866,0.7046165,0.28472810983657837,-1.275,0.023367096
4228096,0,2637,0.0060488535,0.0,0.042581435,3025.0,62627.12734866142,0.7407505,-1.7378242015838623,-1.275,0.042581435
4229120,0,2637,0.0039049115,0.0,0.020494875,3025.0,62627.78994727135,0.7610311,-0.08735537528991699,-1.275,0.020494875
4230144,1,2638,0.004716562,0.0,0.034392178,3025.0,62628.4954354763,0.67350924,-1.872321367263794,-1.2,0.034392178
4231168,0,2638,0.005427434,0.0,0.027465433,3025.0,62629.205512046814,0.72762233,0.5070261061191559,-1.2,0.027465433
4232192,0,2638,0.004168213,0.0,0.01911783,3025.0,62629.8362929821,0.88026106,-7.773743629455566,-1.2,0.01911783
4233216,1,2639,0.0147229,0.0,0.04932792,3025.0,62630.463656663895,0.80973315,-4.767744064331055,-1.225,0.04932792
4234240,0,2639,0.0069644446,0.0,0.02816061,3025.0,62631.09317779541,0.7697756,-7.518454551696777,-1.225,0.02816061
