#{"t_start": 1603430960.9936693, "env_id": null}
r,l,t
-1,734,1377.219998
-2,686,1380.757695
-1,710,1383.077695
2,705,1391.467595
-4,483,1393.575122
-4,485,1400.39112
2,706,1403.176974
1,751,1405.486964
-2,667,1408.720964
-1,787,1411.195964
3,601,1419.426909
-2,711,1421.89291
1,770,1425.333765
4,469,1427.160765
3,539,1435.778765
-3,635,1438.973503
-1,874,1443.254503
-3,586,1445.312369
-2,634,1454.068368
3,665,1456.190372
