EpLenMean,TimestepsSoFar,EpisodesSoFar,TimeElapsed,EpThisIter,loss_vf_loss,loss_pol_entpen,loss_pol_surr,loss_ent,EpRewMean,loss_kl,ev_tdlam_before
671.63,6283264,9442,22201.822618722916,6,0.017399581,0.0,-0.020313261,0.33036685,-0.14,0.006536105,0.9338106662034988
672.85,6287360,9448,22211.424618005753,6,0.015565231,0.0,-0.019323535,0.32994816,-0.16,0.0067444975,0.9341214001178741
667.55,6291456,9454,22220.81161904335,6,0.016985096,0.0,-0.02200368,0.30972165,-0.22,0.007116916,0.930033303797245
673.49,6295552,9460,22230.308618545532,6,0.018371081,0.0,-0.018538695,0.3076125,-0.27,0.006183045,0.9293391108512878
677.58,6299648,9466,22239.639617681503,6,0.014113978,0.0,-0.019650664,0.3340972,-0.36,0.007264011,0.9368530362844467
686.63,6303744,9471,22343.450617551804,5,0.015117267,0.0,-0.020103045,0.32978156,-0.35,0.0071668336,0.926439642906189
677.29,6307840,9478,22353.341618537903,7,0.016016498,0.0,-0.019529263,0.29879612,-0.28,0.0059811636,0.9439386576414108
678.34,6311936,9484,22362.56861805916,6,0.013524047,0.0,-0.02071574,0.31556797,-0.28,0.0075799637,0.9483604282140732
686.52,6316032,9490,22371.782618284225,6,0.0154832,0.0,-0.01798237,0.29789478,-0.33,0.0062354454,0.9467106722295284
690.84,6320128,9495,22381.04161810875,5,0.019535039,0.0,-0.02103936,0.31914863,-0.25,0.007932249,0.9239759743213654
686.41,6324224,9502,22390.279618263245,7,0.020508194,0.0,-0.017685497,0.3028551,-0.38,0.006310656,0.9371079802513123
687.85,6328320,9507,22399.766617774963,5,0.01606991,0.0,-0.018544406,0.29556,-0.3,0.006041289,0.9422879219055176
684.73,6332416,9514,22409.243618249893,7,0.013199819,0.0,-0.019657852,0.30929494,-0.24,0.0072730826,0.9429543130099773
683.42,6336512,9520,22418.517617702484,6,0.018054714,0.0,-0.017942615,0.3205629,-0.18,0.0070613027,0.9333444982767105
677.72,6340608,9527,22427.817619085312,7,0.021335423,0.0,-0.021240799,0.27995917,-0.14,0.006640897,0.9327573999762535
674.04,6344704,9533,22437.569618940353,6,0.018903306,0.0,-0.019985123,0.31412593,-0.18,0.00762276,0.9361214712262154
