policy_entropy,total_timesteps,explained_variance,nupdates,fps,value_loss
2.079423189163208,5,-109.19829559326172,1,12,0.009688053280115128
2.0794384479522705,500,-335.9649963378906,100,224,0.013991864398121834
2.079437732696533,1000,-345.6764831542969,200,247,0.023855801671743393
