total_timesteps,explained_variance,policy_entropy,value_loss,fps,nupdates
5,-10717.8037109375,1.7917464971542358,0.03024470806121826,29,1
500,-366648.5625,1.7917484045028687,0.021560590714216232,587,100
1000,-81777.1015625,1.7917149066925049,0.03355474770069122,681,200
