TimestepsSoFar,loss_ent,loss_vf_loss,ev_tdlam_before,TimeElapsed,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,EpRewMean,EpLenMean
256,1.7873075,0.022008816,-1.4050531387329102,1.2435495853424072,-0.017873075,0,0,-0.027106084,0.004401829,,
512,1.7841537,0.0146901915,0.5865620672702789,1.9286563396453857,-0.017841537,0,0,-0.015898542,0.0016683852,,
768,1.7789768,0.013837478,0.8160541653633118,2.5425169467926025,-0.017789768,1,1,-0.015263058,0.0024092267,-5.0,537.0
1024,1.7801522,0.019751465,0.7779099494218826,3.272355079650879,-0.017801521,0,1,-0.0069904737,0.0006322464,-5.0,537.0
