optimgain,EpLenMean,TimeElapsed,meankl,EpThisIter,EpisodesSoFar,entloss,explained_variance_tdlam_before,TimestepsSoFar,surrgain,EpRewMean,entropy
0.011349267,613.9,114.98636746406555,0.013830139,1,119,0.0,0.7203918099403381,75776,0.011349267,-4.85,2.0304127
0.017459694,618.4,116.34520244598389,0.013520004,2,121,0.0,0.7725164592266083,76800,0.017459694,-4.85,2.0264974
0.008671703,624.8,117.7203917503357,0.013241831,2,123,0.0,0.6143920123577118,77824,0.008671703,-4.8,2.0195055
0.011219893,629.35,119.39722537994385,0.012426316,1,124,0.0,0.7415862083435059,78848,0.011219893,-4.8,2.0201383
0.003782922,622.3,121.08283543586731,0.013180399,2,126,0.0,0.8282416760921478,79872,0.003782922,-4.85,2.0125432
0.015186079,618.05,122.79736423492432,0.013292942,2,128,0.0,0.6463043391704559,80896,0.015186079,-4.85,2.0088725
0.015219233,618.925,124.49511504173279,0.014696214,1,129,0.0,0.7100763916969299,81920,0.015219233,-4.85,2.0103102
0.009911243,622.625,126.18641638755798,0.01286083,2,131,0.0,0.7438668310642242,82944,0.009911243,-4.85,2.0024862
0.0057802503,631.0,127.96943187713623,0.012498753,2,133,0.0,0.5176249444484711,83968,0.0057802503,-4.825,2.0099788
0.0102285985,631.75,129.2948887348175,0.013138946,1,134,0.0,0.7473635971546173,84992,0.0102285985,-4.8,2.0101838
0.013164116,634.45,130.86083817481995,0.012873926,1,135,0.0,0.7571142762899399,86016,0.013164116,-4.8,2.0072541
0.011069936,636.475,132.53327918052673,0.014551116,2,137,0.0,0.7199176549911499,87040,0.011069936,-4.8,2.0090725
-9.429129e-05,632.45,133.86777138710022,0.013776986,2,139,0.0,0.7341214120388031,88064,-9.429129e-05,-4.8,2.0073924
-0.0002614269,633.7,135.2059042453766,0.013645427,2,141,0.0,0.7738955318927765,89088,-0.0002614269,-4.8,2.009089
0.0039477227,627.35,136.5281047821045,0.01437449,2,143,0.0,0.6744217872619629,90112,0.0039477227,-4.825,2.0111809
0.017482387,622.5,137.84896802902222,0.013809752,1,144,0.0,0.7887169271707535,91136,0.017482387,-4.85,2.0110853
0.0035838506,618.1,139.18587255477905,0.014191026,1,145,0.0,0.6762133538722992,92160,0.0035838506,-4.875,2.016762
0.010284027,623.05,140.50388264656067,0.014758719,2,147,0.0,0.8181677907705307,93184,0.010284027,-4.9,2.0110564
0.016445467,636.75,141.84164381027222,0.014447518,1,148,0.0,0.5859137177467346,94208,0.016445467,-4.875,2.0125747
0.010266464,634.7,143.16874480247498,0.014899343,1,149,0.0,0.6311290562152863,95232,0.010266464,-4.875,2.0090122
0.014051067,637.925,144.48852038383484,0.013652885,2,151,0.0,0.7788418233394623,96256,0.014051067,-4.85,2.0116196
0.007920509,643.8,145.97001004219055,0.013331262,1,152,0.0,0.6853480041027069,97280,0.007920509,-4.825,2.0092049
0.00714499,649.6,147.35810542106628,0.0148295,2,154,0.0,0.7920292466878891,98304,0.00714499,-4.825,2.0111513
0.0054447674,648.2,148.968599319458,0.013739681,1,155,0.0,0.7512860149145126,99328,0.0054447674,-4.825,2.008934
0.017238125,645.4,973.2440996170044,0.014281811,2,157,0.0,0.7513000667095184,100352,0.017238125,-4.825,2.0078068
0.015881,650.175,974.6095142364502,0.013523755,2,159,0.0,0.701259970664978,101376,0.015881,-4.825,2.009994
0.014930544,651.05,975.9394659996033,0.013860817,1,160,0.0,0.8286721557378769,102400,0.014930544,-4.825,2.000698
0.013863545,655.4,977.2608644962311,0.013925933,1,161,0.0,0.7518349140882492,103424,0.013863545,-4.825,2.0011802
0.013466643,663.325,978.5896606445312,0.012038022,2,163,0.0,0.6329929828643799,104448,0.013466643,-4.875,1.9987421
0.016948767,659.2,979.9101266860962,0.012863621,2,165,0.0,0.691135823726654,105472,0.016948767,-4.875,1.9878201
0.008568298,663.1,981.2914087772369,0.012771701,1,166,0.0,0.8102970123291016,106496,0.008568298,-4.875,1.9976071
0.0112170605,667.175,982.9808979034424,0.013866021,1,167,0.0,0.7778010070323944,107520,0.0112170605,-4.875,1.9858067
0.006127106,668.4,984.6637144088745,0.01208896,2,169,0.0,0.5963849425315857,108544,0.006127106,-4.875,1.9819326
0.011993015,672.2,986.0863420963287,0.014641212,2,171,0.0,0.6566594839096069,109568,0.011993015,-4.825,1.9839313
0.019578807,667.65,987.4155032634735,0.012318295,2,173,0.0,0.7119581997394562,110592,0.019578807,-4.85,1.9864801
0.021151926,653.475,988.7416996955872,0.0133559145,2,175,0.0,0.7602737993001938,111616,0.021151926,-4.875,1.9778037
0.013817813,649.375,990.070023059845,0.013947189,2,177,0.0,0.7616803199052811,112640,0.013817813,-4.875,1.9876112
0.0038456284,644.825,991.7572798728943,0.013127723,1,178,0.0,0.7117563188076019,113664,0.0038456284,-4.875,1.9875326
0.0132623,650.1,993.5589301586151,0.014104586,2,180,0.0,0.7361778914928436,114688,0.0132623,-4.875,1.9873635
