loss_pol_surr,ev_tdlam_before,loss_kl,loss_ent,loss_vf_loss,loss_pol_entpen,EpRewMean,TimestepsSoFar,TimeElapsed,EpLenMean,EpisodesSoFar,EpThisIter
-0.013349049,0.8319366574287415,0.008133821,1.4657016,0.010726958,0.0,-4.85,172032,205.26805210113525,712.53,255,5
-0.011955562,0.7562365978956223,0.005319853,1.452189,0.014370969,0.0,-4.87,176128,209.01834654808044,714.39,261,6
-0.0119403945,0.7833266109228134,0.00598213,1.469245,0.013923401,0.0,-4.87,180224,212.95906686782837,716.62,267,6
-0.013384516,0.7280726134777069,0.004287596,1.4273947,0.015932247,0.0,-4.85,184320,216.7211139202118,731.43,271,4
-0.01378706,0.720273494720459,0.006145083,1.4261917,0.01515025,0.0,-4.84,188416,220.57703256607056,743.44,275,4
-0.01358532,0.7692601680755615,0.005580992,1.3895819,0.013772974,0.0,-4.82,192512,224.78356003761292,755.78,280,5
-0.014533544,0.6643371284008026,0.0060515422,1.3934592,0.01561845,0.0,-4.8,196608,228.62548685073853,772.89,284,4
-0.01421014,0.6961326003074646,0.0051431423,1.4219975,0.014887639,0.0,-4.8,200704,279.02328991889954,780.3,288,4
-0.014378175,0.7267999351024628,0.009700658,1.4088081,0.013264012,0.0,-4.81,204800,282.817106962204,797.96,292,4
-0.014843605,0.7461011707782745,0.005331945,1.4111596,0.011916701,0.0,-4.81,208896,286.5908226966858,809.07,297,5
-0.012551514,0.7429822981357574,0.004700978,1.4148763,0.013781179,0.0,-4.83,212992,290.6780135631561,814.88,302,5
-0.014699491,0.7387628555297852,0.0067202183,1.374892,0.011319796,0.0,-4.87,217088,294.52893137931824,830.17,306,4
-0.012572954,0.6828028857707977,0.004444779,1.4039992,0.015992684,0.0,-4.86,221184,298.41117334365845,831.04,311,5
-0.014575116,0.701838344335556,0.0053882278,1.3720921,0.0150201535,0.0,-4.87,225280,302.1872205734253,841.78,315,4
-0.017703192,0.7158436477184296,0.0069831046,1.3689641,0.015850417,0.0,-4.86,229376,306.06318521499634,858.32,319,4
-0.015702842,0.721241682767868,0.0057729636,1.384555,0.011886032,0.0,-4.86,233472,309.85574173927307,871.7,323,4
-0.013326852,0.7106398046016693,0.0055279806,1.392161,0.012929497,0.0,-4.86,237568,313.736367225647,884.01,327,4
-0.015277116,0.6575281322002411,0.006410543,1.348827,0.0139494585,0.0,-4.86,241664,317.59427285194397,886.66,331,4
-0.015903194,0.6343029141426086,0.007265889,1.3689957,0.014510143,0.0,-4.86,245760,321.53180503845215,897.19,335,4
-0.015066525,0.6778369843959808,0.0056519336,1.2887255,0.012307633,0.0,-4.83,249856,325.3166093826294,908.76,339,4
-0.015364375,0.7333821654319763,0.006320684,1.299211,0.012318013,0.0,-4.83,253952,329.00084018707275,914.7,343,4
-0.0153717995,0.7025492787361145,0.0057091136,1.3134934,0.01490667,0.0,-4.83,258048,332.7385756969452,924.47,347,4
-0.014751756,0.6452668905258179,0.0050316947,1.3111677,0.016077248,0.0,-4.83,262144,336.48625564575195,936.74,351,4
-0.016675374,0.630480170249939,0.0049507576,1.2455322,0.013248299,0.0,-4.82,266240,340.2075197696686,953.55,354,3
-0.016105643,0.6940250098705292,0.005768775,1.2975591,0.010553949,0.0,-4.82,270336,344.0162308216095,971.85,357,3
-0.01331538,0.6557452976703644,0.0046313535,1.3290255,0.012582653,0.0,-4.82,274432,347.7559185028076,985.11,361,4
-0.011824524,0.5811290144920349,0.005127995,1.2666059,0.011786552,0.0,-4.81,278528,351.65250301361084,1003.6,363,2
-0.01682419,0.5938312709331512,0.006757852,1.2176692,0.009919904,0.0,-4.82,282624,355.68401312828064,1029.85,366,3
-0.013297397,0.5743300914764404,0.0051311483,1.281458,0.017279265,0.0,-4.81,286720,359.5610592365265,1041.99,369,3
-0.014134001,0.6502190828323364,0.0057952935,1.1676124,0.009916695,0.0,-4.81,290816,363.5130376815796,1061.82,372,3
-0.015444041,0.5148227214813232,0.0055154874,1.2000129,0.009877417,0.0,-4.82,294912,367.5087995529175,1075.77,374,2
-0.01433632,0.6847942471504211,0.0055214507,1.1481528,0.012450855,0.0,-4.82,299008,371.59411120414734,1086.86,377,3
-0.015168319,0.6651773452758789,0.006372292,1.1812205,0.012604008,0.0,-4.81,303104,440.1006827354431,1102.22,380,3
-0.015539124,0.5688699185848236,0.0054561784,1.148864,0.013292463,0.0,-4.82,307200,443.827938079834,1107.78,383,3
-0.0148088345,0.48728126287460327,0.006607926,1.1263787,0.009511857,0.0,-4.79,311296,447.6091318130493,1134.15,385,2
-0.016159955,0.5857420563697815,0.0066313297,1.1815987,0.011021466,0.0,-4.79,315392,451.4943697452545,1155.81,387,2
-0.01810605,0.5236938893795013,0.010185492,1.1984556,0.0140329935,0.0,-4.78,319488,455.3285026550293,1170.41,390,3
-0.014842077,0.5489628911018372,0.007225599,1.1494968,0.013712303,0.0,-4.76,323584,458.951007604599,1188.56,392,2
-0.0171202,0.6299581527709961,0.009062923,1.1440308,0.008793915,0.0,-4.76,327680,462.6694962978363,1214.02,394,2
