EpThisIter,surrgain,explained_variance_tdlam_before,entloss,entropy,EpLenMean,EpRewMean,TimestepsSoFar,TimeElapsed,EpisodesSoFar,meankl,optimgain
1,0.015048375,0.0664212703704834,0.0,1.7888634,661.0,-5.0,1024,6.901697158813477,1,0.002943058,0.015048375
2,0.015776597,0.44015538692474365,0.0,1.7868652,662.0,-4.666666666666667,2048,11.984397888183594,3,0.0037806998,0.015776597
2,0.017479232,0.535634845495224,0.0,1.7845051,597.0,-4.8,3072,17.06203055381775,5,0.004172045,0.017479232
1,0.01062656,0.5118756294250488,0.0,1.7811599,603.8333333333334,-4.833333333333333,4096,22.05954337120056,6,0.004300417,0.01062656
2,0.022899924,0.5199899077415466,0.0,1.7833846,602.75,-4.875,5120,27.19254159927368,8,0.0055428194,0.022899924
