EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
7,0.019766971,577.1428571428571,7,0.008073418,-0.0071220635,0.0,4096,7.989306211471558,0.13564252853393555,2.0714293,-4.714285714285714
14,0.015951386,563.5,7,0.007171422,-0.005800643,0.0,8192,15.485369682312012,0.7228205502033234,2.055474,-4.857142857142857
20,0.018937467,579.45,6,0.0052832784,-0.0057463637,0.0,12288,22.944405555725098,0.7836902439594269,2.0672462,-4.85
28,0.015903564,569.5357142857143,8,0.006063395,-0.00511589,0.0,16384,30.382380723953247,0.8104377686977386,2.0573733,-4.892857142857143
35,0.01946992,572.3714285714286,7,0.005768002,-0.007555497,0.0,20480,37.50318145751953,0.776274248957634,2.046675,-4.885714285714286
43,0.012751983,568.6279069767442,8,0.0064315614,-0.009422864,0.0,24576,44.59996151924133,0.8594371676445007,2.0401034,-4.906976744186046
50,0.013730881,570.6,7,0.0067749023,-0.007084883,0.0,28672,51.915353536605835,0.840238407254219,2.045395,-4.92
57,0.016099729,573.140350877193,7,0.005912853,-0.008503508,0.0,32768,59.03570532798767,0.8116618692874908,2.0443163,-4.912280701754386
64,0.017516043,574.328125,7,0.00684552,-0.008030042,0.0,36864,66.19304466247559,0.7835531979799271,2.0377731,-4.90625
70,0.016153123,577.4285714285714,6,0.010270906,-0.010529356,0.0,40960,73.59174609184265,0.7556642591953278,2.0147843,-4.914285714285715
77,0.013146938,581.1298701298701,7,0.00878736,-0.009957543,0.0,45056,80.96952295303345,0.8254430741071701,1.9999654,-4.922077922077922
84,0.017913884,582.0,7,0.0068998616,-0.008425256,0.0,49152,88.13125801086426,0.7864146381616592,1.9974209,-4.928571428571429
90,0.01798286,590.2111111111111,6,0.00641272,-0.006314665,0.0,53248,95.59018611907959,0.7823306769132614,1.9869959,-4.9
97,0.016410118,589.5051546391752,7,0.0051454934,-0.0066444315,0.0,57344,103.04628777503967,0.8126307129859924,2.0042026,-4.896907216494846
103,0.016768059,590.72,6,0.0069585773,-0.005845979,0.0,61440,110.49069046974182,0.7833901047706604,1.9757193,-4.9
110,0.016150666,594.54,7,0.0048619234,-0.0052934834,0.0,65536,117.69740056991577,0.8193569630384445,1.9794817,-4.9
117,0.01424798,596.31,7,0.0061509064,-0.0077311043,0.0,69632,124.92710542678833,0.8429681807756424,1.9722368,-4.9
125,0.013027376,593.68,8,0.0050630444,-0.0047334,0.0,73728,132.23418974876404,0.8524975180625916,1.9748731,-4.91
131,0.016098015,600.27,6,0.009402941,-0.0073001897,0.0,77824,139.71923875808716,0.817155510187149,1.9477059,-4.9
138,0.014908195,598.52,7,0.007024099,-0.008215539,0.0,81920,147.1842646598816,0.836110919713974,1.9398305,-4.9
144,0.011648197,603.68,6,0.0064594,-0.006168711,0.0,86016,154.50085425376892,0.866279125213623,1.9190414,-4.9
151,0.01527181,601.82,7,0.0069526895,-0.0077652386,0.0,90112,161.65721678733826,0.80775485932827,1.916689,-4.89
159,0.014733883,601.7,8,0.006749396,-0.0044167778,0.0,94208,168.8283019065857,0.8204013854265213,1.8960148,-4.91
165,0.012717378,604.05,6,0.0064949756,-0.005372318,0.0,98304,176.28771328926086,0.8332201391458511,1.888384,-4.91
171,0.011762483,608.05,6,0.006145259,-0.0048417733,0.0,102400,245.76158499717712,0.8532630205154419,1.8852764,-4.91
178,0.012052352,610.93,7,0.0065875286,-0.008046967,0.0,106496,253.09677243232727,0.8394850939512253,1.8748454,-4.91
184,0.014427158,612.97,6,0.00817641,-0.0077119395,0.0,110592,260.2014672756195,0.8331657946109772,1.8579546,-4.91
190,0.01663015,609.9,6,0.007665515,-0.008388907,0.0,114688,267.4676513671875,0.8132953345775604,1.8765732,-4.91
197,0.014939147,609.37,7,0.0077964687,-0.0052539553,0.0,118784,274.6755292415619,0.8226203769445419,1.8722992,-4.9
204,0.017521612,610.98,7,0.008365895,-0.006890464,0.0,122880,281.7922375202179,0.8207450360059738,1.8406925,-4.89
210,0.014640387,615.71,6,0.0063067568,-0.001610847,0.0,126976,289.1399738788605,0.8211657106876373,1.864608,-4.87
217,0.017077228,614.39,7,0.0057715345,-0.002797644,0.0,131072,296.40887331962585,0.8171093612909317,1.8736724,-4.86
224,0.01227181,618.64,7,0.006946802,-0.0060913083,0.0,135168,303.88340163230896,0.8632067739963531,1.869118,-4.86
230,0.016815046,617.4,6,0.005835115,-0.0078053726,0.0,139264,311.27487230300903,0.8281474709510803,1.8482457,-4.85
237,0.015500169,621.84,7,0.008455735,-0.0076115797,0.0,143360,318.4020185470581,0.8189978301525116,1.8548003,-4.84
244,0.016308285,617.13,7,0.0064116376,-0.005078449,0.0,147456,325.596684217453,0.7939812242984772,1.8672966,-4.83
250,0.011995439,627.51,6,0.007104846,-0.0064199762,0.0,151552,333.0656611919403,0.8492915779352188,1.8615551,-4.83
256,0.015054309,632.97,6,0.0067505073,-0.0056944033,0.0,155648,340.5520370006561,0.8223256468772888,1.8507035,-4.81
263,0.01317076,632.0,7,0.0070010275,-0.0068527185,0.0,159744,347.6947269439697,0.8437508940696716,1.8666952,-4.81
269,0.012877721,626.16,6,0.006637184,-0.0060349954,0.0,163840,354.8895809650421,0.8361928761005402,1.846563,-4.81
276,0.015389351,628.08,7,0.008909229,-0.00985206,0.0,167936,362.10729932785034,0.8168847560882568,1.8187373,-4.79
283,0.015043911,621.55,7,0.009224686,-0.008211276,0.0,172032,369.30097341537476,0.8360083252191544,1.777312,-4.78
290,0.013977126,616.65,7,0.0055696703,-0.008954985,0.0,176128,376.54587411880493,0.8327908217906952,1.771055,-4.8
298,0.016810229,612.9,8,0.007663867,-0.009366917,0.0,180224,383.96967124938965,0.8124457895755768,1.7623229,-4.81
306,0.012342288,602.54,8,0.007807895,-0.0072079184,0.0,184320,391.4733135700226,0.8393811732530594,1.7745229,-4.85
311,0.016035685,606.36,5,0.0095873,-0.006642257,0.0,188416,398.97304677963257,0.785842701792717,1.7803096,-4.85
318,0.015248413,605.84,7,0.00859764,-0.007886609,0.0,192512,406.48504066467285,0.8219805359840393,1.7517003,-4.84
324,0.014475454,610.7,6,0.006248075,-0.005449532,0.0,196608,415.37677907943726,0.8403450548648834,1.7460254,-4.84
329,0.0126052685,616.46,5,0.007518243,-0.0037896005,0.0,200704,487.96896171569824,0.8488066494464874,1.7140558,-4.83
336,0.013346323,620.11,7,0.0051633264,-0.0062512737,0.0,204800,495.4716110229492,0.860077291727066,1.7263781,-4.84
343,0.01273747,620.91,7,0.006801977,-0.008352069,0.0,208896,502.9708697795868,0.8421623706817627,1.7463613,-4.85
351,0.0129819475,608.76,8,0.0073818713,-0.006638395,0.0,212992,510.4861500263214,0.8377695083618164,1.7124065,-4.85
357,0.012948206,604.21,6,0.007328625,-0.0073910314,0.0,217088,517.9951317310333,0.8599163293838501,1.6962456,-4.87
364,0.012073488,608.54,7,0.0061259572,-0.0069710463,0.0,221184,525.5529057979584,0.8619669824838638,1.7069365,-4.87
371,0.011547046,605.47,7,0.0075271484,-0.0067863706,0.0,225280,534.6438570022583,0.8571883887052536,1.6898772,-4.87
378,0.011235122,601.44,7,0.0069695693,-0.0052377577,0.0,229376,542.1639308929443,0.8601355105638504,1.6880665,-4.89
385,0.01249459,606.88,7,0.0070274835,-0.004629286,0.0,233472,549.6913294792175,0.8047507554292679,1.7208409,-4.88
390,0.0123437205,613.32,5,0.00715572,-0.007041026,0.0,237568,557.2036101818085,0.8243240416049957,1.726243,-4.87
397,0.010461869,614.74,7,0.008791316,-0.005772915,0.0,241664,564.7129189968109,0.8782039806246758,1.668618,-4.88
404,0.013338912,617.09,7,0.008018512,-0.006164811,0.0,245760,572.31232380867,0.8396545350551605,1.713816,-4.88
410,0.011205914,622.34,6,0.0056523485,-0.0059215818,0.0,249856,579.9019656181335,0.8592795431613922,1.6858734,-4.88
417,0.011762625,619.78,7,0.007902491,-0.006134782,0.0,253952,587.4523243904114,0.8627761900424957,1.6766355,-4.9
425,0.012778648,611.03,8,0.008920066,-0.009326343,0.0,258048,598.0630242824554,0.8525945097208023,1.6385604,-4.89
432,0.01349246,600.54,7,0.008675991,-0.0070426827,0.0,262144,605.2472152709961,0.8168974965810776,1.6241634,-4.88
438,0.012487172,602.58,6,0.0077669225,-0.0058417316,0.0,266240,612.4979484081268,0.8497135639190674,1.5836846,-4.88
444,0.012149648,608.4,6,0.007603802,-0.007830274,0.0,270336,619.8223221302032,0.838622972369194,1.5801623,-4.89
452,0.012491114,604.87,8,0.0061694086,-0.0036181028,0.0,274432,627.2484307289124,0.82306307554245,1.552152,-4.88
