EpThisIter,EpisodesSoFar,EpLenMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,EpRewMean,ev_tdlam_before,TimeElapsed,TimestepsSoFar,loss_pol_surr
6,20553,745.73,0.010228436,0.605271,0.0,0.01820307,1.43,0.8961845934391022,52636.19051647186,13946880,-0.031434923
5,20558,743.0,0.01012498,0.62563276,0.0,0.0256869,1.49,0.8747302889823914,52644.05351662636,13950976,-0.030949572
5,20563,737.48,0.011212736,0.60513824,0.0,0.026376503,1.4,0.8401457667350769,52651.67551660538,13955072,-0.031018423
6,20569,743.68,0.0093664015,0.6119865,0.0,0.018819282,1.29,0.8632499277591705,52659.46451663971,13959168,-0.031609222
5,20574,744.26,0.011120787,0.5982033,0.0,0.018109564,1.32,0.8715671896934509,52667.05151605606,13963264,-0.029393138
6,20580,747.56,0.010731833,0.6275812,0.0,0.021792676,1.33,0.8319066017866135,52674.597516298294,13967360,-0.030205952
5,20585,744.6,0.010522355,0.5949299,0.0,0.015758757,1.52,0.8566871583461761,52682.03051662445,13971456,-0.030875938
5,20590,741.83,0.010351977,0.60698515,0.0,0.019807683,1.55,0.8381073772907257,52689.45951628685,13975552,-0.03129208
6,20596,744.01,0.010584904,0.5753342,0.0,0.013757494,1.59,0.9106807708740234,52697.02251791954,13979648,-0.03028659
5,20601,744.45,0.0097207995,0.59525627,0.0,0.01516182,1.5,0.8576372563838959,52704.541516542435,13983744,-0.03046852
7,20608,735.04,0.008405437,0.5839701,0.0,0.022290925,1.65,0.8661125004291534,52712.395516872406,13987840,-0.02917904
5,20613,740.46,0.011251136,0.6031054,0.0,0.018000571,1.71,0.8742861747741699,52719.85751700401,13991936,-0.031836156
5,20618,741.54,0.010198178,0.59798914,0.0,0.019174002,1.7,0.873573049902916,52727.5615170002,13996032,-0.03205319
5,20623,746.36,0.009973735,0.59281516,0.0,0.016482059,1.66,0.8713546991348267,52847.47651672363,14000128,-0.030025462
6,20629,742.11,0.011178812,0.59444207,0.0,0.017403495,1.68,0.8911904692649841,52911.661099910736,14004224,-0.02805427
6,20635,735.16,0.009548021,0.5931719,0.0,0.011211841,1.68,0.9238175824284554,52918.91410827637,14008320,-0.030832464
6,20641,740.14,0.010253161,0.60386443,0.0,0.019965682,1.65,0.8460685163736343,52926.2491004467,14012416,-0.028848074
5,20646,740.81,0.010710227,0.5980212,0.0,0.013680838,1.67,0.8736630827188492,52933.3490998745,14016512,-0.028809119
6,20652,739.56,0.010092457,0.60702926,0.0,0.016598126,1.58,0.8345465064048767,52940.52109980583,14020608,-0.030428318
7,20659,731.26,0.010878943,0.59627837,0.0,0.01919937,1.7,0.8093879073858261,52947.68710041046,14024704,-0.030113414
5,20664,729.84,0.010419148,0.5996459,0.0,0.018601237,1.9,0.8149584531784058,52955.154099702835,14028800,-0.032549106
7,20671,721.24,0.010306587,0.5848525,0.0,0.021133894,1.93,0.8714713901281357,52962.63009977341,14032896,-0.030463526
6,20677,721.0,0.010300736,0.59276927,0.0,0.013200941,1.89,0.8922452926635742,52970.10810089111,14036992,-0.03256604
5,20682,717.55,0.010047993,0.5679225,0.0,0.017432384,1.89,0.8951303511857986,52977.9321000576,14041088,-0.02754749
5,20687,724.58,0.010984049,0.61185336,0.0,0.018517833,1.87,0.8806412443518639,52985.61810064316,14045184,-0.028914798
6,20693,715.04,0.011494455,0.59101343,0.0,0.016476514,1.87,0.8580724895000458,52993.27110052109,14049280,-0.030536495
5,20698,716.48,0.010090839,0.5839107,0.0,0.016579341,1.84,0.8675748854875565,53000.80510044098,14053376,-0.028006455
6,20704,720.45,0.009973122,0.58778656,0.0,0.012627059,1.83,0.9057871699333191,53008.32809996605,14057472,-0.030780641
5,20709,728.94,0.011304665,0.6105472,0.0,0.01940769,1.73,0.8617066890001297,53015.88709998131,14061568,-0.031164866
5,20714,722.25,0.010195868,0.59573394,0.0,0.018997276,1.81,0.8599007427692413,53023.36610007286,14065664,-0.03037978
6,20720,723.5,0.009312136,0.5985777,0.0,0.020725042,1.74,0.8395858108997345,53030.81709980965,14069760,-0.028097138
6,20726,721.89,0.009286026,0.5755592,0.0,0.013785735,1.72,0.9116692543029785,53038.588101148605,14073856,-0.028993674
5,20731,722.64,0.009613587,0.58888423,0.0,0.017155703,1.77,0.8750583603978157,53046.27010035515,14077952,-0.029449934
6,20737,726.39,0.011731697,0.6029175,0.0,0.01763472,1.76,0.8789765760302544,53054.065100193024,14082048,-0.03074657
6,20743,720.4,0.009604671,0.57995075,0.0,0.016500602,1.86,0.8513558506965637,53061.795100450516,14086144,-0.03045276
6,20749,719.98,0.010035095,0.61587197,0.0,0.019154584,1.74,0.7858533263206482,53069.30510139465,14090240,-0.028548362
6,20755,720.74,0.0093550645,0.5711652,0.0,0.015676798,1.74,0.8828653767704964,53076.882100343704,14094336,-0.028686121
5,20760,725.2,0.010826381,0.6111062,0.0,0.015305114,1.74,0.8903084099292755,53084.52210068703,14098432,-0.031181395
5,20765,733.75,0.010438889,0.5934681,0.0,0.014770756,1.65,0.8667513579130173,53213.89510059357,14102528,-0.029018877
4,20769,744.5,0.009735344,0.6173862,0.0,0.018023288,1.73,0.8210491985082626,53267.93149757385,14106624,-0.030268574
6,20775,751.34,0.010936754,0.601324,0.0,0.01959005,1.71,0.8393568247556686,53275.17649745941,14110720,-0.03180266
5,20780,758.15,0.01060663,0.5892363,0.0,0.018897887,1.67,0.8530149310827255,53282.39049744606,14114816,-0.027848028
5,20785,754.08,0.010672573,0.59537387,0.0,0.01799271,1.63,0.867681697010994,53289.71449756622,14118912,-0.030894887
6,20791,751.9,0.009902562,0.5978509,0.0,0.01761176,1.7,0.8526073396205902,53297.27649784088,14123008,-0.032268945
