EpLenMean,EpRewMean,loss_pol_surr,loss_kl,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_ent,loss_pol_entpen,TimestepsSoFar
547.5714285714286,-5.0,-0.008151144,0.007404889,-0.9590561389923096,7,7,0.021498723,4.168776273727417,2.0721905,0.0,4096
571.3571428571429,-5.0,-0.011950029,0.009078365,0.610308825969696,7,14,0.016855733,7.967754602432251,2.0562003,0.0,8192
561.3809523809524,-5.0,-0.008171866,0.005576636,0.8107305765151978,7,21,0.014132039,12.120521545410156,2.0535836,0.0,12288
585.9629629629629,-5.0,-0.009998769,0.0062523293,0.7211249470710754,6,27,0.018472627,16.008694887161255,2.051894,0.0,16384
601.3823529411765,-4.882352941176471,-0.012675726,0.008147529,0.7687005400657654,7,34,0.020275438,20.173746347427368,2.0330305,0.0,20480
605.2,-4.875,-0.013036427,0.007267366,0.7575401365756989,6,40,0.021296209,24.336509943008423,2.0156531,0.0,24576
601.468085106383,-4.872340425531915,-0.01093997,0.00737954,0.8372121751308441,7,47,0.014683436,28.503063917160034,2.005305,0.0,28672
612.4150943396227,-4.886792452830188,-0.009654961,0.007903611,0.8114015758037567,6,53,0.015668072,32.67002987861633,1.9819267,0.0,32768
610.3389830508474,-4.88135593220339,-0.014110734,0.007838202,0.8098737448453903,6,59,0.017860653,36.83143448829651,1.9675312,0.0,36864
620.2575757575758,-4.848484848484849,-0.010720326,0.008812945,0.8273830115795135,7,66,0.015830195,40.99581551551819,1.9497579,0.0,40960
620.1527777777778,-4.833333333333333,-0.010319148,0.0070504565,0.8247150778770447,6,72,0.017275779,44.91069555282593,1.9190017,0.0,45056
617.7848101265823,-4.848101265822785,-0.008602308,0.0051263766,0.8339952230453491,7,79,0.016713688,49.07406830787659,1.9161539,0.0,49152
620.9058823529411,-4.847058823529411,-0.013107911,0.0063676494,0.7969914823770523,6,85,0.018867591,53.207730770111084,1.9007291,0.0,53248
628.8021978021978,-4.835164835164835,-0.008858496,0.0059672333,0.7961680889129639,6,91,0.017654186,56.97069692611694,1.9126745,0.0,57344
624.295918367347,-4.846938775510204,-0.011548386,0.006095443,0.7930667996406555,7,98,0.01581797,60.74964141845703,1.9003608,0.0,61440
626.29,-4.85,-0.011364857,0.008041187,0.8460642695426941,7,105,0.013402594,64.73447680473328,1.8775076,0.0,65536
624.66,-4.85,-0.0113047175,0.0062245615,0.8403717428445816,7,112,0.0113574695,68.90325427055359,1.866874,0.0,69632
631.47,-4.85,-0.009954594,0.0068528103,0.8173312246799469,6,118,0.01411169,72.6765546798706,1.8791413,0.0,73728
634.86,-4.82,-0.013886741,0.0072448915,0.8040741235017776,7,125,0.013472667,76.44134163856506,1.8679426,0.0,77824
631.97,-4.83,-0.008470292,0.004174489,0.794408768415451,6,131,0.016198438,80.20033288002014,1.887061,0.0,81920
635.37,-4.82,-0.010958323,0.00773324,0.8097692579030991,6,137,0.01397447,84.33525395393372,1.893076,0.0,86016
638.05,-4.83,-0.012520902,0.0070532635,0.8114804476499557,6,143,0.013517272,88.3166868686676,1.8708067,0.0,90112
642.28,-4.83,-0.012772057,0.00692674,0.7908129394054413,6,149,0.013234709,92.28615641593933,1.8496243,0.0,94208
638.06,-4.83,-0.010969066,0.005678684,0.8136466592550278,7,156,0.013090187,96.4483551979065,1.8132005,0.0,98304
636.94,-4.84,-0.01402729,0.008264148,0.7718738913536072,6,162,0.019620463,509.6480510234833,1.8259363,0.0,102400
640.69,-4.84,-0.012865198,0.0052559776,0.824687048792839,6,168,0.012721613,513.4167032241821,1.8212498,0.0,106496
645.53,-4.85,-0.012598243,0.005558071,0.8056986182928085,6,174,0.013661474,517.170880317688,1.814832,0.0,110592
643.96,-4.85,-0.010724301,0.0052002543,0.8378852605819702,7,181,0.01287261,520.9271895885468,1.8410447,0.0,114688
643.76,-4.86,-0.011477533,0.005541069,0.8045430183410645,6,187,0.014100917,524.9070081710815,1.8089021,0.0,118784
636.65,-4.88,-0.013927807,0.0056553767,0.8276771456003189,7,194,0.012700493,528.688229560852,1.7853402,0.0,122880
644.47,-4.88,-0.014458346,0.0055167093,0.7900416553020477,5,199,0.011498677,532.4512279033661,1.742237,0.0,126976
651.36,-4.85,-0.014409355,0.007094662,0.8021713644266129,6,205,0.014167784,536.2025344371796,1.7729918,0.0,131072
658.42,-4.84,-0.013082655,0.005842523,0.8099289834499359,6,211,0.013346971,539.9615051746368,1.7745905,0.0,135168
666.13,-4.83,-0.012845452,0.005295756,0.7947622090578079,5,216,0.013372484,543.7300345897675,1.7968943,0.0,139264
666.98,-4.85,-0.012688076,0.0047583682,0.7920723706483841,6,222,0.014367229,547.4880964756012,1.7958664,0.0,143360
668.62,-4.85,-0.015308603,0.009158656,0.8434575647115707,7,229,0.0127241025,551.4227755069733,1.758621,0.0,147456
668.08,-4.88,-0.011197974,0.0056322613,0.8463178128004074,6,235,0.010921389,555.3719985485077,1.7509496,0.0,151552
665.12,-4.88,-0.014524443,0.006665793,0.8843158781528473,6,241,0.010503106,559.1384890079498,1.7133241,0.0,155648
677.77,-4.87,-0.014577728,0.007487679,0.8199968189001083,5,246,0.011341398,562.923611164093,1.672874,0.0,159744
679.5,-4.87,-0.0127926115,0.006050998,0.8107264190912247,6,252,0.01120308,566.9533505439758,1.6822274,0.0,163840
690.49,-4.87,-0.014407039,0.0061480207,0.7889983803033829,6,258,0.014549825,571.1149632930756,1.6303158,0.0,167936
691.95,-4.88,-0.01429551,0.00752781,0.7846435457468033,5,263,0.012652132,575.2784645557404,1.5809834,0.0,172032
706.16,-4.87,-0.016369054,0.0069529032,0.7056375741958618,4,267,0.014213397,579.4359333515167,1.6165468,0.0,176128
713.26,-4.86,-0.013814619,0.0044585536,0.7267514169216156,5,272,0.015853012,583.5930449962616,1.5853125,0.0,180224
712.16,-4.87,-0.012989938,0.0067733605,0.7948717474937439,6,278,0.010595582,587.7515187263489,1.6103005,0.0,184320
719.94,-4.86,-0.015693553,0.0076304856,0.747606098651886,4,282,0.0146460915,591.9101047515869,1.5370312,0.0,188416
733.89,-4.83,-0.012258993,0.0047610463,0.7455672323703766,5,287,0.014900383,595.8691470623016,1.5613766,0.0,192512
748.77,-4.82,-0.015679846,0.005887396,0.7450582683086395,5,292,0.014878333,599.9060795307159,1.5438726,0.0,196608
748.92,-4.81,-0.016772173,0.0076897317,0.7727555632591248,5,297,0.015146116,1167.2809793949127,1.5694929,0.0,200704
755.01,-4.83,-0.014038287,0.0047915913,0.7074235379695892,5,302,0.013890216,1171.4442729949951,1.558321,0.0,204800
773.72,-4.84,-0.014708899,0.008244465,0.7148142755031586,4,306,0.011677769,1175.6070597171783,1.4939103,0.0,208896
779.21,-4.83,-0.015896713,0.0056259013,0.6812242567539215,4,310,0.014505298,1179.773047208786,1.4617684,0.0,212992
786.07,-4.85,-0.013784343,0.005252884,0.5586873590946198,4,314,0.014583938,1183.930773973465,1.4738089,0.0,217088
802.24,-4.84,-0.013222041,0.0053836633,0.6440799534320831,4,318,0.015274822,1188.0940160751343,1.4369035,0.0,221184
827.77,-4.84,-0.01498409,0.005777613,0.6687795221805573,3,321,0.011837814,1192.2574272155762,1.424673,0.0,225280
848.34,-4.83,-0.0123656625,0.0069730384,0.6750942468643188,4,325,0.01348627,1196.4341282844543,1.408895,0.0,229376
856.81,-4.85,-0.012970572,0.0054088514,0.6469265222549438,3,328,0.013618524,1200.6014077663422,1.4116766,0.0,233472
871.54,-4.85,-0.013431133,0.006563557,0.6176502704620361,2,330,0.01148861,1204.7606718540192,1.3417948,0.0,237568
901.68,-4.83,-0.017284883,0.008023261,0.6065381467342377,4,334,0.012414158,1208.9296066761017,1.3835253,0.0,241664
925.0,-4.82,-0.015222413,0.0059752534,0.6228623986244202,3,337,0.012021115,1213.0930721759796,1.310088,0.0,245760
942.54,-4.83,-0.010899926,0.006032899,0.6278292238712311,3,340,0.0108259525,1217.2027146816254,1.3300627,0.0,249856
968.22,-4.84,-0.013508046,0.0055480334,0.5799728631973267,3,343,0.012039773,1221.1793985366821,1.296832,0.0,253952
985.83,-4.84,-0.013881037,0.006357214,0.5528805553913116,3,346,0.011487357,1224.9451973438263,1.310108,0.0,258048
999.23,-4.84,-0.014346697,0.007687916,0.4730260968208313,2,348,0.012929476,1228.7929394245148,1.3171295,0.0,262144
1036.58,-4.82,-0.014787557,0.0059210043,0.4889466166496277,2,350,0.008137775,1232.8259658813477,1.2903799,0.0,266240
1053.23,-4.82,-0.013589448,0.0045264657,0.5405449569225311,3,353,0.011577317,1236.995102405548,1.3399862,0.0,270336
1073.29,-4.8,-0.014911635,0.009074781,0.4483221173286438,2,355,0.013918565,1241.1800351142883,1.249025,0.0,274432
1108.49,-4.79,-0.014285557,0.005398454,0.5752598345279694,2,357,0.009227636,1245.244000196457,1.2490904,0.0,278528
1128.25,-4.79,-0.01645889,0.006785038,0.40339523553848267,1,358,0.008989632,1249.1668467521667,1.2741784,0.0,282624
1151.79,-4.77,-0.015751347,0.0081298435,0.4105176329612732,1,359,0.005250792,1252.9611539840698,1.3537959,0.0,286720
