#{"t_start": 1603728818.5685163, "env_id": "SlimeVolley-v0"}
r,l,t
-5,564,1.489743
-5,581,2.281609
-4,830,2.753701
-5,590,3.158338
-5,615,3.576689
-5,562,3.941469
-5,881,4.592015
-5,525,5.00827
-5,581,5.381684
-5,774,5.87084
-5,483,6.134521
-5,533,6.491196
-5,875,7.033292
-5,725,7.427694
-5,550,7.792812
-5,434,8.029418
-5,555,8.400389
-5,667,8.834712
-5,510,9.114149
-5,728,9.580804
-5,611,9.915427
-5,447,10.227807
-5,692,10.608326
-5,607,11.007381
-5,650,11.429834
-5,569,11.757143
-5,722,12.220712
-5,454,12.475689
-5,571,12.902147
-5,600,13.346627
-5,546,13.685324
-5,589,14.123066
-5,498,14.431557
-5,569,14.856956
-5,624,15.241065
-5,582,15.670305
-4,594,16.035034
-4,531,16.434089
-5,703,16.939492
-5,1200,17.746829
-5,622,18.130343
-5,668,18.613962
-5,495,18.992704
-5,390,19.232843
-5,594,19.669738
-5,493,19.973393
-5,462,20.230578
-5,559,20.602966
-5,579,20.985219
-5,646,21.338423
-4,583,21.723253
-5,517,22.006234
-4,763,22.490951
-5,672,22.927311
-5,822,23.377194
-5,519,23.726548
-5,655,24.15139
-4,718,24.544209
-5,507,24.888705
-5,621,25.228911
-4,1173,26.002575
-5,525,26.290996
-5,433,26.598728
-5,728,26.998868
-5,501,27.340449
-4,725,27.736724
-5,513,28.084404
-5,809,28.593812
-4,730,28.99416
-5,647,29.415664
-5,702,29.86607
-5,534,30.159787
-5,375,30.432554
-5,531,30.723411
-5,647,31.143906
-5,513,31.424196
-5,417,31.718277
-5,572,32.030269
-5,588,32.418305
-5,530,32.708347
-5,576,33.090398
-5,413,33.317701
-5,608,33.71674
-5,527,34.007621
-5,656,34.475812
-5,540,34.882615
-5,581,35.242375
-5,386,35.553167
-5,668,35.963854
-5,744,36.493125
-5,532,36.820674
-5,716,37.333669
-4,722,37.853789
-4,547,38.192826
-5,542,38.600172
-4,586,38.961305
-5,668,39.443956
-4,629,39.902813
-5,629,40.289918
-5,435,40.629479
-5,680,41.048527
-5,574,41.47449
-5,727,41.994403
-5,742,42.451574
-5,473,42.817679
-4,676,43.308438
-5,437,43.577955
-5,661,44.055593
-5,643,44.453901
-5,399,44.773974
-5,725,45.22308
-5,587,45.659483
-5,534,45.990378
-5,502,46.373858
-4,633,46.836481
-5,763,47.306344
-5,617,47.757512
-5,501,48.065089
-5,493,48.441552
-5,533,48.772031
-5,438,49.114898
-5,595,49.48299
-3,749,50.003762
-5,797,50.528255
-5,530,50.854348
-5,552,51.268663
-5,518,51.586743
-5,597,52.024843
-5,587,52.46143
-5,492,52.766421
-5,505,53.152156
-5,621,53.53713
-5,604,53.982931
-5,526,54.308613
-4,898,54.936727
-5,492,55.313229
-5,427,55.577396
-5,713,56.087298
-5,636,56.481543
-4,886,57.039058
-4,615,57.443227
-5,655,57.870806
-5,535,58.166138
-5,663,58.598465
-5,830,59.122003
-5,619,59.474446
-5,599,59.897973
-5,555,60.201951
-5,455,60.518274
-5,589,60.839159
-5,538,61.198308
-5,543,61.495304
-5,489,61.838628
-5,602,62.180583
-5,556,62.565798
-5,573,62.891709
-5,838,63.436611
-5,841,63.985625
-5,542,64.364742
-5,536,64.6708
-5,649,65.109196
-5,587,65.444501
-5,419,65.751506
-4,706,66.155289
-5,656,66.597229
-5,668,67.084178
-5,634,67.48423
-5,725,67.941831
-5,908,68.518329
-5,651,68.931341
-5,640,69.35853
-4,687,69.824687
-5,704,70.302568
-5,530,70.661411
-5,721,71.147251
-5,441,71.44455
-5,585,71.839582
-5,589,72.237346
-5,601,72.645222
-5,551,73.019287
-3,786,73.55267
-5,535,73.915692
-5,604,74.287668
-5,572,74.635581
-4,520,74.965435
-5,855,75.504698
-5,548,75.844715
-5,735,76.29103
-5,750,76.746818
-5,546,77.079546
-5,527,77.400067
-5,562,77.777944
-5,634,78.230694
-5,757,78.771812
-5,570,79.177736
-5,464,79.507375
-5,436,79.791529
-4,665,80.212133
-5,679,80.64078
-5,458,80.929165
-4,940,81.520762
-4,818,82.037399
-5,614,82.423988
-5,572,82.784644
-5,707,83.231577
-4,561,83.584934
-5,777,84.075787
-5,434,84.349643
-5,692,84.785887
-5,821,85.302634
-4,737,85.776776
-5,612,86.190027
-5,591,86.58872
-5,557,86.964723
-5,711,87.444387
-5,581,87.836773
-5,526,88.190126
-5,974,88.804626
-5,545,89.136191
-5,641,89.525218
-4,635,89.915458
-5,567,90.261529
-5,471,90.558804
-5,498,90.873375
-5,522,91.20317
-5,494,91.514851
-5,490,91.823258
-4,674,92.249315
-5,673,92.674262
-5,505,92.99336
-5,616,93.381924
-5,432,93.653936
-5,525,93.985856
-5,616,94.375755
-5,486,94.683655
-5,588,95.056656
-5,594,95.431752
-5,642,95.838305
-5,447,96.121036
-5,721,96.577036
-5,681,97.036947
-5,491,97.352426
-5,579,97.70291
-5,740,98.151449
-5,610,98.521471
-4,499,98.825474
-5,470,99.11119
-5,620,99.487527
-5,720,99.922445
-5,1090,100.581872
-5,425,100.83847
-5,729,101.278736
-5,604,101.643344
-5,481,101.934969
-4,779,102.405076
-5,459,102.682828
-5,507,102.988958
-4,627,103.366993
-5,437,103.640246
-5,593,104.01484
-5,569,104.373454
-5,750,104.84766
-5,531,105.184209
-5,472,105.482402
-5,580,105.848554
-5,1102,106.544587
-5,703,106.987724
-4,807,107.496931
-5,762,107.975995
-5,551,108.323089
-4,675,108.749084
-5,933,109.360896
-5,944,109.961298
-5,644,110.353035
-5,757,110.820637
-5,721,111.279011
-5,517,111.605576
-5,538,111.947359
-4,617,112.336606
-5,682,112.766515
-5,600,113.146838
-5,519,113.474905
-5,648,113.883729
-5,690,114.319045
-5,799,114.828913
-5,494,115.164113
-5,717,115.648149
-5,621,116.027827
-3,851,116.543876
-4,816,117.038889
-5,784,117.514031
-5,501,117.818225
-5,406,118.064372
-5,538,118.390347
-5,545,118.720601
-5,554,119.056871
-5,619,119.472806
-5,732,119.992105
-5,621,120.433938
-5,544,120.821157
-5,696,121.318158
-5,592,121.739292
-4,670,122.184486
-5,422,122.45042
-5,478,122.761253
-5,538,123.122729
-5,677,123.579626
-5,485,123.894124
-5,547,124.246804
-5,649,124.686546
-5,638,125.117874
-5,526,125.472599
-4,545,125.809871
-5,480,126.101371
-5,518,126.426118
-4,1028,127.051764
-5,748,127.508238
-5,529,127.884804
-5,488,128.230393
-5,620,128.623648
-4,706,129.070072
-5,403,129.325073
-5,689,129.760165
-5,450,130.04486
-5,720,130.499291
-5,410,130.757684
-5,689,131.192348
-5,659,131.605119
-5,593,131.964329
-4,884,132.513236
-5,427,132.787483
-4,485,133.081269
-5,812,133.572206
-5,881,134.106831
-5,563,134.448714
-4,572,134.798457
-5,581,135.151531
-5,581,135.503092
-5,738,135.949638
-5,679,136.35984
-5,547,136.690522
-5,674,137.099658
-5,435,137.362293
-5,558,137.699272
-5,791,138.178117
-5,589,138.534183
-5,602,138.89918
-5,655,139.295617
-5,762,139.755499
-5,506,140.0638
-5,603,140.492879
-5,743,141.023697
-5,668,141.502534
-4,791,141.998721
-4,820,142.496082
-5,695,142.916579
-5,639,143.304084
-5,792,143.783427
-5,655,144.180386
-5,465,144.464098
-5,594,144.826837
-5,448,145.10038
-5,508,145.409517
-5,927,145.969961
-5,700,146.392921
-4,680,146.804032
-5,489,147.100727
-5,699,147.524202
-5,649,147.917823
-5,550,148.250882
-5,472,148.537675
-5,582,148.890991
-5,502,149.19618
-5,420,149.451238
-4,554,149.788007
-5,687,150.207306
-5,678,150.620168
-5,748,151.074888
-5,510,151.384256
-5,676,151.809601
-5,488,152.120051
-5,702,152.564587
-5,573,152.927529
-5,646,153.33625
-5,612,153.722897
-3,736,154.186334
-5,787,154.717615
-5,675,155.175689
-3,648,155.613583
-5,636,156.020798
-5,524,156.339767
-5,650,156.740583
-5,548,157.106889
-5,641,157.494294
-5,511,157.803826
-3,1129,158.488421
-3,712,158.920708
-5,668,159.361945
-5,919,159.971609
-5,544,160.362252
-5,584,160.758717
-5,536,161.087684
-5,619,161.490282
-5,572,161.852128
-5,718,162.307088
-4,588,162.68557
-5,582,163.078572
-5,629,163.503001
-5,553,163.859257
-5,698,164.282827
-5,793,164.763918
-5,599,165.129842
-5,729,165.601466
-3,854,166.176954
-5,515,166.523983
-5,900,167.134082
-5,477,167.457753
-5,508,167.800846
-5,495,168.134708
-5,553,168.510338
-5,744,169.015571
-5,605,169.393331
-4,812,169.886719
-5,686,170.305746
-5,646,170.70259
-5,490,170.99978
-5,497,171.308388
-5,452,171.594157
-5,558,171.947994
-5,638,172.336921
-5,828,172.839597
-5,714,173.273372
-5,492,173.572735
-5,508,173.898191
-5,851,174.437525
-5,482,174.74448
-5,948,175.346464
-5,541,175.691682
-5,469,176.008254
-5,643,176.441561
-5,601,176.848248
-5,564,177.229615
-4,554,177.604176
-5,520,177.955529
-5,466,178.270503
-5,689,178.736676
-5,556,179.112597
-5,623,179.522533
-5,735,179.966466
-5,459,180.244503
-5,642,180.633589
-5,485,180.926695
-5,719,181.361014
-5,556,181.697169
-5,702,182.122777
-5,596,182.482563
-5,509,182.78982
-5,515,183.101295
-5,670,183.506414
-4,525,183.825549
-5,726,184.322928
-5,851,184.880957
-5,671,185.33452
-5,504,185.674965
-5,428,185.963633
-5,438,186.259451
-5,497,186.595078
-5,728,187.086878
-5,438,187.382894
-5,495,187.684131
-5,394,187.923696
-5,948,188.498978
-5,641,188.890112
-5,464,189.172563
-5,708,189.603609
-5,754,190.118344
-5,804,190.691033
-5,653,191.158445
-5,458,191.485457
-5,667,191.96069
-5,617,192.35977
-4,769,192.845478
-4,742,193.315126
-5,750,193.789671
-5,661,194.208014
-5,531,194.544015
-5,611,194.931647
-5,384,195.175199
-5,522,195.519974
-5,492,195.852202
-4,734,196.34694
-5,498,196.683709
-5,565,197.062083
-4,683,197.492575
-5,568,197.836724
-5,573,198.196668
-5,711,198.70263
-5,827,199.29273
-5,600,199.721363
-5,822,200.310044
-5,582,200.685752
-5,900,201.254875
-5,608,201.623236
-5,756,202.08191
-3,946,202.738446
-5,618,203.179094
-5,798,203.747542
-5,695,204.212522
-5,514,204.526284
-5,717,204.962319
-5,684,205.378119
-5,454,205.653673
-5,547,205.985962
-5,780,206.52508
-5,696,206.984256
-5,503,207.307264
-5,629,207.756225
-5,655,208.223123
-5,551,208.615301
-5,651,209.082389
-5,730,209.60284
-5,547,209.946299
-5,548,210.279377
-5,622,210.672215
-5,513,210.997393
-5,532,211.333854
-5,686,211.767295
-5,402,212.021857
-5,559,212.382677
-5,692,212.843794
-5,587,213.242956
-5,388,213.505955
-5,554,213.880252
-5,810,214.430357
-5,477,214.754603
-5,875,215.325537
-5,657,215.722911
-4,681,216.140949
-5,559,216.479303
-4,987,217.075666
-5,725,217.513333
-5,722,217.949889
-5,606,218.316715
-5,485,218.610031
-5,760,219.128031
-5,687,219.544174
-5,658,219.941823
-5,592,220.301198
-5,548,220.633066
-4,580,220.984669
-5,575,221.33214
-5,728,221.772465
-5,554,222.108164
-5,683,222.520971
-5,779,222.991922
-5,779,223.4624
-5,637,223.84729
-5,530,224.168586
-5,631,224.551481
-5,610,224.922547
-4,572,225.270952
-5,505,225.577199
-5,581,225.928888
-5,664,226.329962
-5,758,226.788209
-5,706,227.215681
-5,620,227.616
-5,478,227.956572
-5,561,228.356805
-5,485,228.702953
-5,515,229.068776
-5,594,229.429274
-5,477,229.718694
-5,581,230.071524
-5,512,230.381149
-5,536,230.734205
-4,554,231.081175
-5,700,231.536758
-5,1145,232.310938
-5,794,232.840302
-5,663,233.243828
-4,814,233.739346
-5,800,234.227216
-4,795,234.712884
-5,701,235.140182
-4,651,235.536367
-5,600,235.899127
-5,383,236.131184
-5,654,236.529459
-5,491,236.828672
-5,421,237.085554
-5,727,237.528191
-4,649,237.921482
-5,837,238.476525
-5,755,238.954489
-5,507,239.275129
-5,656,239.689995
-5,799,240.221318
-5,520,240.572979
-5,805,241.116319
-5,515,241.462527
-5,833,242.025769
-5,564,242.407033
-5,476,242.729144
-4,656,243.170658
-5,519,243.514134
-5,571,243.875327
-5,457,244.164672
-5,686,244.600104
-5,664,245.021598
-3,811,245.540269
-5,533,245.899696
-5,549,246.247879
-5,485,246.541872
-5,658,246.940898
-5,972,247.529343
-5,679,247.940134
-5,500,248.244688
-4,634,248.630361
-4,672,249.039469
-4,670,249.446718
-5,534,249.771707
-5,427,250.031682
-5,545,250.362938
-5,372,250.588549
-5,711,251.01963
-5,469,251.303843
-5,479,251.593824
-5,574,251.941856
-5,493,252.241397
-4,723,252.682294
-4,762,253.146641
-5,513,253.458414
-5,782,253.933999
-5,506,254.242752
-5,673,254.653395
-4,649,255.048222
-5,498,255.35078
-5,605,255.718694
-5,716,256.152916
-4,599,256.516479
-5,763,256.978598
-4,690,257.397126
-5,733,257.840602
-5,691,258.283901
-4,587,258.678018
-5,746,259.179576
-5,466,259.493374
-5,569,259.8778
-5,863,260.417628
-4,839,260.926801
-4,586,261.282206
-5,833,261.787922
-5,607,262.157084
-5,545,262.48725
-5,484,262.816391
-5,615,263.256138
-5,565,263.657982
-5,872,264.23532
-5,453,264.521705
-5,669,264.947542
-5,795,265.45009
-5,679,265.862205
-5,752,266.320026
-5,689,266.737484
-5,600,267.100605
-5,813,267.593267
-5,629,267.974509
-5,726,268.416338
-5,644,268.834953
-5,698,269.307768
-4,1003,269.987266
-5,512,270.33511
-5,657,270.76971
-4,868,271.29563
-5,455,271.571792
-5,670,271.978507
-5,540,272.317476
-5,639,272.722919
-5,593,273.10613
-4,569,273.490216
-5,502,273.827735
-5,719,274.311849
-4,710,274.79245
-5,766,275.309994
-5,585,275.705081
-5,528,276.060661
-5,518,276.410828
-4,784,276.94
-5,695,277.372372
-5,553,277.707431
-5,615,278.080114
-5,532,278.405483
-5,584,278.759192
-5,429,279.019092
-5,509,279.327396
-5,486,279.622908
-5,976,280.266016
-4,656,280.68309
-4,638,281.088489
-5,717,281.530543
-5,618,281.905449
-5,501,282.208512
-5,512,282.518908
-5,467,282.801922
-5,519,283.146453
-5,674,283.574475
-5,449,283.85789
-5,636,284.260002
-5,552,284.6102
-5,641,285.017215
-5,643,285.425859
-5,532,285.762952
-5,574,286.125992
-5,447,286.408725
-5,585,286.778656
-5,575,287.141618
-5,707,287.588973
-5,493,287.899728
-5,781,288.395032
-5,582,288.763741
-5,441,289.043522
-5,498,289.359732
-5,550,289.708234
-5,653,290.121159
-5,528,290.473661
-5,564,290.83145
-5,710,291.290103
-5,546,291.657272
-4,653,292.098413
-5,558,292.477511
-5,457,292.78808
-5,687,293.254665
-5,711,293.737885
-5,555,294.115574
-5,618,294.536183
-5,677,294.975223
-5,609,295.358459
-5,721,295.874194
-5,869,296.443305
-5,555,296.781017
-5,556,297.118056
-5,548,297.450166
-5,615,297.825048
-5,941,298.420267
-5,691,298.859513
-5,895,299.426272
-5,575,299.790143
-5,685,300.223062
-5,440,300.507206
-5,567,300.889481
-5,539,301.248184
-5,569,301.593462
-5,802,302.080968
-5,437,302.345462
-4,471,302.631971
-5,682,303.06305
-5,473,303.362025
-4,897,303.929706
-5,711,304.378822
-5,717,304.842663
-5,512,305.190319
-5,496,305.525926
-5,473,305.845427
-5,695,306.313333
-5,922,306.937142
-4,978,307.598157
-5,553,307.938801
-5,536,308.264324
-5,484,308.558568
-5,486,308.853674
-5,549,309.186974
-5,747,309.641667
-4,542,309.97101
-5,462,310.251101
-5,767,310.715909
-5,660,311.114765
-5,686,311.528907
-5,466,311.810235
-5,648,312.202688
-5,695,312.626331
-4,828,313.131349
-5,756,313.59033
-3,752,314.047212
-5,560,314.386959
-4,538,314.713683
-5,502,315.018424
-5,585,315.373396
-5,525,315.69062
-5,786,316.166909
-4,644,316.555861
-4,649,316.948489
-5,849,317.460854
-5,812,317.95287
-4,906,318.500744
-5,782,318.973444
-5,400,319.215682
-5,575,319.564762
-5,781,320.038083
-5,774,320.524814
-5,603,320.904747
-5,506,321.223426
-5,620,321.613355
-5,626,322.008512
-5,472,322.323376
-5,555,322.71944
-4,735,323.179044
-5,391,323.416258
-4,702,323.84254
-5,618,324.216353
-5,807,324.735148
-5,754,325.211784
-5,506,325.530901
-5,659,325.946519
-5,568,326.305204
-5,521,326.639642
-5,551,327.012441
-4,689,327.439881
-5,659,327.839543
-5,492,328.138771
-5,653,328.536294
-5,577,328.88783
-5,456,329.165711
-5,638,329.553629
-5,715,330.029556
-5,729,330.513038
-5,712,330.943864
-5,622,331.320065
-5,567,331.672212
-4,661,332.144028
-5,484,332.49132
-5,559,332.891998
-5,472,333.201433
-5,711,333.632247
-5,514,333.944388
-5,490,334.241547
-5,641,334.630903
-5,1034,335.277253
-4,646,335.685596
-5,387,335.927831
-5,635,336.313558
-5,584,336.667903
-5,588,337.024862
-5,585,337.37846
-5,447,337.649932
-4,535,337.999902
-5,626,338.445645
-5,556,338.841934
-5,812,339.366276
-5,584,339.72041
-5,662,340.122419
-5,782,340.594715
-5,609,340.963484
-5,614,341.336298
-5,489,341.631269
-5,846,342.143625
