EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
2381,0.0018722618,3030.0,1,0.0033543424,0.0030762595,0.0,4489216,19993.398148059845,0.5975095629692078,0.61734223,0.17
2383,0.0012400956,3030.0,2,0.0030314275,0.0028090584,0.0,4493312,20001.0954041481,0.785884365439415,0.6190575,0.15
2384,0.0018913388,3030.0,1,0.003447411,0.0016669263,0.0,4497408,20008.65044760704,0.4507830739021301,0.61185354,0.13
2385,0.0023138933,3030.0,1,0.0031459061,0.0022524246,0.0,4501504,20350.675852775574,0.28302836418151855,0.62043613,0.14
2386,0.0021015026,3040.0,1,0.003656923,0.0026148965,0.0,4505600,20358.012228488922,0.41722315549850464,0.6246763,0.14
2388,0.0006056165,3030.0,2,0.0038126158,0.002428656,0.0,4509696,20365.377084493637,0.599606990814209,0.67299086,0.14
2389,0.00032433568,3030.0,1,0.0029165894,0.0019373449,0.0,4513792,20372.75453186035,-1.0985825061798096,0.6133709,0.12
2390,4.0906387e-05,3030.0,1,0.0034540615,0.0047147167,0.0,4517888,20380.15557527542,-1.2155427932739258,0.6368507,0.12
2392,2.3194147e-05,3030.0,2,0.0031569728,0.0061016846,0.0,4521984,20387.59596467018,-1.352644920349121,0.6062029,0.11
2393,0.001857714,3030.0,1,0.0033409288,0.0018548002,0.0,4526080,20395.2957239151,0.6048605144023895,0.6162525,0.11
2395,0.00045213202,3030.0,2,0.0031628732,0.0021859172,0.0,4530176,20402.809457540512,-0.6896554231643677,0.6302402,0.1
2396,0.00080748554,3030.0,1,0.0034635412,0.0013803593,0.0,4534272,20410.134440422058,0.6577291488647461,0.6411637,0.09
2397,0.000121776786,3030.0,1,0.0032169565,0.0029456327,0.0,4538368,20417.49338054657,-1.1818006038665771,0.6349796,0.09
2399,1.719545e-05,3030.0,2,0.0032388796,0.00600242,0.0,4542464,20424.821677923203,-0.26500046253204346,0.6284268,0.1
2400,0.001092674,3030.0,1,0.0033472218,0.0014863246,0.0,4546560,20432.184239149094,0.8209838569164276,0.64554185,0.09
2401,0.0016875885,3030.0,1,0.0032780976,0.0022174846,0.0,4550656,20439.84574508667,0.6879768073558807,0.6240888,0.1
2403,0.0019438656,3030.0,2,0.0035364071,0.002384893,0.0,4554752,20447.539373397827,-0.13830196857452393,0.63449216,0.08
2404,2.8247767e-05,3030.0,1,0.0031440966,0.007238058,0.0,4558848,20455.03338766098,-1.1746649742126465,0.6455836,0.07
2405,0.0016855901,3030.0,1,0.0036934447,0.0014207755,0.0,4562944,20462.419547080994,0.6799224615097046,0.64874476,0.07
2407,0.0019336308,3030.0,2,0.003789106,0.002204007,0.0,4567040,20469.972933769226,0.6302610635757446,0.6587925,0.1
2408,0.0006012333,3030.0,1,0.0028951531,0.002116433,0.0,4571136,20477.665019989014,-0.38838398456573486,0.619375,0.1
2410,0.0008415808,3030.0,2,0.003458102,0.0035607293,0.0,4575232,20485.172642469406,0.5932259559631348,0.647845,0.08
2411,4.633219e-05,3030.0,1,0.0036217717,0.0034617186,0.0,4579328,20492.496317386627,-1.1733720302581787,0.6396895,0.08
2412,8.3269e-05,3030.0,1,0.0031507688,0.0028537624,0.0,4583424,20499.863090991974,-1.6334993839263916,0.6221211,0.08
2414,1.2105373e-05,3030.0,2,0.0034533576,0.008448631,0.0,4587520,20507.221009254456,0.02905791997909546,0.6511099,0.07
2415,2.7932689e-05,3030.0,1,0.0036832024,0.0029535636,0.0,4591616,20514.785461187363,-5.764532566070557,0.68154055,0.08
2416,0.001387722,3030.0,1,0.002777748,0.0013543266,0.0,4595712,20522.260573625565,0.5041741728782654,0.6022812,0.07
2418,0.0019510702,3030.0,2,0.0040162336,0.0014936586,0.0,4599808,20529.628004074097,0.4747287631034851,0.6541773,0.06
2419,2.9452074e-05,3040.0,1,0.0036880688,0.004698048,0.0,4603904,20872.871961832047,-2.5721309185028076,0.64785826,0.07
2420,0.0046097124,3030.0,1,0.0030746849,0.0025227645,0.0,4608000,20880.267107963562,0.6734212040901184,0.6015887,0.07
2422,7.830016e-05,3030.0,2,0.0034808102,0.0064696935,0.0,4612096,20887.810755491257,-0.6712850332260132,0.6602116,0.08
2423,0.0033494087,3030.0,1,0.0031366663,0.0026620878,0.0,4616192,20895.429696559906,0.30652856826782227,0.5961193,0.07
2424,0.0020599647,3030.0,1,0.0036287664,0.0026367782,0.0,4620288,20902.820476055145,0.5057436525821686,0.65181917,0.06
2426,0.0021441842,3030.0,2,0.0030883413,0.0022113565,0.0,4624384,20910.21879220009,-0.11874604225158691,0.6158161,0.08
2427,0.0018802033,3030.0,1,0.0034606198,0.0031586036,0.0,4628480,20917.91660284996,0.3023468852043152,0.6361921,0.09
2428,3.0922165e-05,3030.0,1,0.0036594267,0.009101175,0.0,4632576,20925.611471414566,0.33440345525741577,0.6532757,0.1
2430,0.0012317112,3030.0,2,0.0032638498,0.003334793,0.0,4636672,20933.297051668167,0.7240954339504242,0.6071562,0.08
2431,0.0019220354,3030.0,1,0.0034660571,0.0026354333,0.0,4640768,20940.99010705948,0.06867003440856934,0.6352804,0.06
2432,0.0023650345,3030.0,1,0.0033107146,0.003584263,0.0,4644864,20948.69251561165,0.4324498772621155,0.6310688,0.05
2434,0.0029467158,3030.0,2,0.0032667993,0.0028382284,0.0,4648960,20956.373987197876,0.5728917419910431,0.6458211,0.04
2435,0.00069849606,3030.0,1,0.003356816,0.004221367,0.0,4653056,20963.979742765427,0.6817179322242737,0.6382146,0.04
2437,0.00185131,3030.0,2,0.0029594735,0.0014775785,0.0,4657152,20971.300173521042,0.7073273360729218,0.63164216,0.05
2438,0.0016655999,3030.0,1,0.0034373112,0.0019405341,0.0,4661248,20978.674690246582,0.4037690758705139,0.64691585,0.05
2439,0.003951207,3030.0,1,0.0041913567,0.003611798,0.0,4665344,20986.005479574203,0.5556628704071045,0.6643569,0.02
2441,3.4050096e-05,3030.0,2,0.0032031815,0.00861111,0.0,4669440,20993.3912024498,-0.303358793258667,0.6304098,-0.02
2442,0.0015941806,3030.0,1,0.003746592,0.005716707,0.0,4673536,21001.095331430435,0.709308534860611,0.65753555,-0.03
2443,0.00091268844,3030.0,1,0.0031483152,0.0033607455,0.0,4677632,21008.49969959259,0.7348836362361908,0.6293166,-0.03
2445,0.0019777287,3030.0,2,0.00293345,0.0016014333,0.0,4681728,21016.087132692337,0.11109602451324463,0.6285918,-0.04
2446,0.0020786722,3030.0,1,0.0032860937,0.0023802398,0.0,4685824,21023.782293081284,0.36011332273483276,0.6360343,-0.03
2447,6.7710076e-05,3030.0,1,0.0033608295,0.0062403893,0.0,4689920,21031.471586704254,-1.653196096420288,0.63639116,-0.04
2449,2.4023153e-05,3030.0,2,0.0033713335,0.006118479,0.0,4694016,21039.155557632446,-1.2890186309814453,0.6491186,-0.05
2450,3.2443575e-05,3030.0,1,0.0029572616,0.004155168,0.0,4698112,21046.837775468826,-4.521036624908447,0.6021417,-0.05
2451,1.4929841e-05,3030.0,1,0.0034226463,0.0084386915,0.0,4702208,21389.377068042755,-0.2574049234390259,0.63698226,-0.04
2453,0.0034094462,3030.0,2,0.0032124892,0.0034613598,0.0,4706304,21396.779566526413,0.4021350145339966,0.62496835,-0.01
2454,9.243869e-05,3030.0,1,0.0029985579,0.0055049146,0.0,4710400,21404.193199634552,-0.5110737085342407,0.6136593,0.0
2455,0.0027114758,3030.0,1,0.0038652527,0.0018230295,0.0,4714496,21412.633458852768,0.667684942483902,0.6228612,0.01
2457,0.0013966885,3030.0,2,0.0028520743,0.0021940377,0.0,4718592,21420.00293159485,0.6493019759654999,0.60802084,0.01
2458,8.085927e-05,3030.0,1,0.0035495767,0.0054505253,0.0,4722688,21427.395316839218,-0.5140252113342285,0.6518194,0.02
2459,0.00011476859,3030.0,1,0.0028659592,0.004504895,0.0,4726784,21434.77260494232,-1.1846418380737305,0.6276936,0.02
2461,2.0584537e-05,3030.0,2,0.0037134965,0.0085066445,0.0,4730880,21442.205846309662,0.32584697008132935,0.6555893,0.03
2462,0.0017602846,3030.0,1,0.0031560615,0.002715548,0.0,4734976,21449.889966249466,0.34036028385162354,0.6343074,0.04
2464,0.0028184114,3030.0,2,0.003333495,0.0030217816,0.0,4739072,21457.42012643814,0.3124226927757263,0.638516,0.01
2465,8.553914e-05,3030.0,1,0.0027393694,0.0033556675,0.0,4743168,21464.855126857758,-4.311871528625488,0.61857563,0.0
2466,0.0027452712,3030.0,1,0.0032757493,0.0025926374,0.0,4747264,21472.178276777267,0.38618355989456177,0.614229,-0.01
2468,0.0009827018,3030.0,2,0.003860199,0.005516838,0.0,4751360,21479.58890414238,0.750235453248024,0.6538131,-0.03
2469,0.0068924893,3030.0,1,0.003472025,0.003870142,0.0,4755456,21486.907183647156,0.4249362349510193,0.6474023,-0.04
2470,0.0019773436,3030.0,1,0.003124204,0.0045715803,0.0,4759552,21494.229537963867,0.12012773752212524,0.6280695,-0.05
2472,0.00010363253,3030.0,2,0.0031347407,0.004815694,0.0,4763648,21501.5746614933,-0.902850866317749,0.6522785,-0.06
2473,0.0013232589,3030.0,1,0.003611253,0.0027042334,0.0,4767744,21508.983458042145,0.43280744552612305,0.658732,-0.07
