nupdates,fps,policy_entropy,value_loss,total_timesteps,explained_variance
1,13,2.0794408321380615,0.01715761609375477,5,-6357.9765625
100,484,2.079439640045166,0.0762610137462616,500,-1328.245361328125
200,142,2.079439640045166,0.06302651762962341,1000,-339.56689453125
300,195,2.079439640045166,0.12014316022396088,1500,-1259.985595703125
400,148,2.079437732696533,0.021685488522052765,2000,-702.7698974609375
