loss_pol_surr,TimestepsSoFar,loss_kl,EpThisIter,EpLenMean,loss_pol_entpen,loss_ent,EpisodesSoFar,EpRewMean,TimeElapsed,loss_vf_loss,ev_tdlam_before
-0.036714662,13234176,0.022674335,2,1923.86,0.0,0.5300175,13290,-0.64,21241.266088962555,0.0073575475,0.7247423827648163
-0.03840136,13238272,0.023844501,2,1926.81,0.0,0.54715675,13292,-0.67,21246.910924196243,0.010169576,0.7368879914283752
-0.040758293,13242368,0.025370168,2,1920.8,0.0,0.54398537,13294,-0.65,21252.88307571411,0.012178503,0.6501810252666473
-0.037059218,13246464,0.02099982,2,1933.61,0.0,0.5460883,13296,-0.68,21258.382748126984,0.009576825,0.7115768492221832
-0.03706691,13250560,0.021568658,2,1948.15,0.0,0.52638316,13298,-0.68,21263.59578371048,0.006270833,0.5409699082374573
-0.0368901,13254656,0.020324294,1,1958.52,0.0,0.51155484,13299,-0.68,21268.540392398834,0.008998221,0.5823478400707245
-0.037907276,13258752,0.02030556,2,1971.24,0.0,0.53820336,13301,-0.58,21273.353144168854,0.0077111907,0.6579298675060272
-0.034937732,13262848,0.020987317,2,1958.42,0.0,0.51741785,13303,-0.6,21278.620878219604,0.010860458,0.6856507658958435
-0.037825685,13266944,0.02480167,2,1961.13,0.0,0.5012941,13305,-0.69,21283.89927315712,0.009153382,0.5813890397548676
-0.037746966,13271040,0.02372268,2,1972.03,0.0,0.5067667,13307,-0.69,21288.788645982742,0.00936558,0.7027867138385773
-0.038593654,13275136,0.023618551,2,1966.57,0.0,0.50636864,13309,-0.66,21293.682179927826,0.012690397,0.6331841051578522
-0.041843053,13279232,0.024091473,2,1966.73,0.0,0.5264779,13311,-0.64,21298.48140335083,0.009937056,0.6878733932971954
-0.03754173,13283328,0.023334915,2,1969.25,0.0,0.52710384,13313,-0.69,21303.654324531555,0.008349405,0.7578007876873016
-0.034329727,13287424,0.022968382,2,1953.64,0.0,0.5253614,13315,-0.67,21309.335335969925,0.008664528,0.7045522034168243
-0.035628032,13291520,0.023180362,2,1964.71,0.0,0.5217618,13317,-0.65,21315.30879855156,0.0095966775,0.6534372568130493
-0.037606034,13295616,0.025860377,2,1959.66,0.0,0.5280972,13319,-0.59,21321.222860097885,0.013998712,0.7420784533023834
