loss_kl,loss_vf_loss,loss_pol_entpen,EpRewMean,EpThisIter,TimestepsSoFar,EpisodesSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpLenMean,loss_pol_surr
0.0075616506,0.023997238,0.0,-4.833333333333333,6,4096,6,3.65444016456604,-0.8672678470611572,2.0720398,573.0,-0.008873051
0.0078264875,0.013806771,0.0,-4.928571428571429,8,8192,14,7.092002630233765,0.5002595782279968,2.0666835,560.2142857142857,-0.008730617
0.007771505,0.01296568,0.0,-4.954545454545454,8,12288,22,10.515233278274536,0.6871899962425232,2.0588942,549.1363636363636,-0.010531129
0.0068194284,0.013806499,0.0,-4.928571428571429,6,16384,28,13.983317613601685,0.7578778117895126,2.043667,561.1785714285714,-0.008699417
0.008438843,0.014156382,0.0,-4.916666666666667,8,20480,36,17.475488424301147,0.8239654898643494,2.0258877,563.6388888888889,-0.011970755
0.0068599577,0.013289055,0.0,-4.928571428571429,6,24576,42,21.03171181678772,0.8486581295728683,2.0135064,576.047619047619,-0.007927746
0.007501606,0.017602954,0.0,-4.8979591836734695,7,28672,49,24.530720710754395,0.828136533498764,2.001597,577.8979591836735,-0.008220181
0.0052758236,0.018089065,0.0,-4.8545454545454545,6,32768,55,28.164613723754883,0.8079526126384735,2.0024886,588.8181818181819,-0.0076773968
0.007356602,0.016251832,0.0,-4.868852459016393,6,36864,61,31.653217792510986,0.8212917149066925,1.9980787,596.7049180327868,-0.012548136
0.0068740514,0.015149794,0.0,-4.865671641791045,6,40960,67,35.11534786224365,0.8388081789016724,1.9879829,602.8656716417911,-0.011447817
0.006775837,0.018172134,0.0,-4.863013698630137,6,45056,73,38.68223810195923,0.8504831045866013,1.9724817,615.2602739726027,-0.012632635
0.0049380753,0.020669218,0.0,-4.8354430379746836,6,49152,79,42.40327978134155,0.73916295170784,1.9712644,619.1645569620254,-0.009230729
0.0055179577,0.022057375,0.0,-4.776470588235294,6,53248,85,46.90358257293701,0.7913635522127151,1.9593822,624.7411764705882,-0.010974136
0.005792234,0.01501061,0.0,-4.766666666666667,5,57344,90,51.10879993438721,0.8567578196525574,1.9507612,628.5111111111111,-0.011396441
0.0054262676,0.010468864,0.0,-4.77319587628866,7,61440,97,55.36328053474426,0.8695199340581894,1.9471233,627.8865979381443,-0.010417839
0.008310992,0.013273904,0.0,-4.79,6,65536,103,59.677358627319336,0.8393234461545944,1.9388946,633.54,-0.0122407265
0.007717775,0.019585606,0.0,-4.77,6,69632,109,63.88323783874512,0.7792366296052933,1.9419316,638.63,-0.012524026
0.006384163,0.011550352,0.0,-4.76,7,73728,116,68.15713262557983,0.8658364117145538,1.9214811,643.92,-0.012800083
0.0080581345,0.011759449,0.0,-4.76,6,77824,122,72.46934366226196,0.8594188839197159,1.8962966,654.47,-0.013401954
0.004041279,0.011783746,0.0,-4.77,7,81920,129,76.22038173675537,0.8541392087936401,1.8911192,652.47,-0.010941759
0.006746353,0.013000582,0.0,-4.77,6,86016,135,79.70114278793335,0.8390292823314667,1.8714558,654.85,-0.009695317
0.0061267214,0.013999666,0.0,-4.76,7,90112,142,83.21631050109863,0.8171883821487427,1.8728231,651.42,-0.013054679
0.0074325637,0.014024771,0.0,-4.77,7,94208,149,86.74896812438965,0.8197772055864334,1.8452748,655.01,-0.012764916
