EpThisIter,surrgain,explained_variance_tdlam_before,entloss,entropy,EpLenMean,EpRewMean,TimestepsSoFar,TimeElapsed,EpisodesSoFar,meankl,optimgain
1,0.01665074,-0.29360878467559814,0.0,1.7881091,560.0,-5.0,1024,6.825592041015625,1,0.003731591,0.01665074
2,0.01377797,-0.15582036972045898,0.0,1.7814555,567.0,-5.0,2048,12.206462621688843,3,0.0058869617,0.01377797
2,0.007652619,0.19068175554275513,0.0,1.7789824,570.8,-5.0,3072,17.35076928138733,5,0.006097679,0.007652619
2,0.010231677,0.2003588080406189,0.0,1.7762909,559.5714285714286,-5.0,4096,23.00295090675354,7,0.0073001664,0.010231677
2,0.014337548,0.5527662932872772,0.0,1.777344,558.6666666666666,-5.0,5120,28.24483633041382,9,0.008083833,0.014337548
