nupdates,value_loss,explained_variance,total_timesteps,fps,policy_entropy,ep_reward_mean,ep_len_mean
1,0.060316480696201324,-5521.17919921875,5,16,2.0794363021850586,,
100,0.05888380855321884,-2380.739990234375,500,509,2.079432964324951,4.0,485.0
200,0.1600760966539383,-212.92015075683594,1000,628,2.0794215202331543,4.0,485.0
300,0.04084358364343643,-4343.5078125,1500,670,2.0793774127960205,1.5,607.0
400,0.017068088054656982,-237.22434997558594,2000,697,2.079143524169922,0.6666666666666666,661.6666666666666
500,0.001608193852007389,-420.7663879394531,2500,713,2.079148769378662,-0.5,611.5
600,0.031887128949165344,-83.46232604980469,3000,726,2.079064130783081,0.4,589.0
700,0.0035500931553542614,-1272.301513671875,3500,739,2.0775504112243652,0.4,589.0
800,0.02498706243932247,-258.2441711425781,4000,744,2.077423095703125,0.8333333333333334,587.5
900,0.00065100152278319,-971.7023315429688,4500,750,2.077500104904175,1.0,602.0
1000,0.007829918526113033,-957.1119384765625,5000,755,2.07666015625,1.125,605.0
1100,0.0288980845361948,-11586.5703125,5500,757,2.075814723968506,1.125,605.0
1200,0.004574158228933811,-25.418014526367188,6000,758,2.0682008266448975,0.7777777777777778,617.8888888888889
1300,0.0029999525286257267,-53.38658142089844,6500,760,2.056795597076416,1.0,619.7
1400,0.42556458711624146,-169.86642456054688,7000,763,2.067441940307617,1.0909090909090908,621.8181818181819
1500,0.0009563352214172482,-5.223601341247559,7500,765,2.059687614440918,1.0909090909090908,621.8181818181819
1600,0.0003462460299488157,-464.5027770996094,8000,766,2.0673317909240723,0.8333333333333334,627.8333333333334
1700,0.002405325649306178,-3.353194236755371,8500,767,2.043200969696045,0.6923076923076923,638.3076923076923
1800,0.00041188980685546994,-13.734426498413086,9000,768,2.0713000297546387,0.7142857142857143,641.5
1900,0.00029038853244856,-2.6860718727111816,9500,768,2.0717854499816895,0.7142857142857143,641.5
2000,0.001573800458572805,-18.52010154724121,10000,771,2.073354482650757,0.6,645.4666666666667
2100,0.002845167415216565,-1.56687593460083,10500,772,2.008549451828003,0.375,647.1875
2200,0.12578164041042328,-1534.0096435546875,11000,772,2.0619711875915527,0.375,647.1875
2300,0.0044281259179115295,-5307.662109375,11500,773,2.0580248832702637,0.29411764705882354,655.4705882352941
2400,0.0031647428404539824,-11.513042449951172,12000,774,2.055098056793213,0.5555555555555556,642.3888888888889
2500,0.004114087205380201,-38.700416564941406,12500,774,2.0574207305908203,0.7368421052631579,632.3684210526316
2600,0.003522787243127823,-497.39385986328125,13000,774,2.0712199211120605,0.9,627.8
2700,0.0009717054781503975,-59.04090118408203,13500,775,2.061187744140625,0.9523809523809523,629.5714285714286
2800,0.004622143693268299,-38.272640228271484,14000,775,2.0493950843811035,0.8181818181818182,630.0454545454545
2900,0.0003021223528776318,-8.324504852294922,14500,776,2.070953845977783,0.8181818181818182,630.0454545454545
3000,0.001219046302139759,-11.97745132446289,15000,776,2.016893148422241,0.6956521739130435,632.3478260869565
3100,0.002069473499432206,-18.349712371826172,15500,776,2.028348445892334,0.4583333333333333,625.875
3200,0.0008777620969340205,-598.90673828125,16000,776,2.048147678375244,0.28,620.56
3300,0.000574209145270288,0.2993443012237549,16500,777,2.02048921585083,0.38461538461538464,620.4615384615385
3400,0.002512310864403844,-1500.14697265625,17000,777,2.0243945121765137,0.3333333333333333,627.7407407407408
3500,0.00025286260643042624,-1.2452020645141602,17500,777,2.0295536518096924,0.3333333333333333,627.7407407407408
3600,0.004406836815178394,-12.82038688659668,18000,777,2.030932664871216,0.2857142857142857,631.6428571428571
3700,0.00017452055180910975,-10.506575584411621,18500,777,2.065638780593872,0.20689655172413793,634.0344827586207
3800,0.00020596885588020086,-141.2524871826172,19000,777,2.0196635723114014,0.20689655172413793,634.0344827586207
3900,0.002997773000970483,-790.8151245117188,19500,778,2.0628559589385986,0.23333333333333334,638.6333333333333
4000,0.0005178061546757817,-22.80022621154785,20000,778,2.0693838596343994,0.12903225806451613,636.0967741935484
4100,0.0003992985584773123,-1.4341986179351807,20500,778,2.0483860969543457,0.21875,634.03125
4200,0.003925782162696123,-293.0735168457031,21000,779,2.060969114303589,0.30303030303030304,634.2121212121212
4300,0.0026667192578315735,-97.96170043945312,21500,779,2.0590758323669434,0.30303030303030304,634.2121212121212
4400,0.0006177157629281282,-19.919279098510742,22000,779,2.021397352218628,0.38235294117647056,633.6470588235294
