#{"t_start": 1603190452.914524, "env_id": null}
r,l,t
-1,747,216.965817
2,701,217.678028
-4,458,218.144493
-1,794,218.962548
-3,618,219.59278
-3,581,220.184248
-4,500,220.693939
3,539,221.24192
5,404,221.655954
4,499,222.165555
2,627,222.802522
2,624,223.44163
-1,816,224.272564
-2,646,224.930675
3,607,225.549836
2,635,226.19545
-1,730,226.940214
-2,676,227.628266
1,760,228.40145
2,633,229.049312
-3,524,229.585612
1,777,230.377479
3,549,230.938899
1,742,231.696047
3,640,232.344633
-4,502,232.857784
-1,809,233.682898
2,723,234.423672
-2,772,235.214785
3,611,235.83737
-1,801,236.65417
1,697,237.362434
2,637,238.01248
3,603,238.625929
3,573,239.208961
1,707,239.927056
5,396,240.329552
3,608,240.951844
2,623,241.59051
-1,724,242.326266
-3,582,242.921768
4,501,243.432929
-1,757,244.202466
2,711,244.928047
1,795,245.742463
2,614,246.3689
-3,564,246.944591
2,645,247.603143
4,556,248.168554
-4,466,248.644747
-4,471,249.125895
3,581,249.717591
-4,487,250.213974
-2,614,250.840703
1,674,251.528035
4,500,252.036458
1,713,252.763933
3,651,253.428818
2,666,254.106559
2,654,254.772121
2,641,255.425756
3,558,255.993852
3,666,256.673723
1,712,257.398772
-2,583,257.99426
-1,813,258.821386
1,786,259.623055
1,753,260.388736
-1,720,261.125396
-2,703,261.841947
1,716,262.574466
-1,771,263.360382
-2,643,264.016264
2,660,264.689919
2,724,265.427632
-1,716,266.157557
-1,973,267.150345
-1,801,267.968064
-5,451,268.429272
2,659,269.102882
-1,788,269.903543
-5,407,270.319555
1,738,271.071476
1,806,271.893641
-2,706,272.612588
-3,559,273.180608
3,665,273.858275
3,609,274.478693
-3,676,275.167732
-4,541,275.721958
3,590,276.323221
3,654,276.989976
-4,514,277.514816
4,505,278.030833
-5,382,278.422349
-4,557,278.99059
-3,620,279.623472
-2,622,280.254282
3,608,280.874066
1,746,281.63466
5,475,282.11987
2,690,282.823325
-4,468,283.299211
-1,775,284.08907
-1,808,284.91444
3,620,285.549343
2,623,286.186153
3,597,286.794956
2,635,287.444752
-3,579,288.03334
-2,673,288.720437
-3,686,289.418909
1,710,290.142628
