,clip_param,entcoeff,gamma,lam,-reward
0,0.09633302689529954,0.024128814642317593,0.931022722799331,0.9511648065503686,4.86
1,0.12931237526237965,0.01024242188129574,0.9607449210779742,0.9864657148718834,4.84
2,0.05407994706183672,0.012283200416713953,0.9098038557786494,0.9317373350635171,4.85
3,0.15743412567302587,0.0726582612246275,0.9229746492393315,0.9838459158316255,4.91
4,0.0890257282089442,0.05755268074944616,0.9348064640276135,0.9899098828062415,4.89
5,0.09729606055532042,0.001000000000000012,0.9739893619367996,0.9744196391009735,4.8
6,0.07716606605166816,0.001,0.9887524839279237,0.9677753738427791,4.9
7,0.09060634099536423,0.001,0.9686587222416692,0.9702041040599105,4.9
8,0.10049776142853335,0.0010432227578552548,0.975870199820967,0.9762915797120788,4.83
9,0.07729135018196498,0.001,0.9738981715838191,0.9651657353855125,4.9
