optimgain,explained_variance_tdlam_before,meankl,TimeElapsed,EpLenMean,EpRewMean,EpisodesSoFar,entropy,entloss,EpThisIter,TimestepsSoFar,surrgain
0.054512065,0.8692628145217896,0.008367143,30.200083017349243,642.4,0.85,69,1.8845913,0.0,2,45056,0.054512065
0.0458209,0.7348771691322327,0.008728793,30.905243396759033,649.45,0.725,70,1.8785036,0.0,1,46080,0.0458209
0.050609693,0.8590334951877594,0.009130072,31.54218077659607,649.85,0.675,71,1.8912842,0.0,1,47104,0.050609693
0.051832438,0.7978882938623428,0.009472819,32.24311280250549,657.225,0.475,73,1.8779011,0.0,2,48128,0.051832438
0.0537687,0.7599644958972931,0.010450821,32.879733085632324,659.825,0.5,74,1.8540988,0.0,1,49152,0.0537687
0.060771447,0.7067202031612396,0.00902291,33.546868562698364,656.85,0.475,76,1.8953615,0.0,2,50176,0.060771447
0.059914924,0.8636005222797394,0.009841335,34.18068337440491,654.35,0.075,78,1.9045503,0.0,2,51200,0.059914924
0.054764293,0.7770414501428604,0.008070402,34.825032234191895,645.8,0.175,79,1.8715451,0.0,1,52224,0.054764293
0.055760294,0.8722207397222519,0.0075738747,35.45622372627258,649.8,0.175,81,1.88922,0.0,2,53248,0.055760294
0.052986946,0.7959451824426651,0.011337629,36.149779081344604,650.075,0.075,83,1.9104402,0.0,2,54272,0.052986946
0.063088745,0.8855429515242577,0.009244113,36.92275810241699,645.5,0.075,85,1.856168,0.0,2,55296,0.063088745
0.0672938,0.7250005900859833,0.009606408,37.57091188430786,642.55,0.025,86,1.8935168,0.0,1,56320,0.0672938
0.056452338,0.8024641871452332,0.010330339,38.202677488327026,634.15,-0.125,88,1.8830264,0.0,2,57344,0.056452338
0.05715789,0.7906084060668945,0.009659259,38.89325022697449,627.875,-0.05,90,1.879784,0.0,2,58368,0.05715789
0.06281702,0.8856373354792595,0.012521605,39.674373626708984,635.7,-0.15,91,1.8737844,0.0,1,59392,0.06281702
0.058638606,0.8392466455698013,0.012356614,40.479897022247314,640.2,-0.4,93,1.8540893,0.0,2,60416,0.058638606
0.0575462,0.8700419366359711,0.012329274,41.26483130455017,638.4,-0.45,95,1.8680706,0.0,2,61440,0.0575462
0.06380908,0.8337202668190002,0.009838226,42.03137540817261,640.4,-0.475,96,1.8539696,0.0,1,62464,0.06380908
0.054637905,0.7981757968664169,0.010205134,42.67318940162659,625.175,-0.575,98,1.872879,0.0,2,63488,0.054637905
