TimestepsSoFar,loss_ent,loss_vf_loss,ev_tdlam_before,TimeElapsed,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,EpRewMean,EpLenMean
256,1.7837884,0.02314439,-4.7562665939331055,1.199174165725708,-0.017837886,0,0,-0.035658803,0.008376464,,
512,1.7775217,0.026844021,0.5388175249099731,1.9133992195129395,-0.017775217,0,0,-0.020110503,0.0028874772,,
768,1.7816787,0.024458073,0.43035805225372314,2.539886236190796,-0.017816786,1,1,-0.012665046,0.0010639768,-5.0,539.0
1024,1.780845,0.021645777,0.5952754318714142,3.074937582015991,-0.01780845,0,1,-0.0056776647,0.0002918535,-5.0,539.0
