EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
6,0.016287863,630.5,6,0.013655722,-0.008843603,0.0,4096,7.787472486495972,-0.05186927318572998,2.066023,-5.0
14,0.015584645,577.7142857142857,8,0.011300116,-0.008206748,0.0,8192,14.872488975524902,0.7055530250072479,2.0551548,-4.928571428571429
20,0.018921943,593.85,6,0.005638528,-0.0067354455,0.0,12288,21.955775499343872,0.7468099594116211,2.049463,-4.95
27,0.021587862,598.4444444444445,7,0.006517247,-0.009595308,0.0,16384,29.053133249282837,0.7684053927659988,2.032716,-4.851851851851852
34,0.022096122,599.9117647058823,7,0.008385236,-0.0070796204,0.0,20480,36.13529300689697,0.8064565807580948,2.0250788,-4.823529411764706
40,0.016117228,614.15,6,0.004904269,-0.0045081084,0.0,24576,43.51981258392334,0.8351930975914001,2.0316217,-4.825
47,0.020482669,603.1914893617021,7,0.0062746275,-0.007370334,0.0,28672,50.699784994125366,0.800737127661705,2.0227742,-4.787234042553192
54,0.020344913,600.9629629629629,7,0.0060781334,-0.0074898954,0.0,32768,58.132583141326904,0.8342515677213669,2.0138998,-4.796296296296297
61,0.015723353,596.4426229508197,7,0.0064475224,-0.007367472,0.0,36864,65.5406801700592,0.8472704738378525,1.9948493,-4.819672131147541
69,0.018305939,592.5942028985507,8,0.005846675,-0.0058282674,0.0,40960,72.6199300289154,0.8034163266420364,1.9861841,-4.826086956521739
75,0.018399484,599.84,6,0.0051976633,-0.008634883,0.0,45056,79.68555688858032,0.8110625743865967,1.9895042,-4.826666666666667
81,0.01772149,600.9135802469136,6,0.0055658566,-0.0043645995,0.0,49152,86.93691945075989,0.8268054276704788,1.9924848,-4.827160493827161
87,0.01591977,607.3678160919541,6,0.0041714273,-0.00648914,0.0,53248,94.08108592033386,0.8298514485359192,1.9734665,-4.827586206896552
95,0.018581185,603.1368421052632,8,0.006880795,-0.009253697,0.0,57344,101.22908997535706,0.8197688460350037,1.9516728,-4.831578947368421
102,0.01887669,597.29,7,0.0060087666,-0.006157334,0.0,61440,108.432772397995,0.8101954758167267,1.9714575,-4.81
109,0.015759446,596.08,7,0.0061353953,-0.006802105,0.0,65536,115.73658514022827,0.8344790786504745,1.946223,-4.82
