value_loss,total_timesteps,fps,policy_entropy,explained_variance,policy_loss,nupdates
0.008276144042611122,3836000,741,2.0722808837890625,-0.2264564037322998,-0.15048964321613312,191800
0.04133271053433418,3838000,741,2.0613436698913574,0.797195166349411,0.015279147773981094,191900
6.304244743660092e-05,3840000,741,2.0583465099334717,0.9828510787338018,-0.015488733537495136,192000
0.00015366764273494482,3842000,741,2.053244113922119,0.9581091739237309,-0.04164339601993561,192100
0.0003362616116646677,3844000,742,2.0586116313934326,0.8780322149395943,-0.020893985405564308,192200
0.0006889753276482224,3846000,742,2.064837694168091,0.8031581789255142,0.010043365880846977,192300
0.0007059182389639318,3848000,742,2.069607973098755,0.8158955574035645,-0.027474187314510345,192400
0.028653424233198166,3850000,741,2.067819118499756,0.3432919383049011,-0.014821239747107029,192500
0.0005136506515555084,3852000,741,2.0764193534851074,0.8692320436239243,0.014884697273373604,192600
0.00034818059066310525,3854000,741,2.070913314819336,0.881808914244175,0.013757864013314247,192700
0.0013407174265012145,3856000,741,2.0649077892303467,0.22717827558517456,-0.01303917821496725,192800
4.00795615860261e-05,3858000,741,2.062655210494995,0.9494458585977554,-0.014550566673278809,192900
0.00045329812564887106,3860000,741,2.0459678173065186,0.6764129102230072,-0.00025665760040283203,193000
0.0014262197073549032,3862000,741,2.026426076889038,0.9594910778105259,0.05408494174480438,193100
0.00032661535078659654,3864000,741,2.0173869132995605,0.914886899292469,-0.011792872101068497,193200
0.009176375344395638,3866000,741,2.015437602996826,0.2541974186897278,-0.18563424050807953,193300
0.03253718465566635,3868000,742,1.925087571144104,-4.251101493835449,-0.30066952109336853,193400
0.0004406670050229877,3870000,742,2.0607547760009766,0.5015630424022675,-0.0527099147439003,193500
0.001518383389338851,3872000,742,2.060044765472412,0.7506860494613647,-0.08654429763555527,193600
0.0021171646658331156,3874000,742,2.0328898429870605,0.07052880525588989,-0.05101088434457779,193700
0.0006885604816488922,3876000,741,2.075173854827881,0.8182787746191025,0.02547101490199566,193800
1.4484373331069946,3878000,741,2.0223796367645264,-0.38315272331237793,2.1615772247314453,193900
0.005641955882310867,3880000,741,2.046625852584839,0.896829329431057,0.04684226214885712,194000
0.0015452606603503227,3882000,741,2.06374192237854,0.678607314825058,-0.0936947911977768,194100
0.044410284608602524,3884000,741,2.0071940422058105,0.5842736065387726,-0.0352674163877964,194200
0.0018806935986503959,3886000,741,2.050981044769287,-1.9208669662475586,-0.04394012689590454,194300
0.001891626394353807,3888000,742,2.0620288848876953,0.7990304678678513,-0.10574688017368317,194400
0.0003091224061790854,3890000,742,2.0639941692352295,0.8474684357643127,0.005659123882651329,194500
0.002105718944221735,3892000,742,2.0785655975341797,0.8359888195991516,0.06693719327449799,194600
0.05018272250890732,3894000,742,2.065486431121826,-2.1835389137268066,-0.4255508780479431,194700
0.0022492059506475925,3896000,742,2.0709056854248047,0.5618237853050232,0.065701425075531,194800
0.0008841502713039517,3898000,742,2.0733113288879395,0.3994136452674866,0.01846744678914547,194900
0.07516183704137802,3900000,741,2.0504536628723145,0.5917252898216248,-0.222126305103302,195000
0.0015444597229361534,3902000,741,2.07094144821167,0.39877861738204956,-0.03047134540975094,195100
0.0036047324538230896,3904000,741,2.0646884441375732,0.3128203749656677,-0.12610574066638947,195200
0.0009052354726009071,3906000,741,2.0497565269470215,0.9916487205773592,-0.029791314154863358,195300
0.0033063716255128384,3908000,742,2.071709394454956,0.5101547241210938,-0.1327633559703827,195400
0.04273652285337448,3910000,742,2.0494160652160645,0.7783373445272446,-0.08986103534698486,195500
0.00033064751187339425,3912000,742,2.0519773960113525,0.5975134670734406,0.005085790529847145,195600
0.0006075220298953354,3914000,742,2.0350797176361084,0.40185558795928955,0.019823776558041573,195700
0.004395377356559038,3916000,742,2.0701229572296143,0.007885932922363281,-0.12648169696331024,195800
0.03417972847819328,3918000,742,2.059513568878174,0.2981587052345276,0.06957893073558807,195900
0.00357149844057858,3920000,742,2.0544769763946533,-0.6566063165664673,-0.11054905503988266,196000
0.00962757132947445,3922000,742,2.0687108039855957,-0.2529853582382202,-0.19286981225013733,196100
6.962491170270368e-05,3924000,742,2.0730178356170654,0.878158338367939,-0.033405765891075134,196200
0.006578464061021805,3926000,741,2.0738449096679688,-1.8122117519378662,0.13379019498825073,196300
0.003126473631709814,3928000,741,2.0657620429992676,0.7114637792110443,-0.12035655230283737,196400
0.01086506713181734,3930000,742,2.0234100818634033,0.7078783214092255,0.19106921553611755,196500
0.0005568020860664546,3932000,742,2.062556505203247,0.7655196785926819,0.013035226613283157,196600
0.0003793919167947024,3934000,742,2.065307855606079,0.5993253588676453,-0.038766004145145416,196700
0.0005089569604024291,3936000,742,2.0722508430480957,0.8414156883955002,0.015224769711494446,196800
0.0003230597067158669,3938000,742,2.0743918418884277,0.7358790040016174,-0.021523993462324142,196900
0.004920440725982189,3940000,742,2.0711522102355957,0.30153751373291016,-0.13457347452640533,197000
0.002373651834204793,3942000,742,2.075617551803589,-6.115436553955078e-05,0.06010933220386505,197100
0.003084749449044466,3944000,742,2.06615948677063,0.8772164806723595,0.08720693737268448,197200
0.0023012810852378607,3946000,742,2.075594902038574,0.12466001510620117,-0.10161629319190979,197300
0.00020396406762301922,3948000,742,2.0736842155456543,0.9695418905466795,-0.04098641872406006,197400
0.044529881328344345,3950000,741,2.069795608520508,0.801103875041008,0.07648046314716339,197500
0.0005766404210589826,3952000,741,2.0595180988311768,0.10432308912277222,-0.002986287698149681,197600
0.04116564616560936,3954000,741,2.0635228157043457,0.8045928031206131,-0.02922857739031315,197700
0.036098919808864594,3956000,741,2.0550143718719482,0.7920109033584595,0.26175573468208313,197800
0.06913866847753525,3958000,741,2.066981077194214,-1.2176129817962646,0.5228500366210938,197900
0.0008386879926547408,3960000,741,2.069303512573242,-0.5684839487075806,0.027060620486736298,198000
0.41606831550598145,3962000,741,2.057746171951294,-0.8847681283950806,0.6464492082595825,198100
0.00030358461663126945,3964000,741,2.0499343872070312,0.9164771437644958,-0.011618772521615028,198200
0.0074272663332521915,3966000,741,2.0472025871276855,-0.1330050230026245,0.12704432010650635,198300
0.0004326455236878246,3968000,742,2.069200277328491,0.8272751718759537,-0.05283116176724434,198400
0.0015344407875090837,3970000,742,2.0290074348449707,0.77981136739254,-0.0765497088432312,198500
