EpThisIter,EpisodesSoFar,EpLenMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,EpRewMean,ev_tdlam_before,TimeElapsed,TimestepsSoFar,loss_pol_surr
5,18181,693.28,0.011969947,0.64906365,0.0,0.02838092,1.14,0.8201909810304642,46375.06789636612,12222464,-0.030805204
6,18187,702.37,0.011543658,0.6292966,0.0,0.015597428,1.2,0.8698932528495789,46382.76491832733,12226560,-0.030036667
6,18193,704.12,0.011243385,0.6534139,0.0,0.023869673,1.3,0.813741609454155,46390.46245574951,12230656,-0.032344572
5,18198,704.33,0.010518011,0.652911,0.0,0.015818287,1.21,0.884616456925869,46398.78392148018,12234752,-0.032088254
6,18204,708.14,0.010743269,0.62474996,0.0,0.019253477,1.32,0.8643994629383087,46406.436558008194,12238848,-0.031636566
6,18210,707.97,0.009310435,0.6418721,0.0,0.017494628,1.35,0.8860817402601242,46414.09255814552,12242944,-0.030201701
5,18215,709.08,0.009872529,0.6047578,0.0,0.017802972,1.46,0.9004397019743919,46421.818581581116,12247040,-0.02862586
6,18221,711.24,0.010382544,0.63437,0.0,0.015197878,1.38,0.8731796443462372,46429.53053069115,12251136,-0.030433733
6,18227,717.07,0.010444418,0.6195767,0.0,0.018845094,1.35,0.8896083980798721,46437.24917149544,12255232,-0.030700974
5,18232,716.18,0.0109674195,0.6246043,0.0,0.01953694,1.34,0.8869215846061707,46444.90123915672,12259328,-0.033979524
6,18238,727.45,0.010219439,0.6258273,0.0,0.016040001,1.2,0.8709517121315002,46452.65128850937,12263424,-0.030559637
6,18244,734.91,0.010680991,0.62460417,0.0,0.015794503,1.15,0.8791405037045479,46460.59479999542,12267520,-0.030081388
6,18250,728.34,0.011213451,0.64059764,0.0,0.019928506,1.09,0.8369988948106766,46468.50880050659,12271616,-0.03214738
6,18256,722.17,0.011093367,0.63600266,0.0,0.015630234,0.96,0.8744411170482635,46476.27779984474,12275712,-0.030620763
5,18261,718.76,0.010154672,0.6304429,0.0,0.015013029,0.96,0.8774517625570297,46484.02279996872,12279808,-0.031174794
6,18267,711.67,0.009561209,0.62574947,0.0,0.018047506,1.18,0.852777749300003,46491.67979979515,12283904,-0.027348699
6,18273,712.11,0.012752932,0.63421625,0.0,0.01991317,1.23,0.85406094789505,46499.69282579422,12288000,-0.033356465
5,18278,720.35,0.010776199,0.6148692,0.0,0.02247905,1.15,0.8706602901220322,46507.510825634,12292096,-0.0293507
6,18284,716.37,0.011048376,0.6094869,0.0,0.014012861,1.29,0.9112244471907616,46515.26782536507,12296192,-0.029670982
5,18289,715.84,0.011715823,0.6489174,0.0,0.020101957,1.08,0.8426761031150818,46637.3418340683,12300288,-0.029642992
5,18294,727.71,0.010409365,0.6404026,0.0,0.019981297,1.05,0.8687593191862106,46696.504856824875,12304384,-0.028812159
6,18300,724.27,0.010829694,0.63333255,0.0,0.015865183,1.06,0.9044233486056328,46703.975878953934,12308480,-0.033208914
6,18306,724.65,0.011244225,0.63096136,0.0,0.023297526,1.0,0.8829569816589355,46711.392926216125,12312576,-0.030292364
5,18311,723.5,0.011354969,0.618954,0.0,0.017470788,1.08,0.9039325714111328,46718.77043771744,12316672,-0.02863561
6,18317,720.31,0.010403454,0.6095947,0.0,0.019066973,1.1,0.8814149051904678,46726.96024990082,12320768,-0.033240393
6,18323,723.87,0.010622623,0.65229315,0.0,0.018719329,1.09,0.8702004104852676,46734.8956758976,12324864,-0.030819252
5,18328,723.3,0.010571815,0.63787484,0.0,0.020309769,0.98,0.8134335428476334,46742.5527009964,12328960,-0.030842397
7,18335,720.11,0.010411018,0.6362128,0.0,0.02007924,1.01,0.8587025254964828,46750.16770029068,12333056,-0.029707719
6,18341,718.82,0.008507386,0.6283534,0.0,0.015140067,0.98,0.9108882322907448,46757.76872611046,12337152,-0.0279823
6,18347,716.36,0.010709471,0.606093,0.0,0.012361575,1.11,0.8956184685230255,46765.44855260849,12341248,-0.02948343
5,18352,724.14,0.009458043,0.6323331,0.0,0.02004596,1.07,0.8694825917482376,46773.10006380081,12345344,-0.028063705
5,18357,727.16,0.009624383,0.6357527,0.0,0.02037535,1.22,0.864631175994873,46780.715087890625,12349440,-0.031200664
6,18363,727.38,0.011138582,0.6322006,0.0,0.016205454,1.16,0.8981674462556839,46788.30759930611,12353536,-0.03127644
6,18369,720.95,0.010204226,0.6279802,0.0,0.018942596,1.1,0.8559524118900299,46796.60085749626,12357632,-0.031272803
7,18376,715.03,0.010940392,0.6463378,0.0,0.015776098,1.08,0.8723455518484116,46804.49385738373,12361728,-0.031936575
5,18381,711.27,0.010173711,0.62626153,0.0,0.018654741,1.14,0.8734504282474518,46812.209857940674,12365824,-0.030734716
6,18387,713.42,0.011151751,0.646066,0.0,0.017419731,1.11,0.8836191296577454,46819.91285729408,12369920,-0.03345753
7,18394,700.32,0.0111968275,0.62330717,0.0,0.01310419,1.1,0.9081684872508049,46827.62385773659,12374016,-0.030411683
6,18400,696.86,0.011048746,0.698651,0.0,0.015109171,0.97,0.8925023898482323,46835.303857803345,12378112,-0.031347014
6,18406,697.37,0.010294588,0.63184744,0.0,0.022206692,0.99,0.875463031232357,46842.86385822296,12382208,-0.030181235
5,18411,697.65,0.009089005,0.635885,0.0,0.018739713,0.99,0.8470249772071838,46850.43285727501,12386304,-0.030795245
6,18417,701.08,0.011415282,0.6465418,0.0,0.015084918,0.89,0.9198938086628914,46858.611857414246,12390400,-0.0321598
5,18422,704.27,0.0099945795,0.6346298,0.0,0.01732029,0.92,0.90294299274683,46866.36985850334,12394496,-0.031427763
5,18427,705.99,0.011611498,0.6300075,0.0,0.021475403,1.01,0.8487396240234375,46874.020857810974,12398592,-0.031214714
5,18432,711.91,0.0106350025,0.6291734,0.0,0.020060135,0.94,0.8644935488700867,46993.46776866913,12402688,-0.030296046
6,18438,711.5,0.010059111,0.6282579,0.0,0.021068271,0.89,0.883478082716465,47057.97389149666,12406784,-0.03156037
6,18444,711.4,0.009533837,0.6025824,0.0,0.01704387,0.92,0.89394661039114,47065.45789241791,12410880,-0.03198851
6,18450,712.84,0.00996516,0.6232432,0.0,0.018909175,0.87,0.8659820109605789,47072.85695385933,12414976,-0.029873587
6,18456,705.07,0.011603977,0.6273025,0.0,0.016750842,0.88,0.9007853865623474,47080.14889192581,12419072,-0.028898614
6,18462,706.52,0.0108002145,0.6392917,0.0,0.018788058,0.87,0.8860344365239143,47087.68540263176,12423168,-0.03030389
4,18466,715.79,0.012409857,0.63201773,0.0,0.019523459,0.96,0.8554291129112244,47095.38591456413,12427264,-0.029769171
5,18471,726.69,0.013148787,0.6351965,0.0,0.019335316,0.8,0.8711521625518799,47103.03691530228,12431360,-0.032315016
