loss_kl,TimeElapsed,ev_tdlam_before,EpThisIter,TimestepsSoFar,loss_pol_entpen,loss_pol_surr,EpisodesSoFar,loss_vf_loss,loss_ent,EpLenMean,EpRewMean
0.0033058808,58352.05584836006,0.873249962925911,0,767232,-0.016981272,-0.008819465,1202,0.009832427,1.6981272,615.26,-5.01
0.002867349,58352.655752420425,0.6267489194869995,1,767488,-0.015453306,-0.0060931444,1203,0.021068655,1.5453306,613.21,-5.01
0.004589796,58353.25247120857,0.8506931811571121,0,767744,-0.017398503,-0.00964582,1203,0.010472337,1.7398504,613.21,-5.01
0.002248686,58353.86622095108,0.85649773478508,1,768000,-0.016249083,-0.0035979375,1204,0.0119188,1.6249081,611.98,-5.01
0.0034063167,58354.45652484894,0.901096373796463,0,768256,-0.017003674,-0.010616354,1204,0.009823299,1.7003675,611.98,-5.01
0.0025975606,58355.052289009094,0.903894416987896,1,768512,-0.018523458,-0.0074103912,1205,0.004770267,1.852346,609.75,-5.01
0.0022923215,58355.655596494675,0.8687573820352554,0,768768,-0.017218126,-0.008672839,1205,0.009013215,1.7218125,609.75,-5.01
0.0028311578,58356.24806547165,0.8202242404222488,1,769024,-0.017776731,-0.005954815,1206,0.00904085,1.7776732,609.67,-5.01
0.003042259,58356.84410429001,0.873378112912178,0,769280,-0.016443133,-0.009985638,1206,0.009861065,1.6443133,609.67,-5.01
0.0035983573,58357.442786216736,0.817168727517128,1,769536,-0.016643032,-0.0058519803,1207,0.011955292,1.6643034,610.23,-5.01
0.0031089063,58358.044424295425,0.8130979686975479,0,769792,-0.018261848,-0.0028210953,1207,0.0068201264,1.8261849,610.23,-5.01
0.0034467455,59317.72997236252,0.6667375862598419,0,770048,-0.018168388,-0.0076062176,1207,0.016162682,1.8168389,610.23,-5.01
0.0023870226,59318.313747406006,0.8388567268848419,0,770304,-0.016945122,-0.0006683292,1207,0.009761954,1.6945122,610.23,-5.01
0.0024244988,59318.89455842972,0.884176678955555,0,770560,-0.017461477,-0.0066924915,1207,0.008924166,1.7461478,610.23,-5.01
0.002769228,59319.49229836464,0.8950747549533844,1,770816,-0.016809616,-0.0029176958,1208,0.0071013235,1.6809616,615.8,-5.06
0.0026674261,59320.08271360397,0.9317189827561378,0,771072,-0.017167475,-0.00742352,1208,0.006888587,1.7167475,615.8,-5.06
0.0036650654,59320.666811704636,0.6145018339157104,1,771328,-0.017344493,-0.017453415,1209,0.032177605,1.7344491,615.59,-5.07
0.002342927,59321.25575089455,0.8923430293798447,0,771584,-0.017430134,-0.0031364337,1209,0.011716998,1.7430136,615.59,-5.07
0.003390847,59321.85433650017,0.8387200385332108,0,771840,-0.01721729,-0.007739635,1209,0.013180838,1.721729,615.59,-5.07
0.004107535,59322.44500684738,0.9161818996071815,1,772096,-0.017387498,-0.007799238,1210,0.0062802257,1.7387499,609.93,-5.04
0.0037042035,59323.03138947487,0.8431686609983444,0,772352,-0.017767977,-0.009979007,1210,0.012884015,1.7767978,609.93,-5.04
0.0030766532,59323.62135529518,0.8777429237961769,1,772608,-0.016282424,-0.008053288,1211,0.012165738,1.6282424,609.56,-5.04
0.00356509,59324.21254205704,0.7276947796344757,0,772864,-0.017130563,-0.0032247081,1211,0.022205304,1.7130563,609.56,-5.04
0.003943065,59324.80499958992,0.8041374236345291,0,773120,-0.017595507,-0.004825595,1211,0.007430136,1.7595506,609.56,-5.04
0.0035489262,59325.39632987976,0.8003969192504883,1,773376,-0.017716914,-0.01265371,1212,0.012398401,1.7716914,609.57,-5.04
0.0034685652,59325.984739780426,0.9037443399429321,0,773632,-0.017209053,-0.0047523305,1212,0.0077050906,1.7209055,609.57,-5.04
0.004322365,59326.5747051239,0.7885476052761078,1,773888,-0.01643967,-0.010416757,1213,0.014178819,1.6439672,610.65,-5.04
0.002058441,59327.152700424194,0.864519476890564,0,774144,-0.01702713,-0.0036400314,1213,0.010798814,1.702713,610.65,-5.04
0.0043481374,59327.74423241615,0.6335527896881104,1,774400,-0.017368324,-0.01659846,1214,0.017191513,1.7368324,611.1,-5.04
0.0027409461,59328.33549404144,0.915173314511776,0,774656,-0.017905006,-0.010551697,1214,0.0054594507,1.7905006,611.1,-5.04
0.002536802,59328.92084598541,0.8886496126651764,0,774912,-0.017149042,0.0014184006,1214,0.008449739,1.7149042,611.1,-5.04
0.0033108618,59329.30173921585,0.8499195873737335,1,775168,-0.015802871,-0.0053018667,1215,0.011191777,1.5802873,612.47,-5.04
0.002509186,59329.803097486496,0.8649643212556839,0,775424,-0.016798204,-0.011339877,1215,0.010735612,1.6798205,612.47,-5.04
0.0025356791,59330.40392136574,0.8372972756624222,1,775680,-0.016187502,-0.0040040333,1216,0.013930803,1.6187502,611.95,-5.04
0.0025516648,59330.99693322182,0.8134366422891617,0,775936,-0.016899759,-0.0062734596,1216,0.010906916,1.6899757,611.95,-5.04
0.0035912036,59331.4216132164,0.80388443171978,1,776192,-0.015661951,-0.010276258,1217,0.015382961,1.566195,611.7,-5.04
0.0043399907,59331.795018434525,0.8942493200302124,0,776448,-0.01693859,-0.011994349,1217,0.009049954,1.6938591,611.7,-5.04
0.0037975877,59332.20157670975,0.8292128294706345,1,776704,-0.017891211,-0.0053285602,1218,0.0085166935,1.7891212,609.33,-5.04
0.002288183,59332.61393213272,0.9001447185873985,0,776960,-0.016618982,-0.0035284087,1218,0.010276968,1.6618981,609.33,-5.04
0.0030139615,59333.19834780693,0.8773161917924881,1,777216,-0.017559957,-0.004668165,1219,0.006862424,1.7559958,603.55,-5.06
0.0024061291,59333.79065942764,0.8363890051841736,0,777472,-0.016369652,-0.011932852,1219,0.0130782435,1.636965,603.55,-5.06
0.0020685669,59334.256517887115,0.8218501657247543,1,777728,-0.017348144,0.00035905,1220,0.008420371,1.7348145,603.93,-5.06
0.0029260055,59334.779357910156,0.7215536832809448,0,777984,-0.01805066,-0.004587192,1220,0.027552413,1.805066,603.93,-5.06
0.0029960037,59335.369453668594,0.8115352690219879,0,778240,-0.018967144,-0.008561664,1220,0.01811496,1.8967144,603.93,-5.06
0.0021107334,59335.96656751633,0.892419807612896,1,778496,-0.016512882,-0.0044811917,1221,0.009144248,1.6512882,603.78,-5.04
0.0037418078,59336.56819272041,0.8928125873208046,0,778752,-0.018241098,-0.011955304,1221,0.0058589755,1.8241098,603.78,-5.04
0.003511123,59337.17514204979,0.8443702608346939,0,779008,-0.017704185,-0.018245125,1221,0.011632061,1.7704186,603.78,-5.04
0.003263253,59337.77447152138,0.8543464541435242,1,779264,-0.016764056,-0.014404992,1222,0.005615291,1.6764057,605.94,-5.04
0.0029933553,59338.37061190605,0.8630599081516266,0,779520,-0.0157653,-0.0045448113,1222,0.012214318,1.57653,605.94,-5.04
0.0019364848,59338.962384700775,0.806292712688446,1,779776,-0.016803931,-0.003808288,1223,0.011880041,1.6803932,607.35,-5.04
0.0031780133,60304.32823204994,0.8963819518685341,0,780032,-0.018655352,-0.013107549,1223,0.006277738,1.8655354,607.35,-5.04
0.0029094212,60304.70416045189,0.8741297423839569,0,780288,-0.015865795,-0.005507948,1223,0.00890591,1.5865796,607.35,-5.04
0.0026604831,60305.07953429222,0.8903935998678207,1,780544,-0.017574748,-0.003016308,1224,0.009118565,1.7574748,610.69,-5.08
0.0027512594,60305.60134983063,0.920890785753727,0,780800,-0.01759989,-0.0068553425,1224,0.0040864768,1.7599893,610.69,-5.08
0.0028458852,60306.182517528534,0.9066895842552185,0,781056,-0.017134896,-0.007404607,1224,0.0088341385,1.7134895,610.69,-5.08
0.003954173,60306.75425982475,0.036696672439575195,0,781312,-0.018694036,-0.013780579,1224,0.0119869355,1.8694036,610.69,-5.08
0.003084962,60307.34990000725,0.8048307150602341,1,781568,-0.017659977,-0.012208796,1225,0.014193612,1.7659978,614.97,-5.07
0.003830133,60307.92626929283,0.6948499977588654,0,781824,-0.016840983,-0.009985473,1225,0.015339866,1.6840984,614.97,-5.07
0.004988569,60308.50933241844,0.7188098728656769,1,782080,-0.015785238,-0.018817658,1226,0.014015779,1.5785238,614.55,-5.07
0.002700393,60309.1262717247,0.8777777180075645,0,782336,-0.017617278,-0.007748071,1226,0.0089458395,1.7617278,614.55,-5.07
0.0046791527,60309.740669965744,0.9028655737638474,1,782592,-0.0168958,-0.010131288,1227,0.0136124315,1.6895802,614.97,-5.07
0.004026207,60310.363090753555,0.8018316179513931,0,782848,-0.018103946,-0.0068467213,1227,0.0129591925,1.8103945,614.97,-5.07
0.0031802312,60310.985280036926,0.7498210668563843,0,783104,-0.017780067,-0.010418349,1227,0.0136444755,1.7780068,614.97,-5.07
0.0032255258,60311.57113003731,0.8910903781652451,1,783360,-0.016350182,-0.0093270205,1228,0.006332592,1.6350181,619.06,-5.06
0.0027529616,60312.19158220291,0.9060725420713425,0,783616,-0.017663764,-0.0066433195,1228,0.005894071,1.7663765,619.06,-5.06
0.00399879,60312.81823205948,0.7555501908063889,0,783872,-0.017127907,-0.01064131,1228,0.024344215,1.7127907,619.06,-5.06
0.0037014615,60313.44262266159,0.8448313325643539,1,784128,-0.01830635,-0.020472968,1229,0.007364676,1.8306351,622.38,-5.06
0.0036038393,60314.07146000862,0.8159402757883072,0,784384,-0.016568907,-0.010948959,1229,0.0118414145,1.6568909,622.38,-5.06
0.002517957,60314.698424339294,0.7741044461727142,1,784640,-0.015373433,-0.002756074,1230,0.015301251,1.5373433,621.6,-5.06
0.00285921,60315.22599339485,0.8559112250804901,0,784896,-0.015518692,-0.0040300805,1230,0.010154808,1.5518694,621.6,-5.06
