loss_pol_surr,loss_pol_entpen,loss_ent,EpThisIter,TimestepsSoFar,loss_kl,TimeElapsed,ev_tdlam_before,EpisodesSoFar,loss_vf_loss,EpRewMean,EpLenMean
-0.0058940463,-0.020784885,2.0784886,0,256,0.0009813653,2.5710294246673584,-0.35260653495788574,0,0.030907989,,
-0.0010453588,-0.02077825,2.077825,1,512,0.00013090018,3.91683030128479,0.4880909323692322,1,0.025472997,-5.0,492.0
-0.002457874,-0.020778697,2.07787,0,768,0.00016906578,5.436466932296753,0.4510602355003357,1,0.031555753,-5.0,492.0
-0.0012143739,-0.02078302,2.078302,0,1024,6.868038e-05,6.928148984909058,0.5653012096881866,1,0.026914004,-5.0,492.0
