policy_entropy,total_timesteps,explained_variance,nupdates,fps,value_loss
2.079436779022217,5,0.5357433259487152,1,10,0.0008181444136425853
2.0794410705566406,500,-80.73395538330078,100,236,0.034676384180784225
2.0794260501861572,1000,-129.48245239257812,200,252,0.0718320980668068
