EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
441,0.012592538,620.13,5,0.0079668835,-0.0038923197,0.0,278528,645.2513272762299,0.8221527487039566,1.4740758,-4.81
448,0.01288889,615.64,7,0.008142262,-0.0072153592,0.0,282624,652.4247288703918,0.834126427769661,1.479323,-4.83
454,0.013346585,624.18,6,0.007874829,-0.0056438255,0.0,286720,659.7395522594452,0.8697977364063263,1.4573687,-4.81
460,0.012247302,629.55,6,0.008726112,-0.008431706,0.0,290816,667.120815038681,0.8500488549470901,1.4828291,-4.81
466,0.012589185,626.73,6,0.007563128,-0.009648905,0.0,294912,674.6404047012329,0.8318854421377182,1.4683977,-4.82
474,0.014234861,623.72,8,0.00887501,-0.0067118946,0.0,299008,681.972015619278,0.816957637667656,1.4355944,-4.83
481,0.014236921,618.8,7,0.006309473,-0.0051967613,0.0,303104,762.2903685569763,0.8310871124267578,1.4379227,-4.87
488,0.010814095,620.61,7,0.0075408802,-0.0045301663,0.0,307200,769.4458639621735,0.852253645658493,1.4428785,-4.87
494,0.010436859,620.97,6,0.007336142,-0.0066481903,0.0,311296,776.6737251281738,0.8424233049154282,1.437066,-4.87
501,0.014788874,629.19,7,0.009248461,-0.0072399513,0.0,315392,783.906400680542,0.8467918485403061,1.4461414,-4.86
506,0.012738187,633.35,5,0.010528109,-0.0076403674,0.0,319488,791.3218035697937,0.8317520767450333,1.3885852,-4.85
513,0.010970364,640.7,7,0.008962704,-0.0066533904,0.0,323584,798.4903149604797,0.83282770216465,1.407965,-4.82
519,0.01252271,639.89,6,0.0076178787,-0.003434357,0.0,327680,805.6584944725037,0.8511668890714645,1.3804532,-4.8
524,0.016546486,646.18,5,0.00966079,-0.0052694455,0.0,331776,813.1677601337433,0.795518308877945,1.378674,-4.78
531,0.014229576,648.12,7,0.009384898,-0.006956753,0.0,335872,820.6816980838776,0.8471504747867584,1.3446529,-4.76
538,0.012433182,639.26,7,0.009013525,-0.003279861,0.0,339968,828.1801021099091,0.8602999150753021,1.3198503,-4.76
544,0.012985749,640.32,6,0.008390513,-0.005567492,0.0,344064,835.6749155521393,0.827952116727829,1.3211718,-4.75
550,0.01580308,638.27,6,0.009153913,-0.0067499117,0.0,348160,843.1741137504578,0.8112796694040298,1.2920051,-4.75
