policy_entropy,total_timesteps,explained_variance,nupdates,fps,value_loss
2.079432487487793,5,-138.99066162109375,1,13,0.017338205128908157
2.0794272422790527,500,-173.06455993652344,100,231,0.017922569066286087
2.0793991088867188,1000,-1056.6287841796875,200,237,0.14350953698158264
