TimestepsSoFar,loss_ent,loss_vf_loss,ev_tdlam_before,TimeElapsed,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,EpRewMean,EpLenMean
256,1.7842194,0.03312184,-1.8396401405334473,1.3064682483673096,-0.017842194,0,0,-0.038041867,0.007635776,,
512,1.7760249,0.02319755,0.5087612271308899,1.9461219310760498,-0.017760249,0,0,-0.018118178,0.002994213,,
768,1.7734613,0.043509603,-0.18508100509643555,2.6062376499176025,-0.017734611,1,1,-0.009648368,0.00074060773,-5.0,564.0
1024,1.7718685,0.016154073,0.803030326962471,3.3254282474517822,-0.017718686,1,2,-0.004318773,0.00025913602,-5.0,500.0
