loss_kl,EpisodesSoFar,EpThisIter,loss_pol_surr,TimestepsSoFar,loss_ent,TimeElapsed,loss_vf_loss,loss_pol_entpen,ev_tdlam_before,EpLenMean,EpRewMean
0.006987962,0,0,-0.024929736,256,2.0724838,0.43864870071411133,0.051603314,-0.020724837,-1.8759620189666748,,
0.0032856818,0,0,-0.018244997,512,2.067886,0.6145713329315186,0.027996557,-0.02067886,-0.2702673673629761,,
0.006519843,1,1,-0.028495606,768,2.0654793,0.7904062271118164,0.023960581,-0.020654792,0.40771907567977905,595.0,-4.0
0.0025789477,1,0,-0.014124552,1024,2.0518808,0.965538740158081,0.045652434,-0.02051881,0.4884808659553528,595.0,-4.0
0.0061985455,2,1,-0.027685903,1280,2.0470753,1.141066312789917,0.03062254,-0.020470753,0.48917341232299805,596.5,-4.0
0.0059334915,2,0,-0.016882703,1536,2.0394053,1.3162291049957275,0.018911587,-0.020394055,0.8211268037557602,596.5,-4.0
0.003622889,3,1,-0.018786447,1792,2.044521,1.491020917892456,0.009319717,-0.020445213,0.8573483377695084,572.6666666666666,-4.333333333333333
0.0027384944,3,0,-0.01534063,2048,2.0523267,1.6665737628936768,0.012219986,-0.020523265,0.8209724128246307,572.6666666666666,-4.333333333333333
0.009293441,3,0,-0.02745951,2304,2.0560338,1.8414576053619385,0.015808366,-0.02056034,0.8280570805072784,572.6666666666666,-4.333333333333333
0.0020989147,4,1,-0.013108049,2560,2.0559838,2.0154831409454346,0.030171614,-0.020559836,0.19767159223556519,589.25,-4.5
0.0045008697,4,0,-0.020101149,2816,2.0516696,2.1895201206207275,0.011711517,-0.020516697,0.6857826411724091,589.25,-4.5
0.0064797727,5,1,-0.016218567,3072,2.0367932,2.363250494003296,0.010363942,-0.020367933,0.8005380630493164,591.2,-4.6
0.0031524687,5,0,-0.018327948,3328,2.042807,2.538923978805542,0.015787717,-0.020428069,0.7895108014345169,591.2,-4.6
0.0053539327,6,1,-0.022175726,3584,2.04451,2.7143514156341553,0.005847734,-0.020445101,0.8039558082818985,596.5,-4.666666666666667
0.014987983,6,0,-0.024716854,3840,2.0216875,2.8886919021606445,0.01411936,-0.020216875,0.8337739557027817,596.5,-4.666666666666667
0.0032636337,6,0,-0.012854667,4096,2.0148768,3.063471794128418,0.01700839,-0.020148769,0.7048988938331604,596.5,-4.666666666666667
0.0070508984,7,1,-0.024486106,4352,2.009848,3.2385270595550537,0.008543839,-0.020098481,0.7620134800672531,591.8571428571429,-4.714285714285714
0.011181895,7,0,-0.029124966,4608,1.9540455,3.4144203662872314,0.017883277,-0.019540455,0.7590814679861069,591.8571428571429,-4.714285714285714
0.0105328,8,1,-0.026554916,4864,1.9287933,3.5897817611694336,0.010056575,-0.019287933,0.6587070524692535,585.625,-4.75
0.0092174895,8,0,-0.022548076,5120,1.900602,3.7656054496765137,0.010383716,-0.01900602,0.8205220103263855,585.625,-4.75
0.008333206,9,1,-0.023481186,5376,1.8894457,3.9404819011688232,0.019327244,-0.018894454,0.7272601425647736,584.4444444444445,-4.777777777777778
0.010642343,9,0,-0.026910637,5632,1.8634624,4.114556312561035,0.017073883,-0.018634623,0.6595849096775055,584.4444444444445,-4.777777777777778
0.023158796,9,0,-0.033798393,5888,1.7994148,4.28879714012146,0.009764287,-0.017994147,0.8078698217868805,584.4444444444445,-4.777777777777778
0.024828332,10,1,-0.032861784,6144,1.8659401,4.463465213775635,0.0044231727,-0.018659402,0.8098320066928864,610.6,-4.8
0.012140792,10,0,-0.018013367,6400,1.7814081,4.638518333435059,0.018378705,-0.017814081,0.7472265064716339,610.6,-4.8
0.006881836,10,0,-0.012404815,6656,1.6837549,4.813004016876221,0.016928406,-0.016837548,0.7579323500394821,610.6,-4.8
0.016014777,10,0,-0.020948369,6912,1.8283998,4.9865336418151855,0.006475906,-0.018283999,-0.506127119064331,610.6,-4.8
0.01351477,11,1,-0.019930381,7168,1.7242355,5.1607372760772705,0.013365153,-0.017242353,0.6720776259899139,650.0909090909091,-4.7272727272727275
0.006691972,11,0,-0.014735224,7424,1.6348108,5.3363964557647705,0.020922031,-0.016348107,0.7704297602176666,650.0909090909091,-4.7272727272727275
0.039997112,11,0,-0.03296267,7680,1.860902,5.510849237442017,0.0056452216,-0.018609019,0.8442296981811523,650.0909090909091,-4.7272727272727275
0.018434752,12,1,-0.028278366,7936,1.832732,5.685468673706055,0.0026183627,-0.018327318,0.8468402475118637,653.8333333333334,-4.75
0.014048148,12,0,-0.01656834,8192,1.8004551,5.860799312591553,0.013541695,-0.018004548,0.8050253838300705,653.8333333333334,-4.75
0.006133688,12,0,-0.016837303,8448,1.7707021,6.034744739532471,0.01735788,-0.017707022,0.6201733648777008,653.8333333333334,-4.75
0.011463435,13,1,-0.02194281,8704,1.78287,6.209357738494873,0.02539527,-0.0178287,0.576835960149765,665.8461538461538,-4.6923076923076925
0.010989992,13,0,-0.0211965,8960,1.740766,6.383098125457764,0.011538906,-0.017407661,0.7264604866504669,665.8461538461538,-4.6923076923076925
0.008480307,13,0,-0.015145512,9216,1.7099103,6.5582275390625,0.021317065,-0.017099103,0.8478709161281586,665.8461538461538,-4.6923076923076925
0.011619417,14,1,-0.021533871,9472,1.7437685,6.733444690704346,0.01244217,-0.017437685,0.6516727805137634,674.0714285714286,-4.714285714285714
0.0064172857,14,0,-0.0150724435,9728,1.7502058,6.9099743366241455,0.0058269175,-0.017502058,0.8825681209564209,674.0714285714286,-4.714285714285714
