EpThisIter,loss_pol_surr,loss_pol_entpen,ev_tdlam_before,TimestepsSoFar,EpRewMean,TimeElapsed,loss_vf_loss,EpLenMean,EpisodesSoFar,loss_kl,loss_ent
6,-0.004840298,0.0,0.8989373594522476,1228800,-4.82,4854.115541219711,0.007974693,618.56,1947,0.00530359,0.52022165
8,-0.003916454,0.0,0.8647316098213196,1232896,-4.82,4863.263551473618,0.009927102,617.72,1955,0.0050178333,0.47567073
6,-0.004772368,0.0,0.8449264913797379,1236992,-4.82,4872.399586439133,0.009389029,621.88,1961,0.005694569,0.5141561
8,-0.00526671,0.0,0.8664850741624832,1241088,-4.85,4881.730556964874,0.0099359425,615.64,1969,0.004834205,0.4413877
6,-0.0012235516,0.0,0.8723979443311691,1245184,-4.89,4890.626451253891,0.0094876895,612.14,1975,0.0049458174,0.50487006
6,-0.0025846912,0.0,0.8707191944122314,1249280,-4.88,4899.548616170883,0.009536805,615.0,1981,0.005829594,0.5047112
6,-0.0037298864,0.0,0.83233542740345,1253376,-4.86,4909.05162525177,0.010670944,621.53,1987,0.0049879276,0.50054747
6,-0.0049078655,0.0,0.8708476275205612,1257472,-4.86,4918.484377384186,0.009356902,625.59,1993,0.005239941,0.46942842
8,-0.0023969596,0.0,0.8683943152427673,1261568,-4.87,4929.2577385902405,0.009730926,621.61,2001,0.004196223,0.43738994
6,-0.004784718,0.0,0.867857500910759,1265664,-4.89,4938.998302459717,0.010346349,619.7,2007,0.005194282,0.5011513
7,-0.0026242225,0.0,0.8822843059897423,1269760,-4.89,4948.26075553894,0.009429791,614.34,2014,0.0041459687,0.45022553
6,-0.005085645,0.0,0.8803659901022911,1273856,-4.9,4957.360516548157,0.009967407,615.06,2020,0.00478916,0.47648644
7,-0.0044094753,0.0,0.881440170109272,1277952,-4.89,4966.571938037872,0.00901981,619.48,2027,0.006230604,0.4979359
6,-0.004061174,0.0,0.8618745803833008,1282048,-4.88,4975.996008634567,0.010229335,627.03,2033,0.0046363412,0.45264322
7,-0.0028972295,0.0,0.8859569355845451,1286144,-4.88,4985.27445268631,0.01088308,620.04,2040,0.0044297907,0.4428538
7,-0.0034796735,0.0,0.8704811781644821,1290240,-4.88,4994.581938743591,0.010436241,613.83,2047,0.005101644,0.4433072
7,-0.0036719919,0.0,0.8731011748313904,1294336,-4.87,5004.506499528885,0.009391374,617.85,2054,0.0052831536,0.4414136
7,-0.003996619,0.0,0.8789626285433769,1298432,-4.86,5014.26331615448,0.009854888,614.87,2061,0.005433408,0.46021578
5,-0.0045800055,0.0,0.8550984412431717,1302528,-4.84,5113.183299541473,0.009851454,628.33,2066,0.004740258,0.44474602
8,-0.0037485596,0.0,0.8797894045710564,1306624,-4.85,5122.300445556641,0.008872235,623.34,2074,0.004543577,0.41981453
6,-0.0037357006,0.0,0.8489333391189575,1310720,-4.86,5131.357452869415,0.0088932915,626.45,2080,0.0055242237,0.46581754
7,-0.002866857,0.0,0.875724546611309,1314816,-4.88,5140.239493370056,0.010137266,611.93,2087,0.004564789,0.4251262
7,-0.0038274217,0.0,0.8584686070680618,1318912,-4.87,5149.489937782288,0.010526144,608.84,2094,0.005273828,0.43199307
6,-0.0030699894,0.0,0.8546998053789139,1323008,-4.87,5158.560449838638,0.009473146,614.94,2100,0.00481814,0.44376636
7,-0.003125333,0.0,0.883492961525917,1327104,-4.88,5168.15599322319,0.008320334,612.81,2107,0.0053768,0.45355073
5,-0.0042051678,0.0,0.871463418006897,1331200,-4.88,5177.445153474808,0.008394658,620.29,2112,0.006378658,0.4913733
7,-0.0021519824,0.0,0.8916100487112999,1335296,-4.88,5186.454559326172,0.0090238,621.49,2119,0.004122161,0.4329654
6,-0.0039869803,0.0,0.8500948250293732,1339392,-4.89,5195.775370597839,0.009905532,622.84,2125,0.004629178,0.4510442
6,-0.004441456,0.0,0.8474352061748505,1343488,-4.86,5205.705338716507,0.010918416,628.54,2131,0.0053089806,0.47698373
7,-0.0012654997,0.0,0.8723172396421432,1347584,-4.87,5215.055548429489,0.009538005,629.65,2138,0.004618798,0.43529755
6,-0.006004902,0.0,0.8655160516500473,1351680,-4.87,5224.450290679932,0.009286311,638.11,2144,0.0065026945,0.4408284
5,-0.0032454496,0.0,0.8687894642353058,1355776,-4.88,5234.051507234573,0.009099453,638.25,2149,0.0045384616,0.4764973
7,-0.0033226884,0.0,0.8576503098011017,1359872,-4.87,5243.1687707901,0.011260917,644.4,2156,0.0048210444,0.42217922
6,-0.0048657088,0.0,0.8668810725212097,1363968,-4.87,5252.721654415131,0.009739753,642.94,2162,0.0043389513,0.42326716
7,-0.004573212,0.0,0.8601362407207489,1368064,-4.88,5261.780768156052,0.0093014315,641.84,2169,0.0041574608,0.40277705
6,-0.005595559,0.0,0.8809323161840439,1372160,-4.87,5271.155362844467,0.008855048,642.73,2175,0.0045335777,0.43108383
7,-0.0032249247,0.0,0.8606488555669785,1376256,-4.87,5280.13058924675,0.009332942,640.78,2182,0.0040669013,0.43313214
6,-0.004234743,0.0,0.8525235801935196,1380352,-4.88,5288.969554424286,0.009264268,649.38,2188,0.0046680835,0.4503863
7,-0.0038818112,0.0,0.8721194118261337,1384448,-4.89,5298.202719926834,0.009088527,652.42,2195,0.0045324136,0.4048202
6,-0.003660252,0.0,0.8456929326057434,1388544,-4.88,5308.739564418793,0.011048303,650.75,2201,0.0044672852,0.4061452
7,-0.0051576877,0.0,0.8558439761400223,1392640,-4.88,5317.688728809357,0.008579245,649.3,2208,0.003789548,0.41584
6,-0.00381066,0.0,0.8684575855731964,1396736,-4.88,5327.262310504913,0.009343397,642.38,2214,0.0046419557,0.44389695
7,-0.0022453596,0.0,0.823351576924324,1400832,-4.84,5421.375983476639,0.012403263,638.8,2221,0.0052080825,0.41050008
6,-0.0036609075,0.0,0.8577572107315063,1404928,-4.87,5430.753042936325,0.010161553,635.97,2227,0.004559847,0.37598684
6,-0.004131953,0.0,0.8176300972700119,1409024,-4.85,5439.666808843613,0.011926586,644.46,2233,0.004905246,0.37457103
6,-0.004101122,0.0,0.8733126223087311,1413120,-4.86,5448.726628065109,0.007798558,644.27,2239,0.003815581,0.38055998
7,-0.0045879046,0.0,0.8388824015855789,1417216,-4.86,5457.96151471138,0.010246433,640.66,2246,0.0045374967,0.37988618
7,-0.0029370328,0.0,0.8885953575372696,1421312,-4.87,5467.739706039429,0.008542953,631.75,2253,0.004606602,0.3738225
6,-0.003103281,0.0,0.8742162585258484,1425408,-4.89,5477.076014041901,0.009446409,633.79,2259,0.0042382176,0.39302534
7,-0.002825402,0.0,0.8958087414503098,1429504,-4.89,5486.848288297653,0.008550162,633.14,2266,0.004321064,0.38517496
7,-0.0035790794,0.0,0.8864611312747002,1433600,-4.9,5496.481395244598,0.009971004,632.08,2273,0.0037237483,0.33404472
7,-0.0030896661,0.0,0.8575627356767654,1437696,-4.89,5505.840379714966,0.009586694,629.04,2280,0.0041870535,0.35867256
7,-0.0053276774,0.0,0.8668873310089111,1441792,-4.89,5514.97552895546,0.009928333,622.45,2287,0.00489311,0.33927616
7,-0.0039979224,0.0,0.8840251341462135,1445888,-4.89,5524.437431573868,0.008936755,622.37,2294,0.0036616425,0.3684266
6,-0.0052532293,0.0,0.844668373465538,1449984,-4.9,5533.635466575623,0.009356906,616.89,2300,0.0034968527,0.3443101
7,-0.0037083954,0.0,0.815465971827507,1454080,-4.87,5542.578038215637,0.0123275,619.06,2307,0.003839398,0.357465
7,-0.0050192713,0.0,0.8354439288377762,1458176,-4.87,5552.2536516189575,0.011408706,616.71,2314,0.003992354,0.36376607
7,-0.0040174336,0.0,0.8909868374466896,1462272,-4.91,5561.6595277786255,0.008492549,615.98,2321,0.0050188918,0.38374448
6,-0.0041847397,0.0,0.8499715328216553,1466368,-4.91,5571.188109874725,0.008924134,621.18,2327,0.0040362407,0.39283836
6,-0.004417548,0.0,0.8571949303150177,1470464,-4.92,5581.2012321949005,0.00953088,611.08,2333,0.004180551,0.36580712
6,-0.0025435043,0.0,0.8605056703090668,1474560,-4.9,5591.120683193207,0.011484091,611.18,2339,0.003907292,0.39382413
7,-0.0046854634,0.0,0.8945611417293549,1478656,-4.91,5600.757704734802,0.008365538,613.17,2346,0.0048483196,0.38681367
7,-0.0023113282,0.0,0.8753481432795525,1482752,-4.91,5610.310679912567,0.009809775,613.39,2353,0.0042718113,0.38731402
7,-0.004084921,0.0,0.8732617795467377,1486848,-4.91,5619.831630945206,0.0105009945,608.75,2360,0.003114467,0.35603362
8,-0.002669431,0.0,0.8808876872062683,1490944,-4.91,5629.760628938675,0.009549949,602.35,2368,0.003510366,0.34886336
7,-0.004270374,0.0,0.8789552077651024,1495040,-4.91,5639.813488006592,0.008783995,599.39,2375,0.0044354363,0.37009585
6,-0.0038368115,0.0,0.8650220185518265,1499136,-4.91,5649.511160373688,0.0095486585,598.81,2381,0.0039173807,0.3922301
7,-0.002716815,0.0,0.8800076469779015,1503232,-4.9,5762.646621227264,0.009720424,609.4,2388,0.0038674397,0.4000596
6,-0.004062526,0.0,0.8634854704141617,1507328,-4.88,5771.512298583984,0.009555299,611.43,2394,0.004276964,0.39730677
6,-0.0046878722,0.0,0.8613264113664627,1511424,-4.86,5780.421436309814,0.010899558,613.91,2400,0.0038422076,0.37976
6,-0.0037089258,0.0,0.8411273956298828,1515520,-4.86,5789.721544742584,0.011987009,620.78,2406,0.004248355,0.40025935
6,-0.004734077,0.0,0.8850651830434799,1519616,-4.85,5798.846561908722,0.009381045,620.22,2412,0.0035815232,0.37057918
6,-0.002037859,0.0,0.8676518648862839,1523712,-4.83,5807.914427757263,0.010160475,631.52,2418,0.004141139,0.38316202
7,-0.00289421,0.0,0.8439086824655533,1527808,-4.83,5816.995476961136,0.010302521,630.73,2425,0.00398734,0.349904
6,-0.0042348374,0.0,0.8859500661492348,1531904,-4.85,5827.05983543396,0.008381314,630.47,2431,0.004470157,0.37991014
5,-0.0023563788,0.0,0.8826471194624901,1536000,-4.86,5838.645109653473,0.009306808,634.52,2436,0.0048043486,0.39457655
7,-0.003102488,0.0,0.8816034346818924,1540096,-4.84,5849.402487277985,0.00977422,629.01,2443,0.0033596028,0.3588683
8,-0.003470731,0.0,0.8541052639484406,1544192,-4.84,5858.704660177231,0.010089059,629.32,2451,0.003659159,0.34370714
6,-0.0038260417,0.0,0.8784961476922035,1548288,-4.84,5868.066916942596,0.009011815,632.47,2457,0.004344096,0.36092588
7,-0.0055763526,0.0,0.8562249690294266,1552384,-4.82,5877.3696348667145,0.011350858,636.15,2464,0.004366176,0.36151
6,-0.0032338966,0.0,0.8677859604358673,1556480,-4.81,5886.290586948395,0.009501774,642.04,2470,0.0037986196,0.36834595
7,-0.0046056826,0.0,0.8929770961403847,1560576,-4.82,5895.520606040955,0.008712738,640.71,2477,0.004473421,0.3652788
7,-0.0028836634,0.0,0.869896650314331,1564672,-4.82,5904.3206169605255,0.009438431,636.12,2484,0.0037198174,0.35727045
7,-0.0035400887,0.0,0.8813476338982582,1568768,-4.83,5913.307553052902,0.009121064,633.88,2491,0.0040233736,0.34950298
7,-0.004190419,0.0,0.8481690287590027,1572864,-4.86,5922.505768537521,0.0100712925,631.89,2498,0.0038390409,0.37505072
5,-0.0053262482,0.0,0.8316945880651474,1576960,-4.88,5931.325421333313,0.009242712,635.77,2503,0.004934939,0.38221678
7,-0.0037901255,0.0,0.8793661966919899,1581056,-4.9,5940.2274425029755,0.007955808,630.8,2510,0.0043950793,0.3875148
7,-0.004671106,0.0,0.8630196154117584,1585152,-4.91,5949.432466030121,0.008617301,623.77,2517,0.0035064784,0.3426976
6,-0.0031872038,0.0,0.8436013609170914,1589248,-4.91,5958.54244685173,0.010543718,622.15,2523,0.0038916632,0.3652717
7,-0.0031789355,0.0,0.8729861080646515,1593344,-4.9,5967.275958061218,0.0088296775,622.22,2530,0.0043714917,0.34589505
7,-0.0018378799,0.0,0.8811172619462013,1597440,-4.91,5978.417202949524,0.008741037,613.01,2537,0.0038118395,0.35385752
6,-0.0035556487,0.0,0.8722453415393829,1601536,-4.93,6079.010452270508,0.008371168,618.64,2543,0.0034029705,0.33200225
7,-0.0022574775,0.0,0.8809473291039467,1605632,-4.93,6088.786375284195,0.008916706,621.1,2550,0.0037727507,0.34278688
7,-0.0004574866,0.0,0.8616102486848831,1609728,-4.93,6097.705976963043,0.009890239,615.4,2557,0.003938197,0.3587165
6,-0.0037521562,0.0,0.8469313681125641,1613824,-4.95,6107.260393619537,0.008850574,619.36,2563,0.004384623,0.3741822
