EpLenMean,TimestepsSoFar,loss_pol_surr,loss_kl,EpRewMean,loss_vf_loss,loss_pol_entpen,loss_ent,EpThisIter,TimeElapsed,ev_tdlam_before,EpisodesSoFar
2828.9,9830400,-0.025503911,0.0127997715,1.42,0.005375467,0.0,0.5965163,2,14489.048070192337,0.759993389248848,5404
2828.9,9834496,-0.021832347,0.011058209,1.43,0.0026960736,0.0,0.5859169,1,14494.712003707886,0.3374273180961609,5405
2828.9,9838592,-0.024722338,0.011730898,1.41,0.003756844,0.0,0.5548365,1,14500.619106054306,0.5154072046279907,5406
2829.39,9842688,-0.029502822,0.01388047,1.41,0.0028241128,0.0,0.58156836,2,14506.517241716385,0.6765187680721283,5408
2841.95,9846784,-0.024610901,0.01194106,1.38,0.002281872,0.0,0.59213907,1,14511.955456256866,0.8020653873682022,5409
2841.95,9850880,-0.025674377,0.011551709,1.43,0.0033088226,0.0,0.5935088,2,14517.243195772171,0.7716273963451385,5411
2841.95,9854976,-0.024597874,0.010492078,1.44,0.003161339,0.0,0.5863258,1,14522.403285980225,0.674845427274704,5412
2841.95,9859072,-0.028092714,0.01227688,1.43,0.004468088,0.0,0.6223571,1,14527.564576625824,0.6853527426719666,5413
2848.25,9863168,-0.022312563,0.010031771,1.41,0.0027330662,0.0,0.5800988,2,14532.70406961441,0.41553688049316406,5415
2848.25,9867264,-0.025481392,0.0123546645,1.35,0.003955762,0.0,0.59085816,1,14538.037874698639,0.6181469559669495,5416
2842.86,9871360,-0.026435211,0.011947003,1.4,0.0055011474,0.0,0.599134,2,14543.184064388275,0.6520982682704926,5418
2846.33,9875456,-0.026229423,0.0126689095,1.37,0.0023369158,0.0,0.58599424,1,14548.327727079391,0.6266143918037415,5419
2845.96,9879552,-0.02748707,0.013995446,1.34,0.009210523,0.0,0.60139334,2,14553.465269088745,0.6630049049854279,5421
2822.04,9883648,-0.028028108,0.014298929,1.36,0.0059766457,0.0,0.61675537,2,14558.93118429184,0.7205310165882111,5423
2822.04,9887744,-0.027516678,0.0143937,1.35,0.004263455,0.0,0.5996905,1,14564.159829378128,0.7817870825529099,5424
2822.04,9891840,-0.023697767,0.010488049,1.35,0.004531453,0.0,0.58858263,1,14569.39884185791,0.47188621759414673,5425
2822.04,9895936,-0.02503117,0.011961424,1.36,0.0024569712,0.0,0.5997075,2,14574.556075811386,0.7486884295940399,5427
2813.89,9900032,-0.02590318,0.012582101,1.42,0.004142805,0.0,0.59179026,1,14579.788955926895,0.7301642298698425,5428
2833.64,9904128,-0.025099,0.011681575,1.41,0.0045209094,0.0,0.5996533,2,14585.075345754623,0.6373423039913177,5430
2843.59,9908224,-0.024861427,0.011728361,1.42,0.004225239,0.0,0.58613193,1,14590.473067522049,0.7832943946123123,5431
2847.25,9912320,-0.027525317,0.011609032,1.45,0.0044457153,0.0,0.59124035,2,14595.92093205452,0.7813506871461868,5433
2847.25,9916416,-0.028786492,0.012650161,1.44,0.0036685383,0.0,0.61494225,1,14601.464092254639,0.8034089803695679,5434
2843.39,9920512,-0.027193977,0.013427519,1.51,0.0032280735,0.0,0.6245291,1,14606.863198280334,0.8271984606981277,5435
2840.68,9924608,-0.026116636,0.01319138,1.55,0.008737497,0.0,0.61076325,2,14612.282326221466,0.7149413228034973,5437
2840.68,9928704,-0.030184241,0.011930668,1.58,0.0045329733,0.0,0.6174701,1,14617.615068674088,0.679530531167984,5438
2841.99,9932800,-0.029370153,0.0121078575,1.62,0.0047275694,0.0,0.60888946,2,14622.768830299377,0.7980092614889145,5440
2850.22,9936896,-0.02549375,0.0119641,1.58,0.0053615323,0.0,0.58890504,1,14627.917276620865,0.7385802865028381,5441
2850.22,9940992,-0.027501214,0.012707554,1.6,0.0070713446,0.0,0.6115886,1,14633.065628290176,0.7484433948993683,5442
2870.1,9945088,-0.027916672,0.01155076,1.61,0.0033457996,0.0,0.6031559,2,14638.22449183464,0.6330838203430176,5444
2868.82,9949184,-0.025977066,0.012092717,1.53,0.0035725073,0.0,0.6151339,1,14643.488412618637,0.7149606049060822,5445
2868.82,9953280,-0.023237947,0.011424301,1.51,0.007368234,0.0,0.62996346,2,14648.642041683197,0.5353489518165588,5447
2868.82,9957376,-0.025949659,0.01280388,1.52,0.0026320051,0.0,0.5970563,1,14653.809086561203,0.6545570194721222,5448
2859.07,9961472,-0.026543923,0.010202912,1.54,0.0027762016,0.0,0.6155848,2,14659.550651073456,0.8013432621955872,5450
2859.07,9965568,-0.023196893,0.011864087,1.54,0.0023998176,0.0,0.6057751,1,14664.715906381607,0.7263229489326477,5451
2859.07,9969664,-0.02691422,0.011732227,1.54,0.0021922723,0.0,0.6332473,1,14670.134201288223,0.6813487112522125,5452
2859.07,9973760,-0.02379887,0.010339685,1.55,0.004181067,0.0,0.59649646,2,14675.715968370438,0.6448035836219788,5454
2870.0,9977856,-0.025221411,0.012815963,1.52,0.0025366447,0.0,0.6096274,1,14681.084839344025,0.6651249825954437,5455
2865.97,9981952,-0.028504336,0.0134246,1.5,0.0037769666,0.0,0.6054428,2,14686.287054300308,0.7949105054140091,5457
2878.18,9986048,-0.027794287,0.012569253,1.44,0.0033600994,0.0,0.63244146,1,14691.718430042267,0.5604593455791473,5458
2878.18,9990144,-0.029086838,0.012302757,1.48,0.002128493,0.0,0.6283718,1,14696.887226581573,0.6978960335254669,5459
2879.24,9994240,-0.02555722,0.01277012,1.44,0.0049285796,0.0,0.60677826,2,14702.250430583954,0.7851133048534393,5461
2883.86,9998336,-0.026176102,0.012837274,1.5,0.0029070382,0.0,0.63304347,1,14708.064453840256,0.7841593325138092,5462
2881.89,10002432,-0.027352065,0.013306579,1.52,0.0036004235,0.0,0.60864615,1,15008.933734416962,0.6689082384109497,5463
2890.75,10006528,-0.024169834,0.012107712,1.53,0.0017730292,0.0,0.61309487,2,15015.363265991211,0.5428032279014587,5465
2890.75,10010624,-0.029793993,0.011881361,1.53,0.0014203453,0.0,0.6450254,1,15020.912695169449,0.7373941540718079,5466
2890.75,10014720,-0.022294091,0.012172008,1.49,0.0023333866,0.0,0.6370089,1,15026.162257671356,0.5103295743465424,5467
2902.76,10018816,-0.022020461,0.011632115,1.39,0.0011035015,0.0,0.598631,2,15031.508183717728,0.2715475559234619,5469
2902.76,10022912,-0.01953398,0.012121901,1.41,0.0021700345,0.0,0.638698,1,15036.672457933426,0.01119154691696167,5470
2902.76,10027008,-0.024273857,0.012892125,1.38,0.0042114262,0.0,0.6116343,2,15041.851781606674,0.5513235330581665,5472
