#{"t_start": 1603142008.3028855, "env_id": "SlimeVolley-v0"}
r,l,t
-5,913,1.700408
-5,511,2.501144
-4,615,2.961628
-5,444,3.389281
-5,680,4.003702
-5,614,4.472971
-5,525,4.968774
-5,728,5.501942
-4,736,6.149546
-5,507,6.627923
-5,470,6.982392
-5,881,7.715915
-5,773,8.396095
-4,746,8.966207
-5,497,9.441387
-5,600,9.900586
-5,642,10.471814
-5,430,10.878482
-4,611,11.352929
-5,439,11.784554
-5,631,12.252305
-4,597,12.809861
-5,534,13.227265
-5,442,13.671199
-5,505,14.072728
-5,1032,14.991113
-3,816,15.719297
-5,537,16.22471
-5,539,16.635867
-5,576,17.16666
-4,781,17.756813
-5,558,18.273173
-5,446,18.588771
-5,656,19.187479
-5,524,19.700443
-5,698,20.254178
-5,519,20.760357
-5,580,21.226978
-5,778,21.928092
-5,562,22.468101
-5,535,22.88098
-5,471,23.351823
-5,621,23.847072
-5,493,24.337675
-5,445,24.690983
-5,471,25.161083
-5,780,25.777369
-5,454,26.218798
-5,638,26.719954
-5,797,27.435246
-5,544,27.881643
-5,626,28.292598
-5,623,28.776794
-5,516,29.112578
-4,567,29.557166
-5,404,29.820645
-4,653,30.332798
-5,468,30.62814
-4,829,31.324926
-5,693,31.82507
-3,870,32.435023
-4,710,32.874701
-5,532,33.278597
-5,568,33.704589
-5,636,34.097293
-5,637,34.563443
-5,647,34.963664
-5,724,35.486721
-5,673,35.977681
-5,597,36.346756
-5,757,36.989353
-5,502,37.446584
-5,653,37.928903
-5,619,38.515417
-4,914,39.335689
-5,662,39.861157
-5,794,40.590404
-5,488,41.063206
-5,712,41.628755
-4,595,42.196002
-4,646,42.783109
-5,795,43.404889
-5,620,43.990592
-5,629,44.555044
-5,882,45.246503
-5,525,45.759464
-5,535,46.158004
-5,679,46.779054
-4,618,47.356812
-5,661,47.882991
-5,638,48.476543
-5,714,49.126686
-5,520,49.509639
-5,733,50.173354
-5,608,50.739575
-5,665,51.238992
-5,498,51.71918
-5,636,52.214385
-5,472,52.663677
-5,441,52.999954
-5,741,53.650436
-5,467,54.000522
-5,622,54.567171
-5,603,55.118847
-5,1011,55.969534
-5,417,56.289855
-5,587,56.731555
-5,630,57.302271
-5,756,57.949968
-5,566,58.3723
-5,532,58.841327
-5,563,59.190607
-5,445,59.538339
-5,510,59.853121
-5,1091,60.603963
-5,765,61.273928
-5,433,61.716087
-5,502,62.057199
-5,517,62.449317
-5,708,62.88475
-5,409,63.21023
-5,689,63.635262
-5,556,64.053487
-5,532,64.383046
-5,622,64.839465
-5,1118,65.603077
