fps,explained_variance,nupdates,value_loss,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean
32,-68.42481231689453,1,0.013823667541146278,2.0794129371643066,5,,
754,-289.0743713378906,100,0.03432700037956238,2.0793821811676025,500,-5.0,495.0
881,-904.396240234375,200,0.06396789848804474,2.079380989074707,1000,-5.0,495.0
949,-138.06365966796875,300,0.009341860190033913,2.079139232635498,1500,-5.0,522.5
980,-706.1144409179688,400,0.07642076909542084,2.079007625579834,2000,-5.0,506.3333333333333
997,-163.54908752441406,500,0.0287578497081995,2.0785369873046875,2500,-5.0,530.0
1010,-0.8562082052230835,600,0.5844908952713013,2.07912278175354,3000,-5.0,553.2
1018,-63.179039001464844,700,0.001991639845073223,2.0785434246063232,3500,-5.0,565.6666666666666
1024,-2909.455078125,800,0.0025056512095034122,2.0781917572021484,4000,-4.857142857142857,570.7142857142857
1029,-8109.19970703125,900,0.2428092211484909,2.0760796070098877,4500,-4.857142857142857,570.7142857142857
1034,-1837.197265625,1000,0.00019636373326648027,2.072248935699463,5000,-4.875,583.875
1037,-113.92408752441406,1100,0.002556199673563242,2.027677059173584,5500,-4.777777777777778,605.5555555555555
1039,-1.8396680355072021,1200,0.00030851102201268077,2.042367935180664,6000,-4.8,595.4
1040,-1268.7493896484375,1300,0.003249815199524164,2.04508638381958,6500,-4.818181818181818,584.0
1042,-141.87008666992188,1400,0.0018993783742189407,2.033477306365967,7000,-4.818181818181818,584.0
1044,-128.9726104736328,1500,0.0018440980929881334,2.0516722202301025,7500,-4.833333333333333,615.75
1046,-2.320416212081909,1600,0.005859345197677612,2.040818929672241,8000,-4.846153846153846,605.0769230769231
1048,0.35281431674957275,1700,7.78484100010246e-05,2.0477001667022705,8500,-4.846153846153846,605.0769230769231
1051,-1.4849419593811035,1800,0.002951235743239522,2.0144195556640625,9000,-4.8,599.2
1055,-0.05813801288604736,1900,0.0013952392619103193,2.056316375732422,9500,-4.8,599.2
1057,-5.861904144287109,2000,0.0018592525739222765,1.9904327392578125,10000,-4.8125,599.125
1058,0.23277521133422852,2100,0.0011036079376935959,1.9903345108032227,10500,-4.823529411764706,595.6470588235294
1059,-21.539119720458984,2200,0.0029070102609694004,1.98993718624115,11000,-4.833333333333333,589.0
1059,-10.592510223388672,2300,0.002666459186002612,1.9947868585586548,11500,-4.7894736842105265,596.0
1059,-32.259334564208984,2400,0.0016423780471086502,1.978196144104004,12000,-4.8,588.55
1059,-0.8039408922195435,2500,0.01534627191722393,1.9924144744873047,12500,-4.809523809523809,592.7142857142857
1059,-9.421366691589355,2600,0.0004261383437551558,1.9956417083740234,13000,-4.809523809523809,592.7142857142857
1060,-13.395036697387695,2700,0.007039023097604513,2.0145790576934814,13500,-4.818181818181818,597.0
1060,-19.310815811157227,2800,0.8424288630485535,2.0428171157836914,14000,-4.826086956521739,592.8695652173913
1061,-2.261922597885132,2900,0.0004405310901347548,2.0683555603027344,14500,-4.833333333333333,589.9166666666666
1061,-1.8040006160736084,3000,0.0001219273908645846,2.0360569953918457,15000,-4.84,595.72
1061,-108.21678924560547,3100,0.0018382456619292498,2.0534045696258545,15500,-4.84,595.72
1062,-6.738793849945068,3200,0.0006256987107917666,2.0314438343048096,16000,-4.846153846153846,609.0769230769231
1062,-116.6689224243164,3300,0.001137736951932311,2.0689315795898438,16500,-4.846153846153846,609.0769230769231
1063,-17.415184020996094,3400,0.0023442665114998817,2.0689635276794434,17000,-4.851851851851852,617.1111111111111
1063,-4399.83984375,3500,0.007198547013103962,2.0391242504119873,17500,-4.851851851851852,617.1111111111111
1063,-0.24186468124389648,3600,0.0007169937598519027,2.052556276321411,18000,-4.857142857142857,630.8928571428571
1065,-0.4568060636520386,3700,0.0007756463601253927,2.058305263519287,18500,-4.862068965517241,625.6896551724138
1067,-10.198347091674805,3800,0.0007608878659084439,2.067201614379883,19000,-4.866666666666666,624.5333333333333
1069,-251.53919982910156,3900,0.0022269298788160086,2.0549283027648926,19500,-4.866666666666666,624.5333333333333
1070,0.7961143255233765,4000,0.0006066180067136884,2.0502302646636963,20000,-4.838709677419355,634.3548387096774
1070,-22.608890533447266,4100,0.007468068040907383,2.047423839569092,20500,-4.84375,637.8125
1070,0.5065339207649231,4200,0.9285054206848145,2.017427921295166,21000,-4.84375,637.8125
1070,-37.60921096801758,4300,0.0019500056514516473,2.06720232963562,21500,-4.848484848484849,638.4848484848485
1071,0.3624308705329895,4400,0.11073019355535507,2.0543599128723145,22000,-4.823529411764706,641.5588235294117
1069,-51.44091033935547,4500,0.004562854766845703,2.0736565589904785,22500,-4.8,642.3142857142857
1069,-2.6231677532196045,4600,0.00035524723352864385,2.0502853393554688,23000,-4.8,642.3142857142857
1068,-13.69345474243164,4700,0.0015982023905962706,2.0688602924346924,23500,-4.805555555555555,641.1666666666666
1068,-1.683546543121338,4800,0.00024367675359826535,2.040259838104248,24000,-4.8108108108108105,638.1351351351351
1069,-36.244651794433594,4900,0.0013443204807117581,2.067594528198242,24500,-4.815789473684211,644.5
1070,-15.958616256713867,5000,0.007197721861302853,2.0400784015655518,25000,-4.815789473684211,644.5
1071,-7.338601112365723,5100,0.0014756587333977222,2.0692639350891113,25500,-4.82051282051282,647.1794871794872
1073,0.2571756839752197,5200,0.26062190532684326,2.065117359161377,26000,-4.825,644.45
