,gamma,max_kl,lam,entcoeff,cg_damping,vf_stepsize,-reward
0,0.9104764877837151,0.04472572633437812,0.9744372791424394,0.09197353465110064,0.026367830443196,0.0009244301305245608,4.87
1,0.9411204772638158,0.08398066206742079,0.9356387328822166,0.06759116660896688,0.07888506399374455,0.000260402803523466,4.81
2,0.9572664469107985,0.0646576034706086,0.9463610899820923,0.03082622877787799,0.04640806442312897,0.000694862133609131,4.87
3,0.9552438492011279,0.020850382481701672,0.9818019492644816,0.029897919800132514,0.042383438110351564,0.0004502118229400367,4.9
4,0.9506465374343097,0.017792070464231074,0.9752634705137462,0.0878479849183932,0.047957980578765276,0.00017944716027006507,4.92
5,0.9333421368934214,0.08215678134467454,0.9210907745920122,0.05208577577304095,0.04579523403663188,2.6284490395337342e-05,4.78
6,0.9327820422845137,0.09216452704117672,0.9188230022040114,0.05818589537105995,0.06087219732034503,4.810163273875415e-05,4.9
7,0.932626898572718,0.08099287185677659,0.9195481936939146,0.04926559480910479,0.04011632489510729,1.0000000000000016e-05,4.9
8,0.9331589191661428,0.08422878581397361,0.9203052755655722,0.05257023598678331,0.04802814750929705,2.669908183437843e-05,4.85
9,0.933593029510363,0.08118457624851468,0.9218491750681499,0.0523565915284938,0.045623444869504856,2.925994021323218e-05,4.84
10,0.9345996736694886,0.08232987757044016,0.923907354404537,0.05560060076379003,0.052271711176718055,5.5132971394770496e-05,4.9
11,0.933012035935566,0.08272676151804097,0.9202860704134798,0.051545934648946905,0.045140374020401476,1.963606176937065e-05,4.87
12,0.950982705063015,0.08260276232770936,0.9284040896154124,0.07287936084487953,0.07186955163764161,0.00026291697907014037,4.82
13,0.9332847242616099,0.08158353277733174,0.9210280344661848,0.051547411026133055,0.04449520866389301,2.5160770008246126e-05,4.81
14,0.9457300719915935,0.08335213839986873,0.9323397402154718,0.07004254082820138,0.07575010511253019,0.00026265856984629513,4.81
15,0.9320638801197344,0.08393240259763256,0.9221529512667711,0.07243433863881726,0.07406959624262655,0.00025098615861969266,4.88
16,0.9529920548467953,0.08340176252202175,0.9434735172885376,0.06599521491754758,0.07969610339015984,0.00026922295723474465,4.93
17,0.928155966621034,0.08377321957886098,0.932127079564894,0.07808180619025819,0.07837840154674926,0.00035008770540402974,4.9
18,0.9327071782747199,0.0819673954859004,0.9201805274784959,0.05293071737129778,0.045976381418648155,1.0000000000000003e-05,4.84
19,0.9685952914832952,0.07794763170019706,0.9283280149831602,0.054534561194159024,0.07105816132367353,0.00046047817527942786,4.83
