,clip_param,entcoeff,gamma,lam,-reward
0,0.7182525648362934,0.020164896467700602,0.9398666695738211,0.928776145298034,0.15
1,0.31212188547477127,0.03711107775196433,0.9891873428123071,0.922608007863164,0.51
2,0.9359268216788769,0.08087698700558395,0.9361537329470739,0.9564349443465471,4.89
3,0.11356611710041761,0.07168996202759445,0.9235235935058445,0.9271627722680569,4.86
4,0.011411464475095272,0.06888647329434752,0.9039497433872894,0.9479978322610259,4.84
5,0.55753648249756,0.02013488072790418,0.9672087463785088,0.9235456427905548,0.74
6,0.7606757107291291,0.013422819440303175,0.9326572806149772,0.9084475214055622,0.17
7,0.7450304825916532,0.003812893207640477,0.9318572123178269,0.9321929611149493,3.84
8,0.7282124036984842,0.023541819267425993,0.9378475106391617,0.90753427980303,0.24
9,0.8606711884878827,0.018613260575334644,0.9459122933671007,0.9121924008107063,0.13
