policy_entropy,nupdates,fps,total_timesteps,explained_variance,value_loss
2.079439878463745,1,5,5,-209.0303955078125,0.031173100695014
2.0794408321380615,100,172,500,-210.22470092773438,0.008217419497668743
2.0794386863708496,200,179,1000,-1199.1231689453125,0.007707847747951746
