loss_ent,loss_vf_loss,loss_pol_entpen,loss_pol_surr,EpLenMean,EpRewMean,ev_tdlam_before,EpisodesSoFar,loss_kl,EpThisIter,TimestepsSoFar,TimeElapsed
0.6826283,49.209324,0.0,-0.023317046,22.78,22.78,0.009631574153900146,179,0.010669512,179,4096,3.1077330112457275
0.6722445,48.250156,0.0,-0.012154317,30.51,30.51,-0.04808783531188965,319,0.0027006182,140,8192,5.716105937957764
0.67093825,75.42729,0.0,-0.0021850565,35.77,35.77,-0.0028992891311645508,434,0.00032566334,115,12288,8.262511253356934
