loss_kl,loss_ent,EpThisIter,TimestepsSoFar,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_pol_surr,loss_pol_entpen,ev_tdlam_before,EpLenMean,EpRewMean
0.0078110956,1.7522222,1,574208,878,0.017480638,3777.558064699173,-0.009979388,-0.01752222,0.9371686354279518,650.65,0.38
0.006278001,1.7734289,0,574464,878,0.019192066,3778.054650068283,-0.009863889,-0.017734287,0.936806432902813,650.65,0.38
0.013000175,1.7798822,1,574720,879,0.011109087,3779.348654270172,-0.027368292,-0.01779882,0.9646401032805443,651.14,0.45
0.004826689,1.7955673,0,574976,879,0.01344406,3779.8455839157104,-0.008848824,-0.017955672,0.9456802755594254,651.14,0.45
0.011902661,1.6373619,1,575232,880,0.026101455,3781.153256893158,-0.02779346,-0.01637362,0.9203254505991936,650.66,0.45
0.00790479,1.6346133,0,575488,880,0.015203305,3781.649398326874,-0.0073781637,-0.016346132,0.667274534702301,650.66,0.45
0.0058410475,1.6033862,1,575744,881,0.0144310035,3782.961307287216,-0.010172289,-0.016033862,0.7440785765647888,648.04,0.38
0.0075647747,1.7458386,0,576000,881,0.01800945,3783.4933207035065,-0.013025776,-0.017458387,0.9365437626838684,648.04,0.38
0.0077343215,1.7881365,0,576256,881,0.019450288,3784.00732254982,-0.011429481,-0.017881365,0.926668182015419,648.04,0.38
0.003665023,1.7997823,1,576512,882,0.013350679,3785.381761074066,-0.009136975,-0.017997822,0.6794874370098114,646.63,0.4
0.012120334,1.7352984,0,576768,882,0.023086019,3785.881150007248,-0.015182152,-0.017352983,0.9109734669327736,646.63,0.4
0.0054727574,1.7433472,0,577024,882,0.02528934,3786.3895132541656,-0.011454858,-0.017433472,0.9355195909738541,646.63,0.4
0.009335724,1.7553685,1,577280,883,0.010867163,3787.6925790309906,-0.02620333,-0.017553685,0.9578622914850712,648.44,0.36
0.007727873,1.7877483,0,577536,883,0.02171586,3788.1934649944305,-0.0145202,-0.017877482,0.9364746585488319,648.44,0.36
0.0057044467,1.9358163,0,577792,883,0.014269384,3788.701108932495,-0.018408336,-0.019358162,0.9379822500050068,648.44,0.36
0.0059088944,1.900519,1,578048,884,0.01544317,3790.1197555065155,-0.013611819,-0.019005189,0.6956396102905273,648.42,0.42
0.006460132,1.839667,0,578304,884,0.019517897,3790.652484893799,-0.015371885,-0.018396668,0.9434981383383274,648.42,0.42
0.0063084606,1.8250265,1,578560,885,0.0113264695,3792.031134366989,-0.010824356,-0.018250264,0.9546495527029037,649.33,0.4
0.008430787,1.8981891,0,578816,885,0.014964448,3792.5321474075317,-0.016416365,-0.018981889,0.9521413780748844,649.33,0.4
0.0075114043,1.8675722,0,579072,885,0.015499219,3793.034031391144,-0.016969234,-0.018675722,0.9367378279566765,649.33,0.4
0.005380025,1.9857152,1,579328,886,0.018435549,3794.484802007675,-0.017912865,-0.01985715,0.5473137199878693,651.03,0.45
0.008048229,1.8514731,0,579584,886,0.017835943,3795.0435857772827,-0.004826732,-0.01851473,0.942838478833437,651.03,0.45
0.013014782,1.9904401,1,579840,887,0.011340275,3796.415012359619,-0.009720281,-0.019904401,0.8414192348718643,651.55,0.45
0.00649235,1.8650832,0,580096,887,0.024320142,3797.011474132538,-0.007835265,-0.018650832,0.9017292335629463,651.55,0.45
0.007915988,1.8011311,0,580352,887,0.022598697,3797.559268951416,-0.015833318,-0.018011311,0.9399875961244106,651.55,0.45
0.0053056367,1.9983878,1,580608,888,0.013231174,3798.8678879737854,-0.019209407,-0.019983876,0.7643833011388779,652.4,0.44
0.007693227,1.8513931,0,580864,888,0.018006686,3799.4791152477264,-0.0194918,-0.01851393,0.9386382475495338,652.4,0.44
0.006684349,1.9414062,0,581120,888,0.016390726,3799.980368375778,-0.021885091,-0.019414062,0.9200559854507446,652.4,0.44
0.0073175076,1.9223893,0,581376,888,0.027054748,3800.48220038414,-0.007939214,-0.019223893,0.9191136583685875,652.4,0.44
0.01341724,1.877132,1,581632,889,0.02125803,3801.7993314266205,-0.025658024,-0.01877132,0.9462648071348667,655.16,0.39
0.008531145,1.9254978,0,581888,889,0.023866251,3802.3567628860474,-0.02216373,-0.019254977,0.9097385108470917,655.16,0.39
0.006195531,1.9226667,1,582144,890,0.020701524,3803.6994245052338,-0.019798992,-0.019226667,0.838360920548439,653.38,0.39
0.0069540115,1.8763107,0,582400,890,0.025005888,3804.199520111084,-0.01435633,-0.018763106,0.8108947277069092,653.38,0.39
0.0049213967,1.9326384,0,582656,890,0.030523319,3804.6993470191956,-0.003287037,-0.019326385,0.8756229430437088,653.38,0.39
0.0045253923,1.884789,1,582912,891,0.016982641,3806.0863301754,-0.010816872,-0.01884789,0.9358242899179459,656.35,0.44
0.009040834,1.9347317,0,583168,891,0.012473849,3806.585249185562,-0.018874317,-0.019347318,0.7737272828817368,656.35,0.44
0.004245388,1.9287736,1,583424,892,0.007583482,3807.8942568302155,-0.012964562,-0.019287735,0.818044513463974,653.24,0.51
0.008903706,1.7854987,0,583680,892,0.019450855,3808.398444414139,-0.014286958,-0.017854989,0.8456835448741913,653.24,0.51
0.0038355282,1.9219781,0,583936,892,0.019918097,3808.9024205207825,-0.016761038,-0.019219782,0.784401997923851,653.24,0.51
0.0059298156,1.831186,1,584192,893,0.019574672,3810.370051383972,-0.020185407,-0.018311862,0.9397249259054661,652.08,0.55
0.0051100734,1.888575,0,584448,893,0.014374983,3810.8728518486023,-0.023244709,-0.018885748,0.8044075965881348,652.08,0.55
0.006717989,1.7983847,0,584704,893,0.015197929,3811.375244617462,-0.008383809,-0.017983846,0.9254522025585175,652.08,0.55
0.007242226,1.7714919,1,584960,894,0.012952025,3812.712937116623,-0.019172627,-0.017714918,0.9350627511739731,653.28,0.54
0.0042737713,1.7005768,0,585216,894,0.014287109,3813.220464706421,-0.0067786984,-0.017005768,0.9211693629622459,653.28,0.54
0.0056075486,1.6994667,1,585472,895,0.015986636,3814.567359685898,-0.010366425,-0.016994668,0.9102139919996262,653.51,0.51
0.0038115545,1.767555,0,585728,895,0.022679359,3815.071615934372,-0.006851347,-0.01767555,0.9246270507574081,653.51,0.51
0.0064276387,1.6694281,0,585984,895,0.02056428,3815.578891992569,-0.0097987875,-0.01669428,0.9376999288797379,653.51,0.51
0.0049397284,1.6538038,1,586240,896,0.020458266,3816.9548749923706,-0.009776221,-0.016538037,0.6568751931190491,653.54,0.47
0.0040635904,1.816541,0,586496,896,0.030012818,3817.4518551826477,-0.007165115,-0.01816541,0.7188995182514191,653.54,0.47
0.0062956633,1.8348746,0,586752,896,0.025410097,3817.9514203071594,-0.015761457,-0.018348744,0.9077393338084221,653.54,0.47
0.006450546,1.738707,1,587008,897,0.020642707,3819.2583026885986,-0.017650481,-0.01738707,0.9422012828290462,654.82,0.46
0.007269595,1.8231521,0,587264,897,0.010283619,3819.755343914032,-0.01856077,-0.01823152,0.8097174912691116,654.82,0.46
0.0066140173,1.7080382,0,587520,897,0.027662562,3820.251758337021,-0.022115085,-0.017080382,0.8752075806260109,654.82,0.46
0.0065117804,1.6536186,1,587776,898,0.01746539,3821.5927555561066,-0.0018657064,-0.016536186,0.9521308280527592,657.3,0.44
0.008410814,1.736865,0,588032,898,0.014716025,3822.09179520607,-0.021006845,-0.01736865,0.7230966985225677,657.3,0.44
0.0052542426,1.6977386,1,588288,899,0.011837707,3823.451430082321,-0.0020033382,-0.016977387,0.9552054889500141,653.75,0.4
0.006595844,1.7302268,0,588544,899,0.014405933,3823.976844549179,-0.01545861,-0.017302267,0.9380117580294609,653.75,0.4
0.005732255,1.7907472,1,588800,900,0.0121041685,3825.362514734268,-0.01270305,-0.01790747,0.9509073011577129,654.59,0.33
0.0048219846,1.7269514,0,589056,900,0.023253195,3825.8897743225098,-0.009521928,-0.017269513,0.9488900825381279,654.59,0.33
0.006266188,1.8370833,1,589312,901,0.0192211,3827.1989421844482,-0.007572796,-0.018370833,0.838801383972168,654.82,0.32
0.0045293584,1.8053876,0,589568,901,0.027244877,3827.6981253623962,-0.0015824866,-0.018053874,0.86607725918293,654.82,0.32
0.0077529605,1.6511304,0,589824,901,0.014832161,3828.197744846344,-0.012490779,-0.016511302,0.9243116229772568,654.82,0.32
0.0058958344,1.7425655,1,590080,902,0.009453666,3829.5153160095215,-0.016264807,-0.017425656,0.9597124494612217,654.19,0.36
0.007307522,1.6904335,0,590336,902,0.015707325,3830.1011955738068,-0.00931178,-0.016904335,0.9249582216143608,654.19,0.36
0.0075656446,1.6655004,0,590592,902,0.020341672,3830.5979256629944,-0.014241641,-0.016655004,0.9017323777079582,654.19,0.36
0.005689704,1.563947,1,590848,903,0.016596846,3831.9296634197235,-0.011384597,-0.015639469,0.5773514807224274,655.14,0.31
0.006106189,1.6827778,1,591104,904,0.026978586,3833.237893819809,-0.009993607,-0.016827779,0.9305581748485565,650.95,0.25
0.0033705924,1.7907276,0,591360,904,0.024415018,3833.7341601848602,-0.004046416,-0.017907275,0.6188637912273407,650.95,0.25
0.0059471605,1.6906371,1,591616,905,0.022274049,3835.032417535782,-0.0072439136,-0.01690637,0.9258629009127617,651.25,0.34
0.008290121,1.5716529,0,591872,905,0.02795652,3835.5297350883484,-0.002895113,-0.015716529,0.9113199487328529,651.25,0.34
0.0064326823,1.6471057,0,592128,905,0.016454106,3836.0299983024597,-0.010702075,-0.016471058,0.9274821802973747,651.25,0.34
0.0049896007,1.685544,1,592384,906,0.018641893,3837.3408513069153,-0.016744364,-0.01685544,0.9439458325505257,653.14,0.28
0.0064544287,1.6530143,0,592640,906,0.023216093,3837.840683221817,-0.010346908,-0.016530143,0.9416350424289703,653.14,0.28
0.008988773,1.7329341,1,592896,907,0.01457612,3839.1697266101837,-0.022672083,-0.01732934,0.9658409655094147,652.14,0.29
0.005744663,1.7399659,0,593152,907,0.016267441,3839.6712555885315,-0.014804972,-0.017399658,0.9435284473001957,652.14,0.29
0.0071044257,1.7553719,1,593408,908,0.022331698,3841.0064034461975,-0.0050995704,-0.01755372,0.9422751180827618,651.17,0.35
0.0067038015,1.7563984,0,593664,908,0.03166075,3841.535433292389,-0.018712256,-0.017563984,0.940881509333849,651.17,0.35
0.005609618,1.5406461,0,593920,908,0.026973108,3842.125091314316,-0.0082183555,-0.01540646,0.9115848988294601,651.17,0.35
0.008633856,1.4128062,1,594176,909,0.013148898,3843.5159783363342,-0.017371595,-0.014128061,0.6551405787467957,650.14,0.32
0.006673208,1.425747,0,594432,909,0.018834645,3844.0135085582733,-0.00931298,-0.01425747,0.8672656714916229,650.14,0.32
0.005643225,1.6687311,0,594688,909,0.02392479,3844.5488674640656,-0.018390775,-0.016687311,0.791667029261589,650.14,0.32
0.0075192684,1.3955289,1,594944,910,0.02443315,3845.8898634910583,-0.0019864384,-0.0139552895,0.7626043856143951,652.32,0.28
0.0065608257,1.568856,0,595200,910,0.023736985,3846.3903555870056,-0.021917395,-0.015688559,0.9416511468589306,652.32,0.28
0.007070034,1.5120988,0,595456,910,0.014472896,3846.9406294822693,-0.0137893185,-0.015120987,0.955242183059454,652.32,0.28
0.0056135077,1.6001712,1,595712,911,0.015315043,3848.252814054489,-0.0047324765,-0.01600171,0.9470689557492733,654.72,0.24
0.00717903,1.3553964,0,595968,911,0.01953417,3848.7515213489532,-0.018768087,-0.013553964,0.8292485773563385,654.72,0.24
0.0049855327,1.5618856,0,596224,911,0.019406434,3849.2489297389984,-0.011982226,-0.015618855,0.9033276215195656,654.72,0.24
0.006897508,1.5318244,1,596480,912,0.008907426,3850.556435108185,-0.013402602,-0.015318243,0.955571036785841,654.79,0.2
0.002758007,1.5289212,0,596736,912,0.023932759,3851.0546820163727,-0.006633632,-0.015289212,0.8811335042119026,654.79,0.2
0.007901386,1.4832152,1,596992,913,0.01916887,3852.4271779060364,-0.012999728,-0.014832152,0.9353083372116089,653.37,0.18
0.0055364994,1.5331373,0,597248,913,0.026977442,3853.015689134598,-0.003807284,-0.015331373,0.9145368114113808,653.37,0.18
0.005294782,1.6333053,1,597504,914,0.011734871,3854.4842405319214,-0.011695555,-0.016333051,0.9188595190644264,654.33,0.17
0.0041392664,1.6329353,0,597760,914,0.016053725,3855.076167345047,-0.008780198,-0.016329354,0.9173838570713997,654.33,0.17
0.0067865993,1.4839368,0,598016,914,0.011760005,3855.656808614731,-0.009885908,-0.014839369,0.9442793093621731,654.33,0.17
0.0038817052,1.5104373,1,598272,915,0.016844703,3857.0007722377777,-0.006873686,-0.015104374,0.9098285436630249,656.53,0.12
0.005902902,1.495131,0,598528,915,0.0155275315,3857.5248646736145,-0.01588422,-0.014951309,0.9079632610082626,656.53,0.12
0.006544489,1.6245317,1,598784,916,0.020016756,3859.210815191269,-0.0035441145,-0.016245317,0.9336816966533661,658.46,0.15
0.006173584,1.4887975,0,599040,916,0.025306309,3859.7561078071594,-0.007420877,-0.0148879755,0.7740916460752487,658.46,0.15
0.0052371295,1.6147686,0,599296,916,0.021830235,3860.2531564235687,-0.008800957,-0.016147686,0.9252810031175613,658.46,0.15
0.007047506,1.5765884,1,599552,917,0.022976574,3861.5796597003937,-0.014413785,-0.015765883,0.9438146613538265,658.75,0.12
0.0054581994,1.6891892,0,599808,917,0.013871698,3862.1844429969788,-0.014204748,-0.016891891,0.9417997822165489,658.75,0.12
0.0062445593,1.6240604,0,600064,917,0.045213148,4061.8102600574493,-0.0062811384,-0.016240602,0.7294580042362213,658.75,0.12
0.0045828163,1.6370773,0,600320,917,0.031709388,4062.316556453705,-0.004837459,-0.016370773,0.9126897603273392,658.75,0.12
0.006281021,1.5544976,1,600576,918,0.01390043,4354.040683507919,-0.0037422944,-0.015544976,0.746607631444931,662.54,0.07
0.0037511226,1.6616182,0,600832,918,0.020837558,4354.633533239365,-0.012987526,-0.016616182,0.9317596182227135,662.54,0.07
0.004386368,1.6352452,0,601088,918,0.026546724,4355.1791388988495,-0.01784722,-0.016352452,0.9306545481085777,662.54,0.07
0.004071982,1.7602329,1,601344,919,0.030816467,4356.922787904739,-0.006458373,-0.017602328,0.7580219656229019,662.16,0.07
0.007728711,1.6819273,0,601600,919,0.0173301,4357.507820367813,-0.008529823,-0.016819272,0.9377346895635128,662.16,0.07
0.007279507,1.5505922,0,601856,919,0.015655389,4358.10152387619,-0.0066389907,-0.015505921,0.9085905626416206,662.16,0.07
0.0026404862,1.6310856,1,602112,920,0.011989954,4359.795282840729,-0.006469533,-0.016310856,0.9579852521419525,662.27,0.07
0.008575482,1.6354254,0,602368,920,0.02113737,4360.295320987701,-0.01232499,-0.016354255,0.9147447049617767,662.27,0.07
0.006615632,1.7189939,1,602624,921,0.021133242,4361.78617477417,-0.014959507,-0.01718994,0.8541372716426849,664.04,0.12
0.0048174476,1.6503937,0,602880,921,0.01563189,4362.385192871094,-0.023771714,-0.016503938,0.9341684654355049,664.04,0.12
0.003934344,1.6209251,0,603136,921,0.019822622,4362.943359851837,-0.0138859525,-0.01620925,0.9432288408279419,664.04,0.12
0.004121014,1.7140605,1,603392,922,0.010361155,4364.3128407001495,-0.0138508305,-0.017140605,0.9569725543260574,662.54,0.15
0.0055345492,1.4847517,0,603648,922,0.032664426,4364.815221309662,-0.001463607,-0.014847517,0.8834384605288506,662.54,0.15
0.004876434,1.4752266,0,603904,922,0.010050966,4365.361330270767,-0.0039575044,-0.014752265,0.9512152671813965,662.54,0.15
0.008507984,1.6017606,1,604160,923,0.019336753,4366.662010669708,-0.0141587835,-0.016017605,0.9439741931855679,661.28,0.13
0.004112026,1.589996,0,604416,923,0.010908262,4367.161884069443,-0.010320082,-0.01589996,0.9499449208378792,661.28,0.13
0.00781535,1.439595,0,604672,923,0.011216583,4367.661339521408,-0.0044444744,-0.01439595,0.9359526708722115,661.28,0.13
0.010435856,1.485569,1,604928,924,0.015748568,4368.958260059357,-0.01845472,-0.01485569,0.9451613649725914,662.37,0.13
0.004373501,1.4538722,0,605184,924,0.01742046,4369.456038475037,-0.00807628,-0.014538721,0.9078480452299118,662.37,0.13
0.0034622434,1.5280317,1,605440,925,0.009366343,4370.844701766968,-0.002068501,-0.015280316,0.965438112616539,662.85,0.13
0.0027473732,1.4520764,0,605696,925,0.01759409,4371.3448140621185,-0.0074757636,-0.014520764,0.9375104643404484,662.85,0.13
0.0058565843,1.5394664,0,605952,925,0.019716922,4371.845830917358,-0.014761301,-0.015394663,0.9270538687705994,662.85,0.13
0.0050848387,1.4253387,1,606208,926,0.013381209,4373.186283826828,-0.014607133,-0.014253386,0.9494370706379414,665.31,0.16
0.015017324,1.4055471,0,606464,926,0.019201044,4373.684482097626,0.009262752,-0.014055471,0.8569173663854599,665.31,0.16
0.0075331666,1.4814532,1,606720,927,0.0146742165,4375.029922008514,-0.010278221,-0.0148145305,0.9531244970858097,663.39,0.14
0.004564647,1.4361607,0,606976,927,0.018645559,4375.601398944855,-0.019879123,-0.014361607,0.925821378827095,663.39,0.14
0.0034389012,1.5117555,0,607232,927,0.013041622,4376.099025726318,-0.0017933659,-0.015117556,0.9372680485248566,663.39,0.14
0.009947551,1.3367012,1,607488,928,0.012744695,4377.6845490932465,-0.01004385,-0.013367012,0.9520733505487442,664.54,0.09
0.0052873297,1.448453,0,607744,928,0.020118708,4378.183638334274,-0.01276215,-0.01448453,0.9228906184434891,664.54,0.09
0.0067455326,1.1899952,0,608000,928,0.019706847,4378.683096885681,-0.004933956,-0.011899952,0.6312430500984192,664.54,0.09
0.005592757,1.4427698,1,608256,929,0.021362992,4379.995579004288,-0.009206723,-0.014427696,0.9038058221340179,665.45,0.04
0.0043329066,1.5860742,0,608512,929,0.016054908,4380.503270149231,-0.006378498,-0.015860744,0.5318450629711151,665.45,0.04
0.00480507,1.5911839,1,608768,930,0.022829656,4381.823559761047,-0.019649165,-0.015911838,0.6580335795879364,663.25,0.06
0.004914998,1.3189081,0,609024,930,0.021253452,4382.393760681152,-0.002892362,-0.013189081,0.9119721949100494,663.25,0.06
0.005305603,1.5639658,1,609280,931,0.013356829,4383.729757070541,-0.008922802,-0.015639657,0.9563155025243759,664.34,0.11
0.017062012,1.4337163,0,609536,931,0.021659477,4384.229972362518,-0.03218788,-0.014337163,0.8341603726148605,664.34,0.11
0.005551295,1.7044737,0,609792,931,0.030219747,4384.731379270554,-0.00851726,-0.017044738,0.8970057964324951,664.34,0.11
0.013192892,1.541347,1,610048,932,0.0149998665,4386.07547545433,0.0040144324,-0.01541347,0.9555591456592083,663.6,0.1
0.010260287,1.4357218,0,610304,932,0.0190556,4386.574605703354,-0.0022767782,-0.014357217,0.707697868347168,663.6,0.1
0.014755217,1.5412824,1,610560,933,0.015608303,4387.8817818164825,-0.0050433986,-0.015412823,0.9367592558264732,665.19,0.03
0.005182172,1.6341338,0,610816,933,0.02137515,4388.3805248737335,-0.005687235,-0.01634134,0.955491054803133,665.19,0.03
0.0053461445,1.5847111,0,611072,933,0.02322491,4388.8795030117035,-0.0056989025,-0.015847111,0.9421624429523945,665.19,0.03
0.005803154,1.7123518,1,611328,934,0.012982545,4390.18562579155,-0.013342243,-0.017123517,0.9565963931381702,665.16,0.02
0.009397128,1.6680663,0,611584,934,0.015237873,4390.732721090317,-0.012258163,-0.016680663,0.9268121346831322,665.16,0.02
0.0061845616,1.7653458,0,611840,934,0.0228888,4391.230674266815,-0.022910688,-0.017653458,0.6520664989948273,665.16,0.02
0.009912519,1.6802225,1,612096,935,0.019059215,4392.536529779434,-0.0034701116,-0.016802225,0.9341922700405121,666.08,0.07
0.01144986,1.4432862,0,612352,935,0.0145443445,4393.035405635834,-0.019156372,-0.0144328615,0.5119095742702484,666.08,0.07
0.004709589,1.8035823,0,612608,935,0.022493226,4393.533864736557,-0.022346139,-0.018035823,0.9251066297292709,666.08,0.07
0.0053576636,1.7061517,1,612864,936,0.015734933,4404.626713991165,-0.014191835,-0.017061517,0.9501221887767315,665.72,0.06
0.0049812114,1.6404593,0,613120,936,0.017161049,4405.126458406448,0.0035436433,-0.016404592,0.9313119426369667,665.72,0.06
0.004510011,1.6821711,1,613376,937,0.0092592705,4406.495852947235,-0.018446166,-0.01682171,0.962229747325182,665.64,0.11
0.006274039,1.5601113,0,613632,937,0.019785386,4406.99718952179,-0.008752156,-0.015601113,0.9139777943491936,665.64,0.11
0.006245801,1.7400898,1,613888,938,0.012847877,4408.310680389404,-0.0049279183,-0.017400898,0.9586000554263592,664.94,0.09
0.008440925,1.6765159,0,614144,938,0.025532687,4408.814563989639,-0.008947153,-0.01676516,0.9016718938946724,664.94,0.09
