loss_pol_surr,loss_ent,EpisodesSoFar,loss_vf_loss,loss_pol_entpen,TimestepsSoFar,ev_tdlam_before,loss_kl,EpThisIter,TimeElapsed,EpRewMean,EpLenMean
-0.016954726,2.0753813,0,0.045487043,-0.020753814,256,-3.6364965438842773,0.004240608,0,0.46601366996765137,,
-0.015207093,2.0691397,0,0.024002973,-0.020691395,512,0.01793771982192993,0.003763263,0,0.6619491577148438,,
-0.01822069,2.0616457,1,0.013112463,-0.020616457,768,0.7870652973651886,0.0031582834,1,0.8575482368469238,-5.0,580.0
-0.027967332,2.0563827,1,0.019195888,-0.020563826,1024,0.7920334041118622,0.0075884312,0,1.034653663635254,-5.0,580.0
-0.012434384,2.0501723,2,0.069927365,-0.020501722,1280,0.1029464602470398,0.0040742084,1,1.210115671157837,-5.0,588.0
-0.01703915,2.0450518,2,0.013896893,-0.020450516,1536,-2.7952842712402344,0.0026333635,0,1.3836889266967773,-5.0,588.0
-0.025123738,2.045635,2,0.015919914,-0.020456351,1792,0.7998247593641281,0.0071484614,0,1.5586695671081543,-5.0,588.0
-0.014717676,2.0390038,2,0.012116934,-0.020390036,2048,0.8397210389375687,0.0056874477,0,1.732689380645752,-5.0,588.0
-0.029834453,2.0078592,3,0.016296491,-0.02007859,2304,0.8329057842493057,0.008639324,1,1.9077658653259277,-4.666666666666667,688.0
-0.02080772,1.9823661,3,0.015595,-0.019823661,2560,0.8300667852163315,0.006773571,0,2.0823676586151123,-4.666666666666667,688.0
-0.01841245,1.9799623,3,0.010062301,-0.019799624,2816,0.7464080452919006,0.004676122,0,2.2571542263031006,-4.666666666666667,688.0
-0.02063325,2.009707,4,0.018942581,-0.020097066,3072,0.5100530087947845,0.013250947,1,2.4319512844085693,-4.75,717.0
-0.02385641,2.0098405,5,0.014613829,-0.020098405,3328,0.7714816927909851,0.0069249496,1,2.6071841716766357,-4.8,662.2
-0.034547754,1.9918165,5,0.013991936,-0.019918162,3584,0.8250002861022949,0.022530943,0,2.780951738357544,-4.8,662.2
-0.017632578,1.9465069,5,0.036407825,-0.019465068,3840,0.31320858001708984,0.011460254,0,2.9546520709991455,-4.8,662.2
-0.014140099,1.8898313,6,0.017548498,-0.018898314,4096,0.5420145690441132,0.0050758203,1,3.128600597381592,-4.833333333333333,643.5
-0.029770568,1.9417729,6,0.0061903764,-0.01941773,4352,-0.07197797298431396,0.011216786,0,3.303576707839966,-4.833333333333333,643.5
-0.012178276,1.8972437,6,0.026052099,-0.018972438,4608,0.18504810333251953,0.0060025267,0,3.4783639907836914,-4.833333333333333,643.5
-0.026857711,1.8977938,7,0.016263181,-0.018977936,4864,-0.053498268127441406,0.0067243725,1,3.6535158157348633,-4.857142857142857,662.1428571428571
-0.012540162,1.9118819,8,0.013786932,-0.01911882,5120,0.7239899635314941,0.0051736603,1,3.8274223804473877,-4.875,639.875
-0.01788285,1.9472661,8,0.0117440075,-0.019472662,5376,0.8702363222837448,0.011351477,0,4.000939607620239,-4.875,639.875
-0.018406168,1.8943201,8,0.009412872,-0.018943202,5632,0.8588978350162506,0.007253517,0,4.175563812255859,-4.875,639.875
-0.028231472,1.9146312,9,0.010372532,-0.019146312,5888,0.6718654036521912,0.011361025,1,4.3490519523620605,-4.888888888888889,631.2222222222222
-0.022331407,1.8609142,9,0.010964775,-0.018609142,6144,0.7263187766075134,0.008329073,0,4.521930932998657,-4.888888888888889,631.2222222222222
