policy_entropy,nupdates,value_loss,fps,total_timesteps,explained_variance
1.791757345199585,1,0.09231005609035492,13,5,-7.600885391235352
1.791757583618164,100,0.013584394939243793,457,500,-370.9224853515625
1.791756272315979,200,0.061556894332170486,555,1000,-40.143619537353516
1.791754126548767,300,0.06530015170574188,597,1500,-1.0568931102752686
1.7917563915252686,400,0.03134801983833313,621,2000,-2.776309013366699
1.7917492389678955,500,0.036357469856739044,636,2500,-29.46306610107422
1.7917325496673584,600,0.06224532052874565,647,3000,-3.5679211616516113
1.7917133569717407,700,0.03400050848722458,655,3500,-1.5938706398010254
1.7916330099105835,800,0.01391439326107502,661,4000,-4.039876937866211
1.791548490524292,900,0.052725065499544144,666,4500,-1.5950026512145996
1.7914228439331055,1000,0.01767113246023655,670,5000,-0.7569479942321777
1.7917588949203491,1,0.011851675808429718,14,5,-5.556431293487549
1.7917591333389282,100,0.0676800012588501,469,500,-2749.401123046875
1.7917587757110596,200,0.017464851960539818,561,1000,-27.836030960083008
1.7917582988739014,300,0.11869044601917267,598,1500,-59.167110443115234
1.7917563915252686,400,0.031841374933719635,620,2000,-95.48450469970703
1.7917492389678955,500,0.03464112430810928,634,2500,-59.556922912597656
1.7917200326919556,600,0.0059502823278307915,643,3000,-28.300167083740234
1.7916886806488037,700,0.004415424074977636,650,3500,-2772.83837890625
1.7915351390838623,800,0.024688323959708214,656,4000,-10.0621919631958
1.7910341024398804,900,0.002500197384506464,660,4500,-476.7089538574219
1.7907377481460571,1000,0.006186715792864561,663,5000,-8.838447570800781
1.7917591333389282,1,0.05871196463704109,14,5,-297.1586608886719
1.7917591333389282,100,0.007867014966905117,475,500,-72.3998031616211
1.7917591333389282,200,0.0080586401745677,565,1000,-709.0463256835938
1.7917581796646118,300,0.02020023763179779,603,1500,-1536.6143798828125
1.791757345199585,400,0.005369085352867842,625,2000,-426.6407775878906
1.7917512655258179,500,0.004884569440037012,638,2500,-2497.4658203125
1.7917449474334717,600,0.018842436373233795,648,3000,-38.558773040771484
1.7917392253875732,700,0.016493508592247963,654,3500,-583.0772094726562
1.7916572093963623,800,0.003018593415617943,660,4000,-123.3749008178711
1.7911243438720703,900,0.006847171578556299,664,4500,-12.163002014160156
1.7913957834243774,1000,0.01630619540810585,667,5000,-31.94378662109375
1.791757583618164,1,0.009928262792527676,14,5,-966.7836303710938
1.7917578220367432,100,0.001162444008514285,471,500,-7252.05419921875
1.7917550802230835,200,0.010488182306289673,562,1000,-54.47907257080078
1.791752576828003,300,0.001982768066227436,601,1500,-77.763916015625
1.7917486429214478,400,0.029669765383005142,622,2000,-203.96783447265625
1.7917540073394775,500,0.005906637292355299,637,2500,-294.26806640625
1.7917379140853882,600,0.0077158198691904545,647,3000,-200.1243133544922
1.7916991710662842,700,0.008791024796664715,654,3500,-137.84414672851562
1.7917019128799438,800,0.008044509217143059,659,4000,-33.42404556274414
1.7915799617767334,900,0.016570067033171654,664,4500,-18.222291946411133
1.7913177013397217,1000,0.000985299819149077,667,5000,-37.22349548339844
1.7917588949203491,1,0.015414707362651825,14,5,-76.59209442138672
1.7917582988739014,100,0.0062341648153960705,474,500,-22.37419319152832
1.7917587757110596,200,0.013525806367397308,565,1000,-116.06437683105469
1.7917582988739014,300,0.25085848569869995,604,1500,0.15560507774353027
1.791757345199585,400,0.0036166489589959383,625,2000,-26.559629440307617
1.7917559146881104,500,0.00638304790481925,638,2500,-52.68734359741211
1.7917451858520508,600,0.002139446558430791,647,3000,-20.911027908325195
1.7917098999023438,700,0.010946073569357395,654,3500,-7.45612907409668
1.7916303873062134,800,0.004464874975383282,658,4000,-10.841434478759766
1.7914173603057861,900,0.005013861693441868,662,4500,-37.14143753051758
1.7908283472061157,1000,0.010848716832697392,666,5000,-26.143997192382812
1.7917588949203491,1,0.003266104031354189,14,5,-720.6104736328125
1.7917582988739014,100,0.01514067966490984,474,500,-778.8907470703125
1.7917581796646118,200,0.009512707591056824,566,1000,-22.494552612304688
1.791757345199585,300,0.009040053933858871,606,1500,-13.439414024353027
1.7917560338974,400,0.007481575012207031,628,2000,-637.8624877929688
1.7917413711547852,500,0.008172406814992428,642,2500,-71.1085205078125
1.7917213439941406,600,0.013808740302920341,652,3000,-17.08820152282715
1.7917299270629883,700,0.010089720599353313,659,3500,-4.77658224105835
1.7916761636734009,800,0.0033120743464678526,664,4000,-0.5959047079086304
1.7915548086166382,900,0.01081391703337431,668,4500,-20.941925048828125
1.7911999225616455,1000,0.011737053282558918,672,5000,-33.580833435058594
1.7917578220367432,1,0.011933832429349422,14,5,-1463761.25
1.7917587757110596,100,0.010972809977829456,473,500,-801.10205078125
1.7917578220367432,200,0.003614290850237012,558,1000,-0.3621305227279663
1.7917581796646118,300,0.007622196339070797,598,1500,-226.66506958007812
1.7917506694793701,400,0.0023542221169918776,620,2000,-1578.551513671875
1.7917448282241821,500,0.010289648547768593,634,2500,-225.11033630371094
1.7917118072509766,600,0.007632181979715824,521,3000,-302.1363220214844
1.7915194034576416,700,0.011546174064278603,514,3500,-19.868419647216797
1.7917280197143555,800,0.0050350395031273365,530,4000,-1455.6781005859375
1.7909939289093018,900,0.005644890479743481,545,4500,-62.470611572265625
1.7897539138793945,1000,0.00481717474758625,556,5000,-214.91712951660156
1.7917581796646118,1,0.03524128720164299,14,5,-105.92288208007812
1.7917581796646118,100,0.017591264098882675,473,500,-107.62828826904297
1.7917578220367432,200,0.14685304462909698,565,1000,0.01387035846710205
1.791756272315979,300,0.04492365941405296,604,1500,-270.7623291015625
1.7917543649673462,400,0.032420527189970016,625,2000,-60.11378860473633
1.7917320728302002,500,0.033488236367702484,639,2500,-15.540056228637695
1.7916971445083618,600,0.013774855062365532,649,3000,-28.267427444458008
1.7916876077651978,700,0.01670067012310028,656,3500,-10.47415542602539
1.7917242050170898,800,0.029613623395562172,661,4000,-3.3353209495544434
1.79148268699646,900,0.026403669267892838,665,4500,-2.1265742778778076
1.791313886642456,1000,0.006657605059444904,669,5000,-9.29262924194336
1.7917588949203491,1,0.046977780759334564,14,5,-576.7345581054688
1.7917585372924805,100,0.039880018681287766,477,500,-3696.9453125
1.7917579412460327,200,0.010925951413810253,567,1000,-21.480894088745117
1.7917579412460327,300,0.03136269375681877,605,1500,-133.6628875732422
1.7917572259902954,400,0.002502832096070051,626,2000,-112.56000518798828
1.791754126548767,500,0.0032794394064694643,640,2500,-624944.5625
1.7917543649673462,600,0.03719018027186394,649,3000,-17.008745193481445
1.7917369604110718,700,0.0007673905347473919,656,3500,-338.1748352050781
1.7917101383209229,800,0.007601975463330746,661,4000,-161.16513061523438
1.7915480136871338,900,0.011659900657832623,665,4500,-75.10026550292969
