loss_pol_surr,loss_ent,EpisodesSoFar,loss_vf_loss,loss_pol_entpen,TimestepsSoFar,ev_tdlam_before,loss_kl,EpThisIter,TimeElapsed,EpRewMean,EpLenMean
-0.015341647,2.0769086,0,0.024429696,-0.020769086,256,-1.0229277610778809,0.0024909768,0,0.4621541500091553,,
-0.010963679,2.0704112,1,0.023724962,-0.020704111,512,0.7139020562171936,0.0030512596,1,0.6591098308563232,-5.0,494.0
-0.019824225,2.0665302,1,0.024078049,-0.020665303,768,0.7812509685754776,0.0032652635,0,0.8550426959991455,-5.0,494.0
-0.021856673,2.0550995,1,0.016859718,-0.020550994,1024,0.8660305738449097,0.0059748655,0,1.0509381294250488,-5.0,494.0
-0.038133826,2.0477533,2,0.011232359,-0.020477533,1280,0.9379764758050442,0.009275865,1,1.2463090419769287,-5.0,541.5
-0.022707012,2.0361123,2,0.017095067,-0.020361122,1536,0.8175742328166962,0.008355893,0,1.4420678615570068,-5.0,541.5
-0.022033036,2.0272923,3,0.035521477,-0.02027292,1792,0.3605489730834961,0.008195367,1,1.6381654739379883,-5.0,542.3333333333334
-0.017881475,2.0053372,3,0.011939187,-0.020053372,2048,0.741988480091095,0.008103726,0,1.8337335586547852,-5.0,542.3333333333334
-0.016627567,1.9822732,3,0.013611345,-0.019822732,2304,0.8373433649539948,0.0068155774,0,2.0295004844665527,-5.0,542.3333333333334
-0.024552176,1.979614,4,0.00901429,-0.01979614,2560,0.8904837369918823,0.0086368015,1,2.2254724502563477,-5.0,593.75
-0.018101098,1.996362,4,0.012688801,-0.019963618,2816,0.8782444968819618,0.0070604743,0,2.4208524227142334,-5.0,593.75
-0.01849303,1.962282,4,0.019268129,-0.01962282,3072,0.6990833878517151,0.008205213,0,2.6162478923797607,-5.0,593.75
-0.021918967,1.9829386,5,0.013139473,-0.019829385,3328,0.7489370107650757,0.009064987,1,2.793419599533081,-5.0,628.2
-0.007824382,2.012348,5,0.016012607,-0.020123478,3584,0.7806139141321182,0.0030109151,0,2.9673104286193848,-5.0,628.2
-0.02205189,1.9736278,6,0.022666853,-0.019736277,3840,0.6204145848751068,0.007473721,1,3.141850471496582,-5.0,598.8333333333334
-0.017628215,1.9544934,7,0.012575603,-0.019544933,4096,0.7038279473781586,0.0033497228,1,3.315727472305298,-5.0,579.8571428571429
-0.015814926,1.9371855,7,0.018481424,-0.019371854,4352,0.5246422588825226,0.0056828144,0,3.4888522624969482,-5.0,579.8571428571429
-0.026058571,1.9064686,7,0.012057214,-0.019064685,4608,0.697553277015686,0.011762869,0,3.6630375385284424,-5.0,579.8571428571429
-0.021401476,1.8283181,8,0.011408656,-0.018283179,4864,0.7163883149623871,0.008947554,1,3.8380961418151855,-5.0,599.375
-0.014983315,1.8252366,8,0.007928124,-0.018252365,5120,0.7437626123428345,0.009240214,0,4.0115885734558105,-5.0,599.375
-0.013576863,1.7976277,8,0.013207594,-0.017976277,5376,0.7925167679786682,0.005712339,0,4.185693264007568,-5.0,599.375
-0.023391355,1.8050835,9,0.01641333,-0.018050835,5632,0.7308717966079712,0.008721475,1,4.359321594238281,-5.0,598.2222222222222
