policy_entropy,nupdates,fps,total_timesteps,explained_variance,value_loss
2.0794403553009033,1,5,5,-998.5339965820312,0.13779056072235107
2.079440116882324,100,151,500,-1179.5640869140625,0.06958192586898804
2.0794410705566406,200,190,1000,-19314.126953125,0.005142400972545147
