ev_tdlam_before,TimestepsSoFar,loss_pol_surr,loss_ent,TimeElapsed,EpThisIter,EpisodesSoFar,loss_kl,loss_pol_entpen,loss_vf_loss,EpLenMean,EpRewMean
0.1400640606880188,256,-0.027451888,2.074931,0.6715993881225586,0,0,0.0045705587,-0.02074931,0.021511357,,
0.8303343206644058,512,-0.025446566,2.0636976,0.9186291694641113,0,0,0.005144296,-0.020636976,0.015520539,,
0.7872029542922974,768,-0.01565536,2.031466,1.1660864353179932,1,1,0.0073161735,-0.02031466,0.015184626,629.0,-5.0
0.6640577912330627,1024,-0.016058698,2.0387778,1.4135024547576904,0,1,0.0027045552,-0.02038778,0.027575118,629.0,-5.0
0.8266464322805405,1280,-0.011942875,2.039781,1.6621339321136475,1,2,0.002521222,-0.02039781,0.012665625,560.5,-5.0
0.8289194852113724,1536,-0.031026687,2.0466084,1.9110713005065918,0,2,0.010975355,-0.020466084,0.013255543,560.5,-5.0
0.7636131644248962,1792,-0.01678415,2.0482006,2.1607091426849365,1,3,0.0054793945,-0.020482007,0.013228767,543.3333333333334,-5.0
0.6461741924285889,2048,-0.01653917,2.0451531,2.4137818813323975,0,3,0.003644764,-0.020451533,0.015494516,543.3333333333334,-5.0
0.1261734962463379,2304,-0.01486446,2.046175,2.6614558696746826,0,3,0.004495007,-0.02046175,0.029200967,543.3333333333334,-5.0
0.6976609528064728,2560,-0.029658075,2.0163434,2.9089276790618896,1,4,0.006432731,-0.020163434,0.012864623,588.5,-4.75
0.7836178243160248,2816,-0.017684791,1.9834925,3.155524492263794,0,4,0.011070635,-0.019834924,0.010806537,588.5,-4.75
0.7223937213420868,3072,-0.013935104,1.9884192,3.4031269550323486,1,5,0.0035688435,-0.019884191,0.01581037,567.0,-4.8
0.6730751097202301,3328,-0.02519094,1.979187,3.651294469833374,1,6,0.0060928855,-0.019791868,0.020478548,547.0,-4.833333333333333
0.37136393785476685,3584,-0.038131066,1.9727837,3.8991122245788574,0,6,0.01385415,-0.019727835,0.018599458,547.0,-4.833333333333333
0.7425798773765564,3840,-0.03398808,1.9363513,4.148063659667969,0,6,0.009993077,-0.019363513,0.011087282,547.0,-4.833333333333333
0.616187334060669,4096,-0.019205242,1.9381485,4.395361661911011,1,7,0.0064373882,-0.019381486,0.020811144,562.4285714285714,-4.857142857142857
0.8276559263467789,4352,-0.025761437,1.899469,4.642840147018433,0,7,0.010166153,-0.01899469,0.008748705,562.4285714285714,-4.857142857142857
0.83363376557827,4608,-0.01659374,1.7918751,4.889352798461914,1,8,0.010494427,-0.01791875,0.009561641,566.125,-4.875
0.6841426491737366,4864,-0.034984283,1.8048844,5.136528491973877,0,8,0.013617422,-0.018048843,0.016615087,566.125,-4.875
0.8879905566573143,5120,-0.019053813,1.8320949,5.384955406188965,0,8,0.009533782,-0.018320948,0.0099934265,566.125,-4.875
0.8169286549091339,5376,-0.02399484,1.7219537,5.627340078353882,1,9,0.009154661,-0.017219538,0.009262569,575.5555555555555,-4.888888888888889
0.779790386557579,5632,-0.016219156,1.7940731,5.833621501922607,0,9,0.011032971,-0.01794073,0.01101216,575.5555555555555,-4.888888888888889
0.8672587424516678,5888,-0.019869544,1.8160572,6.041503429412842,1,10,0.010602247,-0.01816057,0.01423447,566.4,-4.9
0.848014160990715,6144,-0.027641073,1.8527421,6.249161720275879,0,10,0.012114234,-0.01852742,0.009295449,566.4,-4.9
0.9203116148710251,6400,-0.020802625,1.8008307,6.456395149230957,1,11,0.010457313,-0.018008307,0.0052953614,563.4545454545455,-4.909090909090909
0.572402834892273,6656,-0.021442976,1.7572057,6.663099050521851,0,11,0.0119668925,-0.017572057,0.020280678,563.4545454545455,-4.909090909090909
0.3835989236831665,6912,-0.013687218,1.806464,6.869355201721191,0,11,0.01496,-0.018064639,0.04066252,563.4545454545455,-4.909090909090909
0.024303972721099854,7168,-0.019367933,1.7965691,7.0755980014801025,1,12,0.008302568,-0.01796569,0.019797113,587.9166666666666,-4.75
0.6868847608566284,7424,-0.013888219,1.8293941,7.281306982040405,0,12,0.0039429436,-0.01829394,0.01165062,587.9166666666666,-4.75
0.6915967166423798,7680,-0.026805714,1.8699104,7.487865447998047,1,13,0.00876366,-0.018699102,0.011460508,587.5384615384615,-4.769230769230769
0.8430402129888535,7936,-0.011277402,1.7832391,7.694054365158081,0,13,0.0033651004,-0.017832391,0.013993995,587.5384615384615,-4.769230769230769
