optimgain,entropy,TimestepsSoFar,TimeElapsed,meankl,EpThisIter,EpLenMean,EpisodesSoFar,surrgain,EpRewMean,explained_variance_tdlam_before,entloss
0.03012453,0.681549,5297152,6970.986746072769,0.008028153,0,3125.0,4664,0.03012453,-0.675,-8.459369659423828,0.0
0.027640548,0.71082217,5298176,6971.75474357605,0.0048464034,0,3125.0,4664,0.027640548,-0.675,0.3774591088294983,0.0
0.03724473,0.69678223,5299200,6972.519744873047,0.005706791,1,3150.4,4665,0.03724473,-0.575,-0.015900850296020508,0.0
0.08173486,0.7110271,5300224,6994.134242773056,0.0125378035,0,3150.4,4665,0.08173486,-0.575,-5.934308052062988,0.0
0.25915265,0.7058766,5301248,6994.867275238037,0.0050287456,0,3150.4,4665,0.25915265,-0.575,-12.93994140625,0.0
0.068217546,0.7147503,5302272,6995.602242469788,0.0055645397,0,3150.4,4665,0.068217546,-0.575,-8.208542823791504,0.0
0.043449365,0.718745,5303296,6996.328238487244,0.004822307,1,3125.0,4666,0.043449365,-0.5,0.08090358972549438,0.0
0.032741174,0.6970217,5304320,6997.058238983154,0.0057066143,0,3125.0,4666,0.032741174,-0.5,-2.459716558456421,0.0
0.03680133,0.6342688,5305344,6997.834854841232,0.0053809118,0,3125.0,4666,0.03680133,-0.5,-3.79453706741333,0.0
0.06058048,0.7410939,5306368,6998.560856819153,0.014996868,1,3125.0,4667,0.06058048,-0.475,-0.016308188438415527,0.0
0.032020655,0.6635568,5307392,6999.293857574463,0.007172984,0,3125.0,4667,0.032020655,-0.475,-11.239677429199219,0.0
0.0761818,0.70451045,5308416,7000.046856403351,0.009561687,0,3125.0,4667,0.0761818,-0.475,-3.642911911010742,0.0
0.04040935,0.6826918,5309440,7000.792857408524,0.006170463,1,3125.0,4668,0.04040935,-0.5,-3.008411407470703,0.0
0.04708617,0.68182486,5310464,7001.523854494095,0.0059386967,0,3125.0,4668,0.04708617,-0.5,-6.656752109527588,0.0
0.060677275,0.67211664,5311488,7002.261855602264,0.0058522504,0,3125.0,4668,0.060677275,-0.5,-8.3126859664917,0.0
0.03315119,0.6706334,5312512,7003.040855884552,0.0050733024,1,3125.0,4669,0.03315119,-0.45,0.21151870489120483,0.0
0.054127302,0.6376624,5313536,7003.78985619545,0.00629701,0,3125.0,4669,0.054127302,-0.45,-2.9158949851989746,0.0
0.047297847,0.7194231,5314560,7004.5188574790955,0.0055472814,0,3125.0,4669,0.047297847,-0.45,-2.9456093311309814,0.0
0.0448739,0.6859343,5315584,7005.268858194351,0.014196554,1,3125.0,4670,0.0448739,-0.475,0.33675748109817505,0.0
0.038588077,0.70432186,5316608,7006.0178945064545,0.0047626575,0,3125.0,4670,0.038588077,-0.475,-7.155037879943848,0.0
0.0337686,0.68242896,5317632,7006.821854829788,0.0073273946,0,3125.0,4670,0.0337686,-0.475,-7.678333282470703,0.0
0.04232285,0.6752008,5318656,7007.715659618378,0.0068183197,1,3125.0,4671,0.04232285,-0.475,-10.383938789367676,0.0
0.057100456,0.73933494,5319680,7008.508660078049,0.006750403,0,3125.0,4671,0.057100456,-0.475,0.2823858857154846,0.0
0.042648673,0.6895082,5320704,7009.301664590836,0.0043407017,0,3125.0,4671,0.042648673,-0.475,-4.018341541290283,0.0
0.05477366,0.70079535,5321728,7010.081663370132,0.008627096,1,3125.0,4672,0.05477366,-0.425,0.5409064292907715,0.0
0.027383992,0.65001273,5322752,7010.878661870956,0.005405714,0,3125.0,4672,0.027383992,-0.425,0.5874694585800171,0.0
0.04534994,0.6534538,5323776,7011.715996026993,0.004130337,0,3125.0,4672,0.04534994,-0.425,-0.08924388885498047,0.0
0.032903153,0.72693527,5324800,7012.512998819351,0.005419663,1,3125.0,4673,0.032903153,-0.425,0.4990059733390808,0.0
0.03342056,0.7195995,5325824,7035.102601289749,0.009217823,0,3125.0,4673,0.03342056,-0.425,0.5856950283050537,0.0
0.031277243,0.7437555,5326848,7035.950565099716,0.0042374185,0,3125.0,4673,0.031277243,-0.425,-1.8265893459320068,0.0
0.039053198,0.6995224,5327872,7036.771567821503,0.0065382044,0,3125.0,4673,0.039053198,-0.425,0.35256344079971313,0.0
0.035664245,0.7195294,5328896,7037.574565887451,0.006354907,1,3125.0,4674,0.035664245,-0.45,-4.476945400238037,0.0
0.03173958,0.6708703,5329920,7038.38956451416,0.0041691484,0,3125.0,4674,0.03173958,-0.45,-4.157699108123779,0.0
0.04835614,0.68924254,5330944,7039.1765694618225,0.0060438034,0,3125.0,4674,0.04835614,-0.45,-3.998035430908203,0.0
0.04107097,0.7271055,5331968,7039.9385776519775,0.0055019557,1,3125.0,4675,0.04107097,-0.4,-9.714625358581543,0.0
0.037405487,0.70909375,5332992,7040.689563751221,0.0042099208,0,3125.0,4675,0.037405487,-0.4,0.3240734934806824,0.0
0.07954389,0.7161956,5334016,7041.455567121506,0.014533145,1,3125.0,4676,0.07954389,-0.325,0.4972555637359619,0.0
0.022562912,0.7241799,5335040,7042.2155685424805,0.004520658,0,3125.0,4676,0.022562912,-0.325,-5.47909688949585,0.0
0.039235633,0.7473221,5336064,7042.953565359116,0.0060936604,0,3125.0,4676,0.039235633,-0.325,-4.584982872009277,0.0
0.03676743,0.715105,5337088,7043.717959880829,0.0051489524,1,3125.0,4677,0.03676743,-0.3,-3.6161117553710938,0.0
0.0341026,0.721555,5338112,7044.519957780838,0.004172434,0,3125.0,4677,0.0341026,-0.3,-9.286785125732422,0.0
0.07147038,0.72851396,5339136,7045.267262458801,0.014501359,0,3125.0,4677,0.07147038,-0.3,-4.948084354400635,0.0
0.046132345,0.6840857,5340160,7046.022962808609,0.0076917154,1,3125.0,4678,0.046132345,-0.325,-10.915102005004883,0.0
0.036793835,0.7149169,5341184,7046.778964281082,0.0043783933,0,3125.0,4678,0.036793835,-0.325,-9.574134826660156,0.0
0.042223122,0.7634977,5342208,7047.534260034561,0.0066372296,0,3125.0,4678,0.042223122,-0.325,-7.503686904907227,0.0
0.026921999,0.6378104,5343232,7048.2629606723785,0.0050316434,1,3125.0,4679,0.026921999,-0.35,-13.219420433044434,0.0
0.035347544,0.7361171,5344256,7049.021959543228,0.005283895,0,3125.0,4679,0.035347544,-0.35,-5.2579474449157715,0.0
0.047209214,0.76649755,5345280,7049.74595952034,0.008007336,0,3125.0,4679,0.047209214,-0.35,-14.969854354858398,0.0
0.05376349,0.6980833,5346304,7050.471958875656,0.01028743,1,3125.0,4680,0.05376349,-0.375,-32.81529235839844,0.0
0.04724328,0.7059212,5347328,7051.213958024979,0.007862132,0,3125.0,4680,0.04724328,-0.375,-12.88099479675293,0.0
0.044943627,0.64370537,5348352,7051.975957155228,0.011678072,0,3125.0,4680,0.044943627,-0.375,0.060983479022979736,0.0
0.046561196,0.6976341,5349376,7052.777960777283,0.0085613,1,3125.0,4681,0.046561196,-0.375,-4.171921253204346,0.0
0.055842686,0.73159194,5350400,7075.391281366348,0.0060994006,0,3125.0,4681,0.055842686,-0.375,-2.704160451889038,0.0
0.048285052,0.7160176,5351424,7076.196279525757,0.007752417,0,3125.0,4681,0.048285052,-0.375,-1.8511998653411865,0.0
0.027504902,0.7479247,5352448,7076.954280376434,0.007298519,0,3125.0,4681,0.027504902,-0.375,-7.124534606933594,0.0
0.059183568,0.73144174,5353472,7077.785314083099,0.01489047,1,3125.0,4682,0.059183568,-0.375,-22.253997802734375,0.0
0.037255116,0.7232677,5354496,7078.630281448364,0.008791583,0,3125.0,4682,0.037255116,-0.375,0.056707799434661865,0.0
0.039601732,0.74228793,5355520,7079.39727973938,0.0041171256,0,3125.0,4682,0.039601732,-0.375,-9.141200065612793,0.0
0.03887271,0.7355469,5356544,7080.293276309967,0.005426037,1,3125.0,4683,0.03887271,-0.375,-5.009090423583984,0.0
0.055504728,0.7337564,5357568,7081.05827832222,0.004999538,0,3125.0,4683,0.055504728,-0.375,-6.479988098144531,0.0
0.034595493,0.70543,5358592,7081.863281488419,0.0042550704,0,3125.0,4683,0.034595493,-0.375,-5.7711310386657715,0.0
0.04842799,0.8262181,5359616,7082.610281467438,0.011604935,1,3125.0,4684,0.04842799,-0.375,0.22889751195907593,0.0
0.036847185,0.7728768,5360640,7083.357279062271,0.005260159,0,3125.0,4684,0.036847185,-0.375,-3.8651885986328125,0.0
0.08482155,0.6713518,5361664,7084.1432774066925,0.008540504,0,3125.0,4684,0.08482155,-0.375,-2.79656982421875,0.0
0.05176738,0.680268,5362688,7084.926276445389,0.0053689284,1,3125.0,4685,0.05176738,-0.375,0.2512902617454529,0.0
0.052877724,0.7285098,5363712,7085.7405750751495,0.0056503024,0,3125.0,4685,0.052877724,-0.375,0.662414938211441,0.0
