TimestepsSoFar,loss_ent,loss_vf_loss,ev_tdlam_before,TimeElapsed,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,EpRewMean,EpLenMean
256,1.7837195,0.032936297,-1.7739925384521484,1.201566219329834,-0.017837195,0,0,-0.034935277,0.008229889,,
512,1.7757051,0.03294634,0.5694969296455383,1.8042247295379639,-0.01775705,1,1,-0.017812677,0.0036448794,-5.0,421.0
768,1.7782366,0.024403425,0.6269479393959045,2.341519832611084,-0.017782364,0,1,-0.008730534,0.0007364028,-5.0,421.0
1024,1.7794154,0.017544625,0.7595513314008713,2.734384298324585,-0.017794153,0,1,-0.00487403,0.0001443993,-5.0,421.0
