policy_entropy,total_timesteps,explained_variance,nupdates,fps,value_loss
2.0794339179992676,5,-21140.263671875,1,10,0.02775430679321289
2.079432725906372,500,-907.8006591796875,100,272,0.006200648844242096
2.0794246196746826,1000,-2429.696044921875,200,313,0.03743550553917885
