fps,explained_variance,nupdates,value_loss,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean
25,-3364.708251953125,1,0.030195465311408043,2.079418897628784,5,,
623,-29.568695068359375,100,0.00941893644630909,2.0794219970703125,500,,
719,-21.756427764892578,200,0.0045022801496088505,2.079416275024414,1000,-5.0,584.0
720,-29.07472038269043,300,0.08989986032247543,2.0794310569763184,1500,-3.5,718.5
690,-60.66474914550781,400,0.006819152273237705,2.079328775405884,2000,-3.5,718.5
671,-79.93417358398438,500,0.004128728993237019,2.079225778579712,2500,-3.0,773.3333333333334
662,-1355.665283203125,600,0.0022489114198833704,2.079275131225586,3000,-3.5,702.0
655,-6218.8935546875,700,0.07806072384119034,2.077070713043213,3500,-3.8,653.0
657,0.3599281311035156,800,0.0002043480344582349,2.066251516342163,4000,-4.0,607.8333333333334
671,-922.2389526367188,900,0.021893968805670738,2.0677995681762695,4500,-4.142857142857143,593.5714285714286
685,-65.1384048461914,1000,0.006828961428254843,2.0723865032196045,5000,-4.25,618.25
702,-3466.9931640625,1100,0.010510233230888844,2.0638914108276367,5500,-4.25,618.25
713,-0.1274738311767578,1200,8.387574052903801e-05,2.0461926460266113,6000,-4.333333333333333,624.6666666666666
715,-23.061077117919922,1300,0.00240648677572608,2.0375983715057373,6500,-4.4,635.1
716,-3.023615837097168,1400,0.0008003950351849198,2.068726062774658,7000,-4.4,635.1
706,-6.891913890838623,1500,0.000399627722799778,2.0332679748535156,7500,-4.454545454545454,637.0
705,-142.39097595214844,1600,0.001704269670881331,2.0616114139556885,8000,-4.5,630.0
707,-2205.9599609375,1700,0.0017351272981613874,2.0264170169830322,8500,-4.538461538461538,637.9230769230769
702,-6.6725358963012695,1800,0.0014580485876649618,2.0089240074157715,9000,-4.571428571428571,625.2142857142857
696,0.7930503636598587,1900,5.3990290325600654e-05,2.02112078666687,9500,-4.6,610.7333333333333
686,-22466.845703125,2000,0.0014497918309643865,2.009681224822998,10000,-4.625,611.75
677,-2.8178083896636963,2100,0.0006628496339544654,2.046093225479126,10500,-4.647058823529412,605.7058823529412
670,-466.9060974121094,2200,0.009916321374475956,2.0132763385772705,11000,-4.666666666666667,602.4444444444445
666,-1.1396172046661377,2300,0.00014754723815713078,2.0351510047912598,11500,-4.684210526315789,594.6315789473684
670,-237.27044677734375,2400,0.005313161760568619,2.021469831466675,12000,-4.7,594.1
667,-49.75822448730469,2500,0.0036048325709998608,2.0272040367126465,12500,-4.666666666666667,593.6190476190476
666,-0.014278054237365723,2600,0.0009296908974647522,2.04667067527771,13000,-4.666666666666667,593.6190476190476
664,-15.209239959716797,2700,0.0006472190143540502,2.021409273147583,13500,-4.681818181818182,593.4090909090909
663,-6.114153861999512,2800,0.0017177549889311194,2.0502688884735107,14000,-4.695652173913044,603.8260869565217
662,-7.562673568725586,2900,0.0026727193035185337,2.0400283336639404,14500,-4.695652173913044,603.8260869565217
660,-11.252206802368164,3000,0.005496534053236246,2.049142360687256,15000,-4.708333333333333,606.2083333333334
659,-21.93984603881836,3100,0.0008247763616964221,2.0660974979400635,15500,-4.68,601.0
658,-32.90887451171875,3200,0.0017236305866390467,2.0544230937957764,16000,-4.6923076923076925,602.3846153846154
657,-1.2032999992370605,3300,0.0005921755800954998,2.0358943939208984,16500,-4.703703703703703,598.5555555555555
657,-152.93341064453125,3400,0.007768162991851568,2.028221845626831,17000,-4.678571428571429,597.7142857142857
656,-4.478057384490967,3500,0.001632343977689743,2.0609352588653564,17500,-4.689655172413793,598.2068965517242
655,-1.8759739398956299,3600,0.0014361366629600525,2.0098233222961426,18000,-4.7,598.3
654,-21.272340774536133,3700,0.0010486823739483953,2.0526461601257324,18500,-4.7,598.3
653,-346.3402404785156,3800,0.001627574092708528,2.0731699466705322,19000,-4.709677419354839,603.4516129032259
653,-184.76327514648438,3900,0.0017164491582661867,2.0238773822784424,19500,-4.71875,606.21875
651,-63.286231994628906,4000,0.0012186968233436346,2.0424253940582275,20000,-4.7272727272727275,603.0
648,-4.798529148101807,4100,0.004330202005803585,2.0466959476470947,20500,-4.7272727272727275,603.0
