,gamma,max_kl,lam,entcoeff,cg_damping,vf_stepsize,-reward
0,0.9140252404538914,0.09994248634763063,0.9894980691745877,0.014230132691562175,0.08300453325919807,0.0002638866637926549,4.86
1,0.9168095576623455,0.09416044751927258,0.9705079307779669,0.04206413050647825,0.028334008464589718,0.0009124499762337656,4.85
2,0.9300110486866906,0.08916252453438939,0.9868410257343203,0.024221923756413164,0.06326539747510106,0.00043760427079163496,4.83
3,0.9421440561767668,0.058623377659358086,0.9636904251761734,0.026762011752463878,0.017268173780292273,0.0006662104441504926,4.83
4,0.905662058858201,0.04110677463840694,0.9555345552787184,0.05270451743807644,0.08375562945846468,0.00011561202648095787,4.81
5,0.9684798964904622,0.06771104386728258,0.9824919305182993,0.03667417052946985,0.04638794848416001,0.0008818477713875473,4.8
6,0.977358414419426,0.06331284102183166,0.9886198785965002,0.03551778029012464,0.05930393284636555,0.0007572164311365349,4.94
7,0.9654045934784902,0.06877779731578944,0.979467481088549,0.036635148015453124,0.03995771400405874,0.0009383599725300974,4.91
8,0.9584009723768991,0.07522008388571169,0.9829996894960409,0.03838880846861788,0.04862555713768524,0.0008584386607787926,4.84
9,0.9024007133712767,0.019020302299555286,0.9420469649062806,0.06638174981949421,0.08372844445970373,7.020810610929355e-05,4.89
